notice,source_date,url,local_evidence,sha256
CMPT28438,2014-12-26,https://archives.nseindia.com/content/circulars/CMPT28438.pdf,data/evidence/settlement_official/CMPT28438.pdf,b8a9637c9c2d5cd25167ea8e60364c6f4efd3cb348e6fff67389bc5b8b4b322a
CMPT31421,2015-12-23,https://archives.nseindia.com/content/circulars/CMPT31421.pdf,data/evidence/settlement_official/CMPT31421.pdf,6b0187b4a10d4c1d1868cc0f95c497edc9377231a399a07ddc97fd7eb0280f54
CMPT33820,2016-12-16,https://archives.nseindia.com/content/circulars/CMPT33820.pdf,data/evidence/settlement_official/CMPT33820.pdf,acbc92246c20b46118d9d3f20cc2eaf501f7407c47843a48477d5b4277d835a9
CMPT34182,2017-02-15,https://archives.nseindia.com/content/circulars/CMPT34182.pdf,data/evidence/settlement_official/CMPT34182.pdf,2181d9d1f315b21e9ec8b989cd7e501208cbcc94e364e7ea840eb8697676c7bb
CMPT36634,2017-12-29,https://archives.nseindia.com/content/circulars/CMPT36634.pdf,data/evidence/settlement_official/CMPT36634.pdf,6faff497759f3d38dfd5185f0e3ffa59f0851814606d4170dd29437d5bd4df3e
CMPT37310,2018-03-26,https://archives.nseindia.com/content/circulars/CMPT37310.pdf,data/evidence/settlement_official/CMPT37310.pdf,853f8841ad75c2b115f8f56baf4a3a7cc20e85bef7ff15f0afc1dd5c4dcfce19
CMPT39791,2018-12-28,https://archives.nseindia.com/content/circulars/CMPT39791.pdf,data/evidence/settlement_official/CMPT39791.pdf,b596b7d86b12d68a040beaa0caa0c489231af9a0e2f4592fffd54e189cdaec7e
CMPT42962,2019-12-20,https://archives.nseindia.com/content/circulars/CMPT42962.pdf,data/evidence/settlement_official/CMPT42962.pdf,a947c8793ccfc5d22a4887854492b7c3382fa242ade22d03ca0fc0e6ed413731
CMPT46687,2020-12-18,https://archives.nseindia.com/content/circulars/CMPT46687.pdf,data/evidence/settlement_official/CMPT46687.pdf,3dbb81904c3e276993930c79e71475e7cd23d168227a57d989470ceb24923de6
CMPT50630,2021-12-15,https://archives.nseindia.com/content/circulars/CMPT50630.pdf,data/evidence/settlement_official/CMPT50630.pdf,152f4f12b3f5971053fd9962913e1efabe8b9d8b0916cd2951779ef1207e95bf
CMPT54855,2022-12-16,https://archives.nseindia.com/content/circulars/CMPT54855.pdf,data/evidence/settlement_official/CMPT54855.pdf,26b8ed335f993d8ca98eaa730496018bd7af60ebe0ed0d5075797609288a7e62
