event_id,evidence_url,evidence_title,evidence_organization,evidence_date,evidence_fact,missing_evidence,identity_conclusion
CA_bc661c41f226f8cadf0f,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/IM_IIFLSecurities.pdf,IIFL Securities information memorandum,NSE,2019,IIFL shareholders receive Securities and Wealth shares under demerger,Contemporaneous ex-date value for distributed unlisted shares,IDENTITY_CONFIRMED
CA_253391c466422f1c9423,https://nsearchives.nseindia.com/corporate/RHFL_23082021191740_SE_intimation_AR_Notice.pdf,Reliance Home Finance annual filing,NSE,2021,Reliance Capital shareholders received one Reliance Home Finance share per share,Contemporaneous ex-date value for then-unlisted RHFL,IDENTITY_CONFIRMED
CA_78c8a95e2472b7c4caa7,https://www.cesc.co.in/storage/uploads/stock_exchange_intimation/NSE_PRESS_121018.pdf,CESC restructuring announcement,CESC Limited,2018-10-12,CESC scheme distributes Spencers and CESC Ventures shares,Contemporaneous ex-date values for new distributed shares,IDENTITY_CONFIRMED
CA_7c4b422d9b821ca69ce7,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/IM_AARTISURF.pdf,Aarti Surfactants information memorandum,NSE,2019,Aarti Industries demerged its surfactants business,Contemporaneous ex-date value for unlisted Aarti Surfactants,IDENTITY_CONFIRMED
CA_a547b59a77462e2625dd,https://nsearchives.nseindia.com/corporate/CKFSL_29052019202546_BMOutcomeNew_157.pdf,Cox and Kings Financial Service filing,NSE,2019-05-29,Three Cox and Kings shares entitled holder to one financial-services share,Contemporaneous ex-date value for distributed unlisted share,IDENTITY_CONFIRMED
CA_df384ef3fc428b287dca,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/SEQUENT_08082017_100512__1_.pdf,Solara scheme exchange observation,NSE,2017-08-08,Strides scheme includes Solara successor shares,Contemporaneous ex-date value for new Solara share,IDENTITY_CONFIRMED
CA_73d0e9f8b8e4a8fdb881,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/scheme_NIRVIKARA_IM.pdf,Nirvikara Paper Mills information memorandum,NSE,2015,Balkrishna shareholders received Nirvikara Paper shares,Contemporaneous ex-date value for unlisted Nirvikara shares,IDENTITY_CONFIRMED
CA_93e91333c57773c4c322,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/IM_POWERINDIA.pdf,ABB Power Products information memorandum,NSE,2019,ABB India power-grid business was demerged,Contemporaneous ex-date value for new power-grid company shares,IDENTITY_CONFIRMED
CA_d4350a4891573655ee29,https://www.bseindia.com/downloads/SPDJ_ANN/MediaReleasePDF/597349_mediarelease-changestos%26pbseindices-20171011.pdf,Index action for 5Paisa separation,BSE,2017-10-11,IIFL shareholders received 5Paisa shares under demerger,Contemporaneous ex-date value for then-unlisted 5Paisa,IDENTITY_CONFIRMED
CA_d68d9be194519be0bb03,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/CGCEL_Information_Memorandum.pdf,Crompton Greaves Consumer Electricals information memorandum,NSE,2016,CG Power consumer electricals business demerged into newly listed company,Contemporaneous ex-date value for new consumer company shares,IDENTITY_CONFIRMED
