symbol,company,series,face_value,purpose,ex_date,record_date,book_closure_start,book_closure_end,payment_date,remarks,source_file,source
448GS2023,Government of India,GS,100.0,Interest Payment,2022-04-28,2022-04-30,,,,,corporate_actions_20220401_20220430.json,NSE corporate actions API
448GS2023,Government of India,GS,100.0,Interest Payment,2022-04-28,2022-04-30,,,,,corporate_actions_20220401_20220430.json,NSE corporate actions API
824GS2027,GOVERNMENT OF INDIA,GS,100.0,Interest Payment,2019-08-13,2019-08-14,,,,,corporate_actions_20190801_20190831.json,NSE corporate actions API
824GS2027,GOVERNMENT OF INDIA,GS,100.0,Interest Payment,2019-08-13,2019-08-14,,,,,corporate_actions_20190801_20190831.json,NSE corporate actions API
AGARIND,Agarwal Industrial Corporation Limited,EQ,10.0,Annual General Meeting/Dividend Rs 1.50 Per Share,2018-09-19,,2018-09-23,2018-09-29,,,corporate_actions_20180901_20180930.json,NSE corporate actions API
AGARIND,Agarwal Industrial Corporation Limited,EQ,10.0,Annual General Meeting/Dividend Rs 1.50 Per Share,2018-09-19,,2018-09-23,2018-09-29,,,corporate_actions_20180901_20180930.json,NSE corporate actions API
ANANTRAJ,Anant Raj Limited,EQ,2.0,Annual General Meeting/Dividend Re 0.24 Per Share,2018-09-19,,2018-09-22,2018-09-29,,,corporate_actions_20180901_20180930.json,NSE corporate actions API
ANANTRAJ,Anant Raj Limited,EQ,2.0,Annual General Meeting/Dividend Re 0.24 Per Share,2018-09-19,,2018-09-22,2018-09-29,,,corporate_actions_20180901_20180930.json,NSE corporate actions API
BEARDSELL,Beardsell Limited,EQ,2.0,Dividend - Rs 0.10 Per Share,2022-09-23,2022-09-23,,,,,corporate_actions_20220901_20220930.json,NSE corporate actions API
BEARDSELL,Beardsell Limited,EQ,2.0,Dividend - Rs 0.10 Per Share,2022-09-23,2022-09-23,,,,,corporate_actions_20220901_20220930.json,NSE corporate actions API
IDFC,IDFC Limited,H5,5000.0,Interest Payment,2015-02-05,2015-02-06,,,,,corporate_actions_20150201_20150228.json,NSE corporate actions API
IDFC,IDFC Limited,H5,5000.0,Interest Payment,2015-02-05,2015-02-06,,,,,corporate_actions_20150201_20150228.json,NSE corporate actions API
JAMNAAUTO,Jamna Auto Industries Limited,EQ,1.0,Annual General Meeting/Dividend - Rs  1.10 Per Share,2023-07-21,,2023-07-22,2023-07-31,,,corporate_actions_20230701_20230731.json,NSE corporate actions API
JAMNAAUTO,Jamna Auto Industries Limited,EQ,1.0,Annual General Meeting/Dividend - Rs  1.10 Per Share,2023-07-21,,2023-07-22,2023-07-31,,,corporate_actions_20230701_20230731.json,NSE corporate actions API
LOTUSEYE,Lotus Eye Hospital and Institute Limited,EQ,10.0,Annual General Meeting/Dividend Re 0.5 Per Share,2018-09-14,,2018-09-18,2018-09-24,,,corporate_actions_20180901_20180930.json,NSE corporate actions API
LOTUSEYE,Lotus Eye Hospital and Institute Limited,EQ,10.0,Annual General Meeting/Dividend Re 0.5 Per Share,2018-09-14,,2018-09-18,2018-09-24,,,corporate_actions_20180901_20180930.json,NSE corporate actions API
PSL,PSL Limited,EQ,10.0,Annual General Meeting,2014-09-18,,2014-09-20,2014-09-25,,,corporate_actions_20140901_20140930.json,NSE corporate actions API
PSL,PSL Limited,EQ,10.0,Annual General Meeting,2014-09-18,,2014-09-20,2014-09-25,,,corporate_actions_20140901_20140930.json,NSE corporate actions API
REMSONSIND,Remsons Industries Limited,EQ,2.0,Annual General Meeting/Dividend Re 1.30 Per Share,2018-09-14,,2018-09-18,2018-09-24,,,corporate_actions_20180901_20180930.json,NSE corporate actions API
REMSONSIND,Remsons Industries Limited,EQ,2.0,Annual General Meeting/Dividend Re 1.30 Per Share,2018-09-14,,2018-09-18,2018-09-24,,,corporate_actions_20180901_20180930.json,NSE corporate actions API
UCAL,UCAL LIMITED,EQ,10.0,Dividend Rs 10 Per Share,2018-09-19,,2018-09-22,2018-09-29,,,corporate_actions_20180901_20180930.json,NSE corporate actions API
UCAL,UCAL LIMITED,EQ,10.0,Dividend Rs 10 Per Share,2018-09-19,,2018-09-22,2018-09-29,,,corporate_actions_20180901_20180930.json,NSE corporate actions API
VADILALIND,Vadilal Industries Limited,EQ,10.0,Dividend Rs 1.25 Per Share,2018-09-12,,2018-09-15,2018-09-24,,,corporate_actions_20180901_20180930.json,NSE corporate actions API
VADILALIND,Vadilal Industries Limited,EQ,10.0,Dividend Rs 1.25 Per Share,2018-09-12,,2018-09-15,2018-09-24,,,corporate_actions_20180901_20180930.json,NSE corporate actions API
VAKRANGEE,Vakrangee Limited,EQ,1.0,Dividend Re 0.25 Per Share,2018-09-19,,2018-09-22,2018-09-28,,,corporate_actions_20180901_20180930.json,NSE corporate actions API
VAKRANGEE,Vakrangee Limited,EQ,1.0,Dividend Re 0.25 Per Share,2018-09-19,,2018-09-22,2018-09-28,,,corporate_actions_20180901_20180930.json,NSE corporate actions API
