evidence_id,filename,source_url,authority,document_type,publication_date,document_date,publication_date_status,effective_date,relevant_terms,review_status,local_file,retrieved_at_utc,sha256,bytes,parsing_status,publication_timestamp_ist
MSEI_JSWENERGY_CA,msei_jswenergy_corporate_actions.html,https://www.msei.in/corporates/corporate-securities-information/corporate-update/default?symbol=JSWENERGY&type=4&vmode=vm,Metropolitan Stock Exchange of India,exchange_corporate_action_page,,,NOT_STATED_ON_DYNAMIC_EXCHANGE_PAGE,2017-06-30,AGM/final dividend Re 0.50 per ordinary share; ex-date 2017-06-30.,MANUALLY_REVIEWED,data/raw/corporate_action_evidence/msei_jswenergy_corporate_actions.html,2026-09-15T08:13:28.618715+00:00,a4f1e65318ea089363edae2351ea42673b04a176c0b312de73b7adda9e6c4961,149127,MANUAL_REVIEW_COMPLETE,
MSEI_SRF_CA,msei_srf_corporate_actions.html,https://www.msei.in/corporates/corporate-securities-information/corporate-update/default?symbol=SRF&type=4&vmode=vm,Metropolitan Stock Exchange of India,exchange_corporate_action_page,,,NOT_STATED_ON_DYNAMIC_EXCHANGE_PAGE,2017-08-16,Interim dividend Rs 6 per ordinary share; ex-date 2017-08-16.,MANUALLY_REVIEWED,data/raw/corporate_action_evidence/msei_srf_corporate_actions.html,2026-09-15T08:13:29.481061+00:00,5e854a9d67dec1a848fe625782c5925e88402ca9ed868bb7b96416fce1619151,170462,MANUAL_REVIEW_COMPLETE,
COLPAL_AR_2018_19,colpal_annual_report_2018_19.pdf,https://www.colgateinvestors.co.in/media/2296/colgate-ar-2018-19-full.pdf,Colgate-Palmolive (India) Limited,company_annual_report,,2019-05-27,NOT_VERIFIED_FROM_PRESERVED_DOCUMENT,2019-04-05,Second interim dividend declared in March 2019: Rs 7 per ordinary share.,MANUALLY_REVIEWED,data/raw/corporate_action_evidence/colpal_annual_report_2018_19.pdf,2026-09-15T08:06:23.208774+00:00,9f587a71d68d0717f5f9fe2e8744d69def817e4574404b89c995648049f32d32,6043736,MANUAL_REVIEW_COMPLETE,
VIPIND_AR_2021_22,vipind_annual_report_2021_22.pdf,https://vipindustries.co.in/storage/investor-presentations/December2022/Annual%20Report%20-%202021-22.pdf,VIP Industries Limited,company_annual_report,2022-07-09,2022-07-09,STATED_EXCHANGE_SUBMISSION_DATE,2022-03-08,Interim dividend paid in March 2022: Rs 2.50 per ordinary share of face value Rs 2.,MANUALLY_REVIEWED,data/raw/corporate_action_evidence/vipind_annual_report_2021_22.pdf,2026-09-15T08:06:24.865484+00:00,8422f19261c93acb3fb6f45c7a10c2eedbf9d6e3c9bde5c3a41d8d81613efd82,13581668,MANUAL_REVIEW_COMPLETE,
VEDL_OUTCOME_2022_04_28,vedl_outcome_2022_04_28.pdf,https://nsearchives.nseindia.com/corporate/VEDL_28042022154310_OutcomeOfBM28April2022signed.pdf,Vedanta Limited filing preserved by NSE,exchange_filing,2022-04-28,2022-04-28,STATED_EXCHANGE_FILING_DATE,2022-03-09,Third interim dividend approved 2 March 2022: Rs 13 per ordinary share.,MANUALLY_REVIEWED,data/raw/corporate_action_evidence/vedl_outcome_2022_04_28.pdf,2026-09-15T08:06:27.014198+00:00,5a826ecbe621fb7e5136ab87ddf58e21005d400e8a68a83ea4bf30d3803cc379,7358976,MANUAL_REVIEW_COMPLETE,
GRINFRA_DIVIDEND_UPDATE_2022_11_10,grinfra_dividend_update_2022_11_10.pdf,https://www.grinfra.com/wp-content/uploads/2022/11/38.-Update-on-dividend-10.11.2022.pdf,G R Infraprojects Limited exchange filing,company_exchange_filing,2022-11-10,2022-11-10,STATED_EXCHANGE_FILING_DATE,2022-11-17,Board deferred the proposed interim dividend; no declared holder cash amount.,MANUALLY_REVIEWED,data/raw/corporate_action_evidence/grinfra_dividend_update_2022_11_10.pdf,2026-09-15T08:06:27.627364+00:00,b69168ed11673c184090f90dd373e6c2e329190be40410f78fcb29e4ce68f261,242145,MANUAL_REVIEW_COMPLETE,
SINTEX_AR_2016_17,sintex_annual_report_2016_17.pdf,https://sintex.in/wp-content/uploads/2025/05/Sintex-Annual-Report-2016-17.pdf,Sintex Industries Limited,company_annual_report,,,NOT_VERIFIED_FROM_PRESERVED_DOCUMENT,2016-08-08,"26 rights shares per 151 old shares at Rs 65 each, including Rs 64 premium.",MANUALLY_REVIEWED,data/raw/corporate_action_evidence/sintex_annual_report_2016_17.pdf,2026-09-15T08:13:30.158337+00:00,9f174d4e16a588990751de89d4ac79ea613d4733fe5f25804256a23eb960516a,1680327,MANUAL_REVIEW_COMPLETE,
TATASTEEL_LOF_2018,tatasteel_letter_of_offer_2018.pdf,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2018/1516794446987.pdf,Tata Steel Limited letter of offer preserved by SEBI,rights_letter_of_offer,2018-01-24,2018-01-22,SEBI_ARCHIVE_TIMESTAMP,2018-01-31,4:25 fully paid rights at Rs 510 and 2:25 partly paid rights at Rs 615; simultaneous but unlinked.,MANUALLY_REVIEWED,data/raw/corporate_action_evidence/tatasteel_letter_of_offer_2018.pdf,2026-09-15T08:13:36.901358+00:00,a3a86553f4c146f06d304a3c4eafce524a817590f31d02c9693e2db17b014627,3608832,MANUAL_REVIEW_COMPLETE,
ABFRL_RIGHTS_ISSUE_AD_2020,abfrl_rights_issue_ad_2020.pdf,https://nsearchives.nseindia.com/corporate/ABFRL_15072020170741_SEIntimationIssueAd.pdf,Aditya Birla Fashion and Retail Limited filing preserved by NSE,rights_issue_advertisement,2020-07-15,2020-07-15,STATED_EXCHANGE_FILING_DATE,2020-06-30,9:77 partly paid rights at a total issue price of Rs 110; transferable NSE rights entitlement.,MANUALLY_REVIEWED,data/raw/corporate_action_evidence/abfrl_rights_issue_ad_2020.pdf,2026-09-15T08:13:38.803575+00:00,f95d7fa4d256fc4b85a1b3fab21c2770002eb329d4a95e2a534c4afd48c33c1a,5987352,MANUAL_REVIEW_COMPLETE,
BLUEDART_BONUS_DEBENTURE_TERMS,bluedart_bonus_debenture_terms.html,https://www.bluedart.com/press202,Blue Dart Express Limited,company_release,2013-10-15,2013-10-15,STATED_COMPANY_RELEASE_DATE,2014-11-17,"7, 4 and 3 debentures of Rs 10 per equity share, with 36, 48 and 60 month maturities; ex-date fair value is not supplied.",TERMS_REVIEWED_VALUE_UNRESOLVED,data/raw/corporate_action_evidence/bluedart_bonus_debenture_terms.html,2026-09-15T08:13:48.096852+00:00,f76829102fd18e83a86b56ad899c37f193886ec76bfb6061cf0b4553847552a7,328906,MANUAL_REVIEW_COMPLETE,
