symbol,company,series,face_value,purpose,ex_date,record_date,book_closure_start,book_closure_end,payment_date,remarks,source_file,source,purpose_normalized,is_dividend,is_bonus,is_split,is_consolidation,is_rights,is_structural,is_buyback,is_capital_reduction,is_meeting,is_interest,is_redemption,primary_class,dividend_amount,ratio_a,ratio_b,old_face_value_parsed,new_face_value_parsed,economic_event_count,multiple_event_types,needs_manual_review
SHARONBIO,Sharon Bio-Medicine Limited,EQ,2.0,Dividend Of Rs 1.80/- Per Share,2013-01-03,,2013-01-07,2013-01-08,,,corporate_actions_20130101_20130131.json,NSE corporate actions API,DIVIDEND OF RS 1.80/- PER SHARE,True,False,False,False,False,False,False,False,False,False,False,DIVIDEND,1.8,,,,,1,False,False
VISESHINFO,Visesh Infotecnics Limited,EQ,1.0,Face Value Split From Rs 10 To Re 1,2013-01-03,2013-01-04,,,,,corporate_actions_20130101_20130131.json,NSE corporate actions API,FACE VALUE SPLIT FROM RS 10 TO RE 1,False,False,True,False,False,False,False,False,False,False,False,SPLIT,,,,10.0,1.0,1,False,False
NELCO,NELCO Limited,EQ,10.0,Annual General Meeting/Dividend Re 0.50 Per Share,2013-01-04,,2013-01-08,2013-01-10,,,corporate_actions_20130101_20130131.json,NSE corporate actions API,ANNUAL GENERAL MEETING/DIVIDEND RE 0.50 PER SHARE,True,False,False,False,False,False,False,False,True,False,False,DIVIDEND,0.5,,,,,1,False,False
CHESLINTEX,Cheslind Textiles Limited,EQ,10.0,Annual General Meeting,2013-01-15,,2013-01-17,2013-01-21,,,corporate_actions_20130101_20130131.json,NSE corporate actions API,ANNUAL GENERAL MEETING,False,False,False,False,False,False,False,False,True,False,False,MEETING_ONLY,,,,,,0,False,False
TATASTLBSL,Tata Steel Bsl Limited,EQ,2.0,Right Issue 1:15 @ Premium Of Rs 333 Per Share,2013-01-15,2013-01-16,,,,,corporate_actions_20130101_20130131.json,NSE corporate actions API,RIGHT ISSUE 1:15 @ PREMIUM OF RS 333 PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,1.0,15.0,,,1,False,False
SIEMENS,Siemens Limited,EQ,2.0,Annual General Meeting / Dividend Rs. 6/- Per Share,2013-01-16,,2013-01-18,2013-01-31,,,corporate_actions_20130101_20130131.json,NSE corporate actions API,ANNUAL GENERAL MEETING / DIVIDEND RS. 6/- PER SHARE,True,False,False,False,False,False,False,False,True,False,False,DIVIDEND,6.0,,,,,1,False,False
CHEMFALKAL,Chemfab Alkalis Limited,EQ,5.0,Interim Dividend Rs.5.00 Per Share,2013-01-17,2013-01-18,,,,,corporate_actions_20130101_20130131.json,NSE corporate actions API,INTERIM DIVIDEND RS.5.00 PER SHARE,True,False,False,False,False,False,False,False,False,False,False,DIVIDEND,5.0,,,,,1,False,False
MPHASIS,MphasiS Limited,EQ,10.0,Annual General Meeting/Dividend Rs.17 Per Share,2013-01-17,,2013-01-21,2013-02-01,,,corporate_actions_20130101_20130131.json,NSE corporate actions API,ANNUAL GENERAL MEETING/DIVIDEND RS.17 PER SHARE,True,False,False,False,False,False,False,False,True,False,False,DIVIDEND,17.0,,,,,1,False,False
RSSOFTWARE,R. S. Software (India) Limited,EQ,5.0,Interim Dividend Rs.1.50 Per Share,2013-01-17,2013-01-18,,,,,corporate_actions_20130101_20130131.json,NSE corporate actions API,INTERIM DIVIDEND RS.1.50 PER SHARE,True,False,False,False,False,False,False,False,False,False,False,DIVIDEND,1.5,,,,,1,False,False
HCLTECH,HCL Technologies Limited,EQ,2.0,Interim Dividend Of Rs 2/- Per Equity Share (Purpose Revised),2013-01-21,2013-01-22,,,,,corporate_actions_20130101_20130131.json,NSE corporate actions API,INTERIM DIVIDEND OF RS 2/- PER EQUITY SHARE (PURPOSE REVISED),True,False,False,False,False,False,False,False,False,False,False,DIVIDEND,2.0,,,,,1,False,False
