purpose,count
BUY BACK,171
EXTRA ORDINARY GENERAL MEETING,157
ANNUAL BOOK CLOSURE,24
EXTRA-ORDINARY GENERAL MEETING,17
E-VOTING,11
FV SPLT FRM RS 10 TO RS 2,7
DISTRIBUTION,6
EXTRA- ORDINARY GENERAL MEETING,4
BUY BACK-TENDER OFFER,3
ANUUAL GENERAL MEETING,3
ANNUAL GENERAL MEEING,3
BUY BACK OF SHARES,3
FV SPLT FRM RS 10 TO RE 1,3
INT DIV - RS 4/- PER SHARE (PURPOSE REVISED),2
ANUAL GENERAL MEETING,2
ANNUL GENERAL MEETING,2
FV SPLT FRM RS 10 TO RS 5,2
DISTRIBUTION - RS 3 PER UNIT,2
ANNUAL GENERAL MEETINGDIVIDEND - RS 2.5 PER SHARE,2
INTERIM DIV. OF RE. 0.70/- PER EQUITY SHARE RE.1/- EACH,1
INTERIM DIV. OF RS.5/- PER SHARE OF RS. 10/- EACH.,1
INTERIM DIVIDEN RS 5 PER SHARE,1
ANNUAL CLOSURE,1
9 CCDS FOR EVERY 40 EQUITY SHARES,1
INTERIM DIV-RS.1.60 PER SHARE,1
E - VOTING,1
INTERIM DIV -RS 1.80 PER SHARE,1
ANNUAL GENERAFL MEETING,1
2ND INT DIV-RS.7.50 PER SHARE,1
INTERIM DIVIDED - RS 2.35/- PER SHARE (PURPOSE REVISED),1
INTERIM DIVDEND - RS 5/- PER SHARE,1
INT DIV RE 0.40 PER SHARE (PURPOSE REVISED),1
BUY BACK - TENDER OFFER,1
ANNUAL GENERAL MEETIG,1
FOR DISTRIBUTION OF CHENNAI SUPER KINGS CRICKET LIMITED SHARES TO THE SHAREHOLDERS OF INDIA CEMENTS,1
CASH-OUT,1
ANNUAL GENERAL MEETNG,1
SHEME OF ARRANGEMENT,1
ANNUA GENERAL MEETING,1
ANNUAL GEMERAL MEETING,1
ANNNUAL GENERAL MEETING,1
ANNUAL GENERAL MEETINGAGM,1
ANNUAL GENERAL MEETINGDIVIDEND RE 0.20 PER SHARE,1
ANNUAL GENERAL MEETINGDIVIDEND - RS 1.10 PER SHARE,1
ANNUAL GENRAL MEETING,1
ANNUAL GENERAL MEEETING,1
ANNAUL GENERAL MEETING,1
ANNUAL BOOK CLOSING,1
ANNUAL GENERAL MEETINGDIVIDEND - RE 1/- PER SHARE,1
ANNUAL CLOSING,1
BUY BACK OF SHARE,1
FV SPLT FRM RS 2 TO RE 1,1
FV SPLT FRM RS 5 TO RE 1,1
INT DIV RE 0.40 PER SHARE,1
INT DIV RE 1/- PER SHARE (PURPOSE REVISED),1
ANNUAL GENERAL MEEING/IVIDEND - RS 6 PER SHARE,1
ANNAUL GENERAL MEETING (BOOK CLOSURE DATES REVISED),1
FIRST DISTRIBUTION - RE 0.92 PER UNIT,1
ANNUAL GENERAL METEING,1
ANNUAL GENERAL MEETIN,1
ANNUAL GENERAL METING,1
SECOND DISTRIBUTION - RS 2.75 PER UNIT,1
ANNUALGENERAL MEETING,1
THIRD DISTRIBUTION- RS 2.89 PER UNIT,1
EXTRA-OIRDINARY GENERAL MEETING,1
FOURTH DISTRIBUTION - RS 3/- PER UNIT,1
MEETING OF EQUITY SHAREHOLDERS,1
DISTRIBUTION RS 3 PER UNIT FOR THE FIRST QUARTER OF FY 2018-19(PURPOSE REVISED),1
INT DIV- 2 PER SHARE (PURPOSE REVISED),1
INT DIV RS 4 PER SH,1
INTERIM DIV - RS 3 PER SHARE,1
INT DIV -RS 6 PER SH,1
INTERIM DIV - RE 0.20 PER SHARE,1
INT DIV - RS 0.71 PER SH,1
INTERIM DIV - RS 2.50 PER SHARE,1
DISTRIBUTION - RS 3.51 PER UNIT,1
DISTRIBUTION - RS 0.51 PER UNIT,1
