membership_date,price_date_used,symbol
2015-04-30,2015-04-30,360ONE
2015-04-30,2015-04-30,ABFRL
2015-04-30,2015-04-30,ABREL
2015-04-30,2015-04-30,ADANIENSOL
2015-04-30,2015-04-30,AEGISLOG
2015-04-30,2015-04-30,ALKEM
2015-04-30,2015-04-30,ANGELONE
2015-04-30,2015-04-30,ARE&M
2015-04-30,2015-04-30,BAJAJCON
2015-04-30,2015-04-30,BHARATFIN
2015-04-30,2015-04-30,CGPOWER
2015-04-30,2015-04-30,CHOLAHLDNG
2015-04-30,2015-04-30,CIEINDIA
2015-04-30,2015-04-30,COFFEEDAY
2015-04-30,2015-04-30,COFORGE
2015-04-30,2015-04-30,COHANCE
2015-04-30,2015-04-30,CROMPTON
2015-04-30,2015-04-30,DALBHARAT
2015-04-30,2015-04-30,EPIGRAL
2015-04-30,2015-04-30,EPL
2015-04-30,2015-04-30,EQUITAS
2015-04-30,2015-04-30,GEPIL
2015-04-30,2015-04-30,GET&D
2015-04-30,2015-04-30,GMRAIRPORT
2015-04-30,2015-04-30,GUJGASLTD
2015-04-30,2015-04-30,GVT&D
2015-04-30,2015-04-30,HBLENGINE
2015-04-30,2015-04-30,HUHTAMAKI
2015-04-30,2015-04-30,IDFCFIRSTB
2015-04-30,2015-04-30,INDIGO
2015-04-30,2015-04-30,INDUSTOWER
2015-04-30,2015-04-30,INFIBEAM
2015-04-30,2015-04-30,JCHAC
2015-04-30,2015-04-30,JSWDULUX
2015-04-30,2015-04-30,KPIL
2015-04-30,2015-04-30,LALPATHLAB
2015-04-30,2015-04-30,LTF
2015-04-30,2015-04-30,MANPASAND
2015-04-30,2015-04-30,MFSL
2015-04-30,2015-04-30,MOTHERSON
2015-04-30,2015-04-30,NAVKARCORP
2015-04-30,2015-04-30,NH
2015-04-30,2015-04-30,NLCINDIA
2015-04-30,2015-04-30,PCBL
2015-04-30,2015-04-30,PGHL
2015-04-30,2015-04-30,RASOYPR
2015-04-30,2015-04-30,RHIM
2015-04-30,2015-04-30,RNAVAL
2015-04-30,2015-04-30,SAMMAANCAP
2015-04-30,2015-04-30,SCHAEFFLER
2015-04-30,2015-04-30,SEQUENT
2015-04-30,2015-04-30,SFCL
2015-04-30,2015-04-30,SGPC
2015-04-30,2015-04-30,SHRIRAMFIN
2015-04-30,2015-04-30,SHTV
2015-04-30,2015-04-30,SITINET
2015-04-30,2015-04-30,STLTECH
2015-04-30,2015-04-30,SWANCORP
2015-04-30,2015-04-30,SYNGENE
2015-04-30,2015-04-30,TATACONSUM
2015-04-30,2015-04-30,TMPV
2015-04-30,2015-04-30,UNITDSPR
2015-04-30,2015-04-30,VEDL
2015-04-30,2015-04-30,WELSPUNLIV
2015-04-30,2015-04-30,ZFCVINDIA
2015-04-30,2015-04-30,ZYDUSLIFE
2016-03-31,2016-03-31,360ONE
2016-03-31,2016-03-31,ABREL
2016-03-31,2016-03-31,ADANIENSOL
2016-03-31,2016-03-31,AEGISLOG
2016-03-31,2016-03-31,ANGELONE
2016-03-31,2016-03-31,ARE&M
2016-03-31,2016-03-31,BAJAJCON
2016-03-31,2016-03-31,BHARATFIN
2016-03-31,2016-03-31,CGPOWER
2016-03-31,2016-03-31,CHOLAHLDNG
2016-03-31,2016-03-31,CIEINDIA
2016-03-31,2016-03-31,COFORGE
2016-03-31,2016-03-31,COHANCE
2016-03-31,2016-03-31,CROMPTON
2016-03-31,2016-03-31,DALBHARAT
2016-03-31,2016-03-31,EPIGRAL
2016-03-31,2016-03-31,EPL
2016-03-31,2016-03-31,EQUITAS
2016-03-31,2016-03-31,GEPIL
2016-03-31,2016-03-31,GET&D
2016-03-31,2016-03-31,GMRAIRPORT
2016-03-31,2016-03-31,GVT&D
2016-03-31,2016-03-31,HBLENGINE
2016-03-31,2016-03-31,HUHTAMAKI
2016-03-31,2016-03-31,IDFCFIRSTB
2016-03-31,2016-03-31,INDUSTOWER
2016-03-31,2016-03-31,INFIBEAM
2016-03-31,2016-03-31,JCHAC
2016-03-31,2016-03-31,JSWDULUX
2016-03-31,2016-03-31,KPIL
2016-03-31,2016-03-31,LTF
2016-03-31,2016-03-31,MOTHERSON
2016-03-31,2016-03-31,NLCINDIA
2016-03-31,2016-03-31,PCBL
2016-03-31,2016-03-31,PGHL
2016-03-31,2016-03-31,RHIM
2016-03-31,2016-03-31,RNAVAL
2016-03-31,2016-03-31,SAMMAANCAP
2016-03-31,2016-03-31,SCHAEFFLER
2016-03-31,2016-03-31,SGPC
2016-03-31,2016-03-31,SHRIRAMFIN
2016-03-31,2016-03-31,SHTV
2016-03-31,2016-03-31,SITINET
2016-03-31,2016-03-31,STLTECH
2016-03-31,2016-03-31,SWANCORP
2016-03-31,2016-03-31,TATACONSUM
2016-03-31,2016-03-31,TMPV
2016-03-31,2016-03-31,UNITDSPR
2016-03-31,2016-03-31,WELSPUNLIV
2016-03-31,2016-03-31,ZFCVINDIA
2016-03-31,2016-03-31,ZYDUSLIFE
2017-03-31,2017-03-31,360ONE
2017-03-31,2017-03-31,ABREL
2017-03-31,2017-03-31,ADANIENSOL
2017-03-31,2017-03-31,AEGISLOG
2017-03-31,2017-03-31,ANGELONE
2017-03-31,2017-03-31,ARE&M
2017-03-31,2017-03-31,BAJAJCON
2017-03-31,2017-03-31,CHOLAHLDNG
2017-03-31,2017-03-31,CIEINDIA
2017-03-31,2017-03-31,COFORGE
2017-03-31,2017-03-31,COHANCE
2017-03-31,2017-03-31,DALBHARAT
2017-03-31,2017-03-31,EPIGRAL
2017-03-31,2017-03-31,EPL
2017-03-31,2017-03-31,GMRAIRPORT
2017-03-31,2017-03-31,GVT&D
2017-03-31,2017-03-31,HBLENGINE
2017-03-31,2017-03-31,HUHTAMAKI
2017-03-31,2017-03-31,IDFCFIRSTB
2017-03-31,2017-03-31,INDUSTOWER
2017-03-31,2017-03-31,JSWDULUX
2017-03-31,2017-03-31,KPIL
2017-03-31,2017-03-31,LTF
2017-03-31,2017-03-31,MOTHERSON
2017-03-31,2017-03-31,PCBL
2017-03-31,2017-03-31,PGHL
2017-03-31,2017-03-31,RHIM
2017-03-31,2017-03-31,RNAVAL
2017-03-31,2017-03-31,SAMMAANCAP
2017-03-31,2017-03-31,SCHAEFFLER
2017-03-31,2017-03-31,SGPC
2017-03-31,2017-03-31,SHRIRAMFIN
2017-03-31,2017-03-31,SHTV
2017-03-31,2017-03-31,STLTECH
2017-03-31,2017-03-31,SWANCORP
2017-03-31,2017-03-31,TATACONSUM
2017-03-31,2017-03-31,TMPV
2017-03-31,2017-03-31,UNITDSPR
2017-03-31,2017-03-31,UNOMINDA
2017-03-31,2017-03-31,WELSPUNLIV
2017-03-31,2017-03-31,ZFCVINDIA
2017-03-31,2017-03-31,ZYDUSLIFE
2018-03-28,2018-03-28,360ONE
2018-03-28,2018-03-28,ABREL
2018-03-28,2018-03-28,ADANIENSOL
2018-03-28,2018-03-28,AEGISLOG
2018-03-28,2018-03-28,ANGELONE
2018-03-28,2018-03-28,ARE&M
2018-03-28,2018-03-28,BAJAJCON
2018-03-28,2018-03-28,CHOLAHLDNG
2018-03-28,2018-03-28,CIEINDIA
2018-03-28,2018-03-28,COFORGE
2018-03-28,2018-03-28,COHANCE
2018-03-28,2018-03-28,DALBHARAT
2018-03-28,2018-03-28,DHANI
2018-03-28,2018-03-28,EPIGRAL
2018-03-28,2018-03-28,EPL
2018-03-28,2018-03-28,GMRAIRPORT
2018-03-28,2018-03-28,GVT&D
2018-03-28,2018-03-28,HBLENGINE
2018-03-28,2018-03-28,HUHTAMAKI
2018-03-28,2018-03-28,IDFCFIRSTB
2018-03-28,2018-03-28,INDUSTOWER
2018-03-28,2018-03-28,JSWDULUX
2018-03-28,2018-03-28,KPIL
2018-03-28,2018-03-28,LTF
2018-03-28,2018-03-28,MOTHERSON
2018-03-28,2018-03-28,PCBL
2018-03-28,2018-03-28,PGHL
2018-03-28,2018-03-28,RHIM
2018-03-28,2018-03-28,SAMMAANCAP
2018-03-28,2018-03-28,SGPC
2018-03-28,2018-03-28,SHRIRAMFIN
2018-03-28,2018-03-28,SHTV
2018-03-28,2018-03-28,STLTECH
2018-03-28,2018-03-28,SWANCORP
2018-03-28,2018-03-28,TATACONSUM
2018-03-28,2018-03-28,TMPV
2018-03-28,2018-03-28,UNITDSPR
2018-03-28,2018-03-28,UNOMINDA
2018-03-28,2018-03-28,WELSPUNLIV
2018-03-28,2018-03-28,ZFCVINDIA
2018-03-28,2018-03-28,ZYDUSLIFE
2020-03-31,2020-03-31,360ONE
2020-03-31,2020-03-31,ABREL
2020-03-31,2020-03-31,ADANIENSOL
2020-03-31,2020-03-31,AEGISLOG
2020-03-31,2020-03-31,AFFLE
2020-03-31,2020-03-31,ANGELONE
2020-03-31,2020-03-31,ARE&M
2020-03-31,2020-03-31,ATGL
2020-03-31,2020-03-31,CIEINDIA
2020-03-31,2020-03-31,COFORGE
2020-03-31,2020-03-31,COHANCE
2020-03-31,2020-03-31,DHANI
2020-03-31,2020-03-31,DMART
2020-03-31,2020-03-31,EPIGRAL
2020-03-31,2020-03-31,EPL
2020-03-31,2020-03-31,GMRAIRPORT
2020-03-31,2020-03-31,GVT&D
2020-03-31,2020-03-31,HBLENGINE
2020-03-31,2020-03-31,HUHTAMAKI
2020-03-31,2020-03-31,INDUSTOWER
2020-03-31,2020-03-31,JSWDULUX
2020-03-31,2020-03-31,KPIL
2020-03-31,2020-03-31,LTF
2020-03-31,2020-03-31,MOTHERSON
2020-03-31,2020-03-31,PCBL
2020-03-31,2020-03-31,RHIM
2020-03-31,2020-03-31,SAMMAANCAP
2020-03-31,2020-03-31,SGPC
2020-03-31,2020-03-31,SHRIRAMFIN
2020-03-31,2020-03-31,SHTV
2020-03-31,2020-03-31,STLTECH
2020-03-31,2020-03-31,SWANCORP
2020-03-31,2020-03-31,TMPV
2020-03-31,2020-03-31,UNITDSPR
2020-03-31,2020-03-31,UNOMINDA
2020-03-31,2020-03-31,WELSPUNLIV
2020-03-31,2020-03-31,ZFCVINDIA
2020-03-31,2020-03-31,ZYDUSLIFE
2022-03-31,2022-03-31,360ONE
2022-03-31,2022-03-31,ABREL
2022-03-31,2022-03-31,ADANIENSOL
2022-03-31,2022-03-31,AEGISLOG
2022-03-31,2022-03-31,ARE&M
2022-03-31,2022-03-31,BCG
2022-03-31,2022-03-31,CIEINDIA
2022-03-31,2022-03-31,COHANCE
