symbol,valid_from,valid_to,source,source_url,notes,needs_manual_audit,referenced_document
360ONE,2014-01-01,,snapshot_floor,,,True,
3MINDIA,2014-01-01,,snapshot_floor,,,True,
AARTIIND,2014-01-01,2019-03-29,snapshot_floor,,closed by ind_prs25022019.pdf,True,ind_prs25022019.pdf
ABAN,2014-01-01,2018-09-28,snapshot_floor,,closed by ind_prs28082018.pdf,True,ind_prs28082018.pdf
ABFRL,2014-01-01,,snapshot_floor,,,True,
ABIRLANUVO,2014-01-01,2017-05-26,snapshot_floor,,closed by ind_prs27042017.pdf,True,ind_prs27042017.pdf
ABREL,2014-01-01,,snapshot_floor,,,True,
ACC,2014-01-01,,snapshot_floor,,,True,
ADANIENSOL,2014-01-01,,snapshot_floor,,,True,
ADANIENT,2014-01-01,2018-04-02,snapshot_floor,,closed by ind_prs21022018.pdf,True,ind_prs21022018.pdf
ADANIPORTS,2014-01-01,,snapshot_floor,,,True,
ADVANTA,2014-01-01,2016-04-29,snapshot_floor,,closed by ind_prs22042016.pdf,True,ind_prs22042016.pdf
AEGISLOG,2014-01-01,,snapshot_floor,,,True,
AHLUCONT,2014-01-01,2018-04-02,snapshot_floor,,closed by ind_prs21022018.pdf,True,ind_prs21022018.pdf
AIAENG,2014-01-01,,snapshot_floor,,,True,
AKZOINDIA,2014-01-01,2021-09-30,snapshot_floor,,closed by ind_prs15092021.pdf,True,ind_prs15092021.pdf
ALBK,2014-01-01,2019-12-27,snapshot_floor,,closed by ind_prs16122019.pdf,True,ind_prs16122019.pdf
ALKEM,2014-01-01,,snapshot_floor,,,True,
ALLCARGO,2014-01-01,2020-11-02,snapshot_floor,,closed by ind_prs26102020.pdf,True,ind_prs26102020.pdf
ALOKTEXT,2014-01-01,2017-03-31,snapshot_floor,,closed by ind_prs16022017.pdf,True,ind_prs16022017.pdf
AMBUJACEM,2014-01-01,,snapshot_floor,,,True,
AMTEKAUTO,2014-01-01,2017-09-29,snapshot_floor,,closed by ind_prs28082017.pdf,True,ind_prs28082017.pdf
ANANTRAJ,2014-01-01,2017-09-29,snapshot_floor,,closed by ind_prs28082017.pdf,True,ind_prs28082017.pdf
ANDHRABANK,2014-01-01,2019-12-27,snapshot_floor,,closed by ind_prs16122019.pdf,True,ind_prs16122019.pdf
ANGELONE,2014-01-01,,snapshot_floor,,,True,
ANSALAPI,2014-01-01,2015-09-28,snapshot_floor,,closed by ind_prs12082015.pdf,True,ind_prs12082015.pdf
APLAPOLLO,2014-01-01,,snapshot_floor,,,True,
APOLLOHOSP,2014-01-01,,snapshot_floor,,,True,
APOLLOTYRE,2014-01-01,,snapshot_floor,,,True,
ARE&M,2014-01-01,,snapshot_floor,,,True,
ASHOKLEY,2014-01-01,,snapshot_floor,,,True,
ASIANPAINT,2014-01-01,,snapshot_floor,,,True,
ASTRAZEN,2014-01-01,2018-04-02,snapshot_floor,,closed by ind_prs21022018.pdf,True,ind_prs21022018.pdf
ATUL,2014-01-01,,snapshot_floor,,,True,
AUROPHARMA,2014-01-01,,snapshot_floor,,,True,
AVANTIFEED,2014-01-01,2025-03-28,snapshot_floor,,closed by ind_prs21022025.pdf,True,ind_prs21022025.pdf
AXISBANK,2014-01-01,,snapshot_floor,,,True,
BAJAJ-AUTO,2014-01-01,,snapshot_floor,,,True,
BAJAJELEC,2014-01-01,2023-04-28,snapshot_floor,,closed by ind_prs19042023_1.pdf,True,ind_prs19042023_1.pdf
BAJAJFINSV,2014-01-01,,snapshot_floor,,,True,
BAJAJHIND,2014-01-01,2018-09-28,snapshot_floor,,closed by ind_prs28082018.pdf,True,ind_prs28082018.pdf
BAJAJHLDNG,2014-01-01,,snapshot_floor,,,True,
BAJFINANCE,2014-01-01,,snapshot_floor,,,True,
BALLARPUR,2014-01-01,2018-09-28,snapshot_floor,,closed by ind_prs28082018.pdf,True,ind_prs28082018.pdf
BALMLAWRIE,2014-01-01,2021-09-30,snapshot_floor,,closed by ind_prs15092021.pdf,True,ind_prs15092021.pdf
BALRAMCHIN,2014-01-01,,snapshot_floor,,,True,
BANKBARODA,2014-01-01,,snapshot_floor,,,True,
BANKINDIA,2014-01-01,,snapshot_floor,,,True,
BASF,2014-01-01,2023-09-29,snapshot_floor,,closed by ind_prs17082023.pdf,True,ind_prs17082023.pdf
BATAINDIA,2014-01-01,,snapshot_floor,,,True,
BBTC,2014-01-01,,snapshot_floor,,,True,
BEL,2014-01-01,,snapshot_floor,,,True,
BEML,2014-01-01,2022-04-12,snapshot_floor,,closed by ind_prs05042022_1.pdf,True,ind_prs05042022_1.pdf
BERGEPAINT,2014-01-01,,snapshot_floor,,,True,
BFUTILITIE,2014-01-01,2018-09-28,snapshot_floor,,closed by ind_prs28082018.pdf,True,ind_prs28082018.pdf
BGRENERGY,2014-01-01,2018-09-28,snapshot_floor,,closed by ind_prs28082018.pdf,True,ind_prs28082018.pdf
BHARATFIN,2014-01-01,2018-12-28,snapshot_floor,,closed by ind_prs14122018.pdf,True,ind_prs14122018.pdf
BHARATFORG,2014-01-01,,snapshot_floor,,,True,
BHARTIARTL,2014-01-01,,snapshot_floor,,,True,
BHEL,2014-01-01,,snapshot_floor,,,True,
BHUSANSTL,2014-01-01,2018-09-28,snapshot_floor,,closed by ind_prs28082018.pdf,True,ind_prs28082018.pdf
BIOCON,2014-01-01,,snapshot_floor,,,True,
BIRLACORPN,2014-01-01,2025-03-28,snapshot_floor,,closed by ind_prs21022025.pdf,True,ind_prs21022025.pdf
BLISSGVS,2014-01-01,2021-09-30,snapshot_floor,,closed by ind_prs15092021.pdf,True,ind_prs15092021.pdf
BLUEDART,2014-01-01,,snapshot_floor,,,True,
BLUESTARCO,2014-01-01,,snapshot_floor,,,True,
BOMDYEING,2014-01-01,2021-03-31,snapshot_floor,,closed by ind_prs23022021.pdf,True,ind_prs23022021.pdf
BOSCHLTD,2014-01-01,,snapshot_floor,,,True,
BPCL,2014-01-01,,snapshot_floor,,,True,
BRFL,2014-01-01,2017-03-31,snapshot_floor,,closed by ind_prs16022017.pdf,True,ind_prs16022017.pdf
BRIGADE,2014-01-01,2017-03-31,snapshot_floor,,closed by ind_prs16022017.pdf,True,ind_prs16022017.pdf
BRITANNIA,2014-01-01,,snapshot_floor,,,True,
CANBK,2014-01-01,,snapshot_floor,,,True,
CANFINHOME,2014-01-01,,snapshot_floor,,,True,
CAPF,2014-01-01,2018-12-28,snapshot_floor,,closed by ind_prs14122018.pdf,True,ind_prs14122018.pdf
CAPLIPOINT,2014-01-01,2023-03-31,snapshot_floor,,closed by ind_prs17022023_1.pdf,True,ind_prs17022023_1.pdf
CARBORUNIV,2014-01-01,,snapshot_floor,,,True,
CASTROLIND,2014-01-01,,snapshot_floor,,,True,
CCL,2014-01-01,,snapshot_floor,,,True,
CEATLTD,2014-01-01,,snapshot_floor,,,True,
CENTRALBK,2014-01-01,,snapshot_floor,,,True,
CENTURYTEX,2014-01-01,2018-12-28,snapshot_floor,,closed by ind_prs14122018.pdf,True,ind_prs14122018.pdf
CERA,2014-01-01,2026-03-30,snapshot_floor,,closed by ind_prs23022026.pdf,True,ind_prs23022026.pdf
CESC,2014-01-01,2018-02-05,snapshot_floor,,closed by ind_prs08012018.pdf,True,ind_prs08012018.pdf
CGPOWER,2014-01-01,2019-12-26,snapshot_floor,,closed by ind_prs18122019.pdf,True,ind_prs18122019.pdf
CHAMBLFERT,2014-01-01,,snapshot_floor,,,True,
CHENNPETRO,2014-01-01,2021-03-31,snapshot_floor,,closed by ind_prs23022021.pdf,True,ind_prs23022021.pdf
CHOLAFIN,2014-01-01,,snapshot_floor,,,True,
CHOLAHLDNG,2014-01-01,,snapshot_floor,,,True,
CIEINDIA,2014-01-01,2025-03-28,snapshot_floor,,closed by ind_prs21022025.pdf,True,ind_prs21022025.pdf
CIPLA,2014-01-01,,snapshot_floor,,,True,
COALINDIA,2014-01-01,,snapshot_floor,,,True,
COFFEEDAY,2014-01-01,2019-12-26,snapshot_floor,,closed by ind_prs18122019.pdf,True,ind_prs18122019.pdf
COFORGE,2014-01-01,,snapshot_floor,,,True,
COHANCE,2014-01-01,,snapshot_floor,,,True,
COLPAL,2014-01-01,,snapshot_floor,,,True,
CONCOR,2014-01-01,,snapshot_floor,,,True,
COROMANDEL,2014-01-01,,snapshot_floor,,,True,
CORPBANK,2014-01-01,2018-04-02,snapshot_floor,,closed by ind_prs21022018.pdf,True,ind_prs21022018.pdf
COX&KINGS,2014-01-01,2018-06-29,snapshot_floor,,closed by ind_prs24052018.pdf,True,ind_prs24052018.pdf
CRISIL,2014-01-01,,snapshot_floor,,,True,
CROMPGREAV,2014-01-01,2015-09-28,snapshot_floor,,closed by ind_prs24082015.pdf,True,ind_prs24082015.pdf
CROMPTON,2014-01-01,,snapshot_floor,,,True,
CUB,2014-01-01,,snapshot_floor,,,True,
CUMMINSIND,2014-01-01,,snapshot_floor,,,True,
CYIENT,2014-01-01,,snapshot_floor,,,True,
DABUR,2014-01-01,,snapshot_floor,,,True,
DALBHARAT,2014-01-01,2018-04-02,snapshot_floor,,closed by ind_prs21022018.pdf,True,ind_prs21022018.pdf
DBCORP,2014-01-01,2021-03-31,snapshot_floor,,closed by ind_prs23022021.pdf,True,ind_prs23022021.pdf
DBREALTY,2014-01-01,2018-09-28,snapshot_floor,,closed by ind_prs28082018.pdf,True,ind_prs28082018.pdf
DCBBANK,2014-01-01,2022-03-31,snapshot_floor,,closed by ind_prs24022022_1.pdf,True,ind_prs24022022_1.pdf
DCMSHRIRAM,2014-01-01,2024-09-30,snapshot_floor,,closed by ind_prs23082024.pdf,True,ind_prs23082024.pdf
