source_id,local_path,source_url,retrieved_at_utc,publication_date,applicable_date,effective_date_candidates,document_type,mime_type,byte_count,sha256,retrieval_status,parsed_additions,parsed_deletions,parsed_event_rows,contains_nifty500_text,parse_status,parse_error
NIFTY_52038c3aa285,data/raw/membership_official/ledgers/IndexInclExcl.xls,https://archives.nseindia.com/content/indices/IndexInclExcl.xls,2026-09-14T20:12:37.229421+00:00,,,,official_event_ledger,application/vnd.ms-excel,820736,8869bb7c4df67403131a494a8cc65509e80828f9438bc150b506cdbf55378046,OK,0,0,0,,NOT_APPLICABLE,
NIFTY_1a033c056539,data/raw/membership_official/monthly/indices_dataAug2014.zip,https://niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataAug2014.zip,2026-09-14T20:10:48.261887+00:00,,,,monthly_constituent_archive,application/zip,654798,6602912e34d6b6fc66f1cda520094669029c006ae89a2ac0e5aa0a3fe82af360,OK,0,0,0,,NOT_APPLICABLE,
NIFTY_7f78ebd009e8,data/raw/membership_official/monthly/indices_dataMar2021.zip,https://niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMar2021.zip,2026-09-14T20:17:10.565078+00:00,,,,monthly_constituent_archive,application/zip,5346035,c5678dfaf5e0b0a79b329509854404f18f164da83513e2a38a69c496e90b4155,OK,0,0,0,,NOT_APPLICABLE,
NIFTY_49cdb9a9eac2,data/raw/membership_official/monthly/indices_dataMar2022.zip,https://niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMar2022.zip,2026-09-14T20:17:12.335360+00:00,,,,monthly_constituent_archive,application/zip,5475885,44a182c845eac8ddd6864abe535d02c6ce9bdecc0adbf11a16e25133cc44b969,OK,0,0,0,,NOT_APPLICABLE,
NIFTY_1e2abaea515a,data/raw/membership_official/monthly/indices_dataOct2015.zip,https://niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataOct2015.zip,2026-09-14T20:14:25.617217+00:00,,,,monthly_constituent_archive,application/zip,774798,4516bcfc6aa1b90a669191f42a979d92004962ec123114075e6514768154e251,OK,0,0,0,,NOT_APPLICABLE,
NIFTY_3e300be37699,data/raw/membership_official/monthly/indices_dataOct2020.zip,https://niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataOct2020.zip,2026-09-14T20:14:27.312960+00:00,,,,monthly_constituent_archive,application/zip,5343930,62079b5a9c43c475f7f558453a4e27461cdf0ef06c056a521f852a4d85bde0c4,OK,0,0,0,,NOT_APPLICABLE,
NIFTY_3c763bda75d8,data/raw/membership_official/monthly/indices_dataSep2014.zip,https://niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataSep2014.zip,2026-09-14T20:14:24.541870+00:00,,,,monthly_constituent_archive,application/zip,654012,e000af7962c2f9a92ab273e7dcda50fc31f975cd69774e8d9f7a6ad2fa8d7e98,OK,0,0,0,,NOT_APPLICABLE,
NIFTY_8962b7cfbd67,data/raw/membership_official/monthly/indices_dataSep2015.zip,https://niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataSep2015.zip,2026-09-14T20:14:25.059834+00:00,,,,monthly_constituent_archive,application/zip,774607,65ba286fad3ea0bc2616e599e438df4dc4156524ce81b4e270eeca4c66cc273f,OK,0,0,0,,NOT_APPLICABLE,
NIFTY_f31a816c4343,data/raw/membership_official/monthly/indices_dataSep2020.zip,https://niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataSep2020.zip,2026-09-14T20:14:26.373642+00:00,,,,monthly_constituent_archive,application/zip,5343967,effeedd14ea6b036af96dbcba8587ed5d508042dc0f1ac2e20848bc4667e6ca3,OK,0,0,0,,NOT_APPLICABLE,
NIFTY_6e6948c4aa7b,data/raw/membership_official/monthly/indices_dataSep2021.zip,https://niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataSep2021.zip,2026-09-14T20:17:11.549590+00:00,,,,monthly_constituent_archive,application/zip,5347690,2ef5cba4356a50caefc3dfc1a04e38d3c753390bbb82ae1e29fb4055ddbbb8ee,OK,0,0,0,,NOT_APPLICABLE,
NIFTY_88dd07015f68,data/raw/membership_official/notices/ind_prs01062015.pdf,https://niftyindices.com/Press_Release/ind_prs01062015.pdf,2026-09-14T20:27:43.901670+00:00,2015-06-01,2015-06-08,2015-06-08,index_change_notice,application/pdf,11048,9bc863944eb7d81d9117eaf2fe6447421a8cad0aadc7681e4d711a089485bce8,OK,0,0,0,False,NO_BASE_INDEX_ROWS,
NIFTY_c0390edc2fa7,data/raw/membership_official/notices/ind_prs01082018.pdf,https://niftyindices.com/Press_Release/ind_prs01082018.pdf,2026-09-14T20:16:43.063162+00:00,2018-08-01,2018-08-08,2018-08-08,index_change_notice,application/pdf,167864,5b31cf53425bf0e2da94c3ab237e58870ff74c3a7bc71fc5e6a929b59d88a36f,OK,1,1,2,True,PARSED,
NIFTY_8c548f7ad75f,data/raw/membership_official/notices/ind_prs01092022.pdf,https://niftyindices.com/Press_Release/ind_prs01092022.pdf,2026-09-14T20:16:35.768024+00:00,2022-09-01,2022-09-30,2022-09-30,index_change_notice,application/pdf,525961,16166ac483166d47c9b0aef2293f86e0c82a619999bd71902ee97803de89a0e1,OK,18,18,36,True,PARSED,
NIFTY_31a4bb3fa43e,data/raw/membership_official/notices/ind_prs02072020_1.pdf,https://niftyindices.com/Press_Release/ind_prs02072020_1.pdf,2026-09-14T20:16:43.905501+00:00,2020-07-02,,2020-07-09;2020-07-31,index_change_notice,application/pdf,498688,a1941f2afac0e2d9608dbf96607ed0f3101f7347c105c2b96068717a563f1218,OK,1,1,2,True,PARSED,
NIFTY_9a4db8fae35e,data/raw/membership_official/notices/ind_prs02112018.pdf,https://niftyindices.com/Press_Release/ind_prs02112018.pdf,2026-09-14T20:27:35.454925+00:00,2018-11-02,,,index_change_notice,application/pdf,248334,d2b96c89ac6508e3f691209b855391d918a9aa7d0c2a4932419c20c9f47ae80a,OK,0,0,0,False,NO_BASE_INDEX_ROWS,
NIFTY_bf66c2f5f273,data/raw/membership_official/notices/ind_prs03012017.pdf,https://niftyindices.com/Press_Release/ind_prs03012017.pdf,2026-09-14T20:27:41.009357+00:00,2017-01-03,2017-01-10,2017-01-10,index_change_notice,application/pdf,242018,41c06a470c01450f20a25dc8f77634fb8330aa759aeed9c479e2a16210d1e331,OK,0,0,0,False,NO_BASE_INDEX_ROWS,
NIFTY_3c807b7795c2,data/raw/membership_official/notices/ind_prs03112017.pdf,https://niftyindices.com/Press_Release/ind_prs03112017.pdf,2026-09-14T20:16:37.605573+00:00,2017-11-03,2017-11-13,2017-11-13,index_change_notice,application/pdf,156034,3a6333ae5618ff91fdc9d62df121577da716c65256881bf761d39b375f27e912,OK,2,2,4,True,PARSED,
NIFTY_25c2c325cebc,data/raw/membership_official/notices/ind_prs04112015.pdf,https://niftyindices.com/Press_Release/ind_prs04112015.pdf,2026-09-14T20:27:43.022589+00:00,2015-11-04,2015-11-13,2015-11-13,index_change_notice,application/pdf,79872,e4948db7f4451c10af3a6176269ef9bb5813c48a73329b0fa304c74f5094dd54,OK,0,0,0,False,NO_BASE_INDEX_ROWS,
NIFTY_f68060720935,data/raw/membership_official/notices/ind_prs04112015_1.pdf,https://niftyindices.com/Press_Release/ind_prs04112015_1.pdf,2026-09-14T20:27:43.381734+00:00,2015-11-04,2015-12-07,2015-12-07,index_change_notice,application/pdf,92679,5a21b536ea4c60fa7335b22dd7888750aa79a234addb24d8486ce81b64e9c629,OK,0,0,0,False,NO_BASE_INDEX_ROWS,
NIFTY_5583f4d22cca,data/raw/membership_official/notices/ind_prs05042022.pdf,https://niftyindices.com/Press_Release/ind_prs05042022.pdf,2026-09-14T20:16:46.491848+00:00,2022-04-05,2022-05-04,2022-05-04,index_change_notice,application/pdf,193433,25f02e601b344e8f069d32bc4e42ebc6a147ac74f29c31130bcd7ef6d241f2ec,OK,1,1,2,True,PARSED,
NIFTY_56f27dbc1a68,data/raw/membership_official/notices/ind_prs05042022_1.pdf,https://niftyindices.com/Press_Release/ind_prs05042022_1.pdf,2026-09-14T20:16:46.121211+00:00,2022-04-05,2022-04-12,2022-04-12,index_change_notice,application/pdf,189356,c76a16d556f016cdad7499a15e22fb0b505293eae06a5ca45e42bba5a7b570db,OK,1,1,2,True,PARSED,
NIFTY_377190396104,data/raw/membership_official/notices/ind_prs05062015.pdf,https://niftyindices.com/Press_Release/ind_prs05062015.pdf,2026-09-14T20:27:43.648410+00:00,2015-06-05,2015-06-15,2015-06-15,index_change_notice,application/pdf,17696,c023505c2fe3adc66832a9f9cb1ab698bf34580a69291e608e8459377e84cc0d,OK,1,1,2,True,PARSED,
NIFTY_6b229800c392,data/raw/membership_official/notices/ind_prs06032018.pdf,https://niftyindices.com/Press_Release/ind_prs06032018.pdf,2026-09-14T20:27:37.260778+00:00,2018-03-06,,2018-03-13;2018-04-02,index_change_notice,application/pdf,206745,8750a37dcd4d2e8fe7eb4301a4b422134d49409e11baf351f0cc7fc48ab0c38b,OK,1,1,2,True,PARSED,
NIFTY_85719ebce3b8,data/raw/membership_official/notices/ind_prs06032023.pdf,https://niftyindices.com/Press_Release/ind_prs06032023.pdf,2026-09-14T20:23:34.138289+00:00,2023-03-06,2023-03-31,2023-03-31,index_change_notice,application/pdf,226998,6c05149a37f3891a8c4bc3e87816e5bbd7985c01e6c2875a264dc9aae7402eaa,OK,0,0,0,True,NO_BASE_INDEX_ROWS,
NIFTY_0b3252cd29fa,data/raw/membership_official/notices/ind_prs06042022.pdf,https://niftyindices.com/Press_Release/ind_prs06042022.pdf,2026-09-14T20:16:38.397021+00:00,2022-04-06,2022-04-07,2022-04-07,index_change_notice,application/pdf,180107,28c87c7a5f3817a9fbfb393827af0a9a4e82a86d27086e1f06f07949d6407b4a,OK,1,1,2,True,PARSED,
NIFTY_65d4b95ab6ad,data/raw/membership_official/notices/ind_prs06052005.pdf,https://niftyindices.com/Press_Release/ind_prs06052005.pdf,2026-09-14T20:27:44.248310+00:00,2015-05-06,,,index_change_notice,application/pdf,66469,5218302c16723a5e957d62ac17213440b44207423860167c04b933b279276499,OK,0,0,0,True,NO_BASE_INDEX_ROWS,
NIFTY_5d7661cec7d3,data/raw/membership_official/notices/ind_prs06122022.pdf,https://niftyindices.com/Press_Release/ind_prs06122022.pdf,2026-09-14T20:16:46.897729+00:00,2022-12-06,2022-12-30,2022-12-30,index_change_notice,application/pdf,247337,93db2a1964717cb8ed1446778c69944826983679586ec84b55594668ee796097,OK,3,3,6,True,PARSED,
NIFTY_145d85eeb172,data/raw/membership_official/notices/ind_prs07032017.pdf,https://niftyindices.com/Press_Release/ind_prs07032017.pdf,2026-09-14T20:27:40.602058+00:00,2017-03-07,,2017-03-16;2017-03-31,index_change_notice,application/pdf,187910,2065a36eab9ffc150f77514f3198c24b603bdd3648b2be03d6ddc6d0eddc04bf,OK,3,3,6,True,PARSED,
NIFTY_827f29887447,data/raw/membership_official/notices/ind_prs07092020.pdf,https://niftyindices.com/Press_Release/ind_prs07092020.pdf,2026-09-14T20:16:33.170567+00:00,2020-09-07,,2020-09-14;2020-09-25,index_change_notice,application/pdf,227075,b44c4dcfe4b8fbfee048d2f524e316dcf23f718e2e95895e3adeb2efc439ea67,OK,5,5,10,True,PARSED,
NIFTY_42d0687bca32,data/raw/membership_official/notices/ind_prs07122015.pdf,https://niftyindices.com/Press_Release/ind_prs07122015.pdf,2026-09-14T20:16:23.856803+00:00,2015-12-07,2015-12-14,2015-12-14,index_change_notice,application/pdf,70051,76f37ce69775f04eb2861bdb9aae345d285aefd27e7229f57cff56154f309e92,OK,2,2,4,True,PARSED,
NIFTY_48fdee472094,data/raw/membership_official/notices/ind_prs08012018.pdf,https://niftyindices.com/Press_Release/ind_prs08012018.pdf,2026-09-14T20:16:29.883197+00:00,2018-01-08,2018-02-05,2018-02-05,index_change_notice,application/pdf,276399,364784c98963a7bc2d28fa19d7b0c5377063178e9215669b1c7b1dfcdc8981f2,OK,4,4,8,True,PARSED,
