date,tri,index_name,source_file,tri_return,calendar_gap_days
2013-01-01,6621.03,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,,
2013-01-02,6666.27,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.006832773752724286,1.0
2013-01-03,6689.51,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0034862074293420253,1.0
2013-01-04,6701.0,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.001717614593595096,1.0
2013-01-07,6683.61,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0025951350544695106,3.0
2013-01-08,6692.62,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0013480738702587036,1.0
2013-01-09,6661.92,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.004587142255200516,1.0
2013-01-10,6652.83,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0013644715037106625,1.0
2013-01-11,6609.88,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.006455899218828609,1.0
2013-01-14,6690.9,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.012257408606510145,3.0
2013-01-15,6721.61,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.004589816018771842,1.0
2013-01-16,6650.66,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.010555506790783764,1.0
2013-01-17,6683.81,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.00498446770696459,1.0
2013-01-18,6701.36,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0026257478893025876,1.0
2013-01-21,6718.01,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0024845702961788785,3.0
2013-01-22,6671.44,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.006932112336837881,1.0
2013-01-23,6661.59,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0014764428669071794,1.0
2013-01-24,6591.13,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.01057705442694612,1.0
2013-01-25,6663.88,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.011037561085883496,1.0
2013-01-28,6666.48,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.00039016308817085843,3.0
2013-01-29,6633.97,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.004876636545823154,1.0
2013-01-30,6637.28,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0004989470859830814,1.0
2013-01-31,6634.78,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0003766603186847739,1.0
2013-02-01,6608.15,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.004013697515215298,1.0
2013-02-04,6585.55,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.00342001921869195,3.0
2013-02-05,6550.49,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.005323777057345325,1.0
2013-02-06,6556.73,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0009526004924822473,1.0
2013-02-07,6522.41,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.005234316496180225,1.0
2013-02-08,6480.27,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.006460802065494153,1.0
2013-02-11,6474.03,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0009629228411780488,3.0
2013-02-12,6491.27,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0026629471905443847,1.0
2013-02-13,6488.71,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0003943758309237211,1.0
2013-02-14,6436.06,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.008114093556346291,1.0
2013-02-15,6432.36,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0005748858773847454,1.0
2013-02-18,6450.13,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0027625941334130655,3.0
2013-02-19,6502.07,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.008052550878819398,1.0
2013-02-20,6503.83,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.00027068302863542115,1.0
2013-02-21,6397.81,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.016301164083316944,1.0
2013-02-22,6397.86,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,7.815174254854895e-06,1.0
2013-02-25,6383.84,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.002191357735242594,3.0
2013-02-26,6280.65,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.016164252236898213,1.0
2013-02-27,6323.66,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.00684801732304785,1.0
2013-02-28,6198.24,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.019833450881293402,1.0
2013-03-01,6229.92,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0051111283202973645,1.0
2013-03-04,6188.94,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.006577933585022011,3.0
2013-03-05,6284.24,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.015398436565873919,1.0
2013-03-06,6327.79,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.006930034499000648,1.0
2013-03-07,6370.86,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0068064837802770395,1.0
2013-03-08,6452.74,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.012852267982658594,1.0
2013-03-11,6453.58,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.00013017725803310398,3.0
2013-03-12,6419.89,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.005220358312750362,1.0
2013-03-13,6348.1,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.01118243459000079,1.0
2013-03-14,6404.49,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.008882972858020421,1.0
2013-03-15,6366.35,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0059551970570645985,1.0
2013-03-18,6332.11,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.005378277977176937,3.0
2013-03-19,6232.82,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.015680397213567066,1.0
2013-03-20,6156.96,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.01217105579817801,1.0
2013-03-21,6112.45,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.007229217016189837,1.0
2013-03-22,6101.23,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0018355978372012194,1.0
2013-03-25,6081.57,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.003222301076995948,3.0
2013-03-26,6087.66,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.00100138615521983,1.0
2013-03-28,6148.26,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.009954563822552664,2.0
2013-04-01,6186.03,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.006143201491153549,4.0
2013-04-02,6245.85,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.009670176187312585,1.0
2013-04-03,6174.43,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.011434792702354368,1.0
2013-04-04,6066.04,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.017554656867111662,1.0
2013-04-05,6049.49,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0027283038028104167,1.0
2013-04-08,6041.87,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0012596103142579196,3.0
2013-04-09,5989.54,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.008661225746333545,1.0
2013-04-10,6049.16,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.009954019841256656,1.0
2013-04-11,6079.13,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0049544068928579765,1.0
