event_id,security_id,symbol,ex_date,record_date,ratio_a,ratio_b,rights_subscription_price,issue_close_date,fractional_policy,ordinary_status,primary_evidence_url,close_confirmation_url,verification_status,accepted_rights_subscription_price,close_evidence_level,fractional_evidence_url,issue_structure_detail,accepted_price_mismatch,post_close_evidence_url
CA_74d6bb8939426d20fbdd,NSE_2BB23E58EEE2,SPARC,2016-03-16,2016-03-17,5.0,116.0,245.0,2016-04-13,FLOOR,ORDINARY_VERIFIED,https://www.sebi.gov.in/sebi_data/attachdocs/1458640852615.pdf,https://sparc.life/wp-content/uploads/2023/09/Annual-Report-2016-17.pdf,VERIFIED_PRIMARY,245.0,POST_CLOSE_CONFIRMATION,https://www.sebi.gov.in/sebi_data/attachdocs/1458640852615.pdf,,NO,https://sparc.life/wp-content/uploads/2023/09/Annual-Report-2016-17.pdf
CA_1a7d62891f49bdca2944,NSE_7F1FE9599769,SINTEX,2016-08-08,2016-08-09,26.0,151.0,65.0,2016-09-14,FLOOR,COMBINED_DIVIDEND_RIGHTS,https://www.sebi.gov.in/sebi_data/attachdocs/1471930651920.pdf,https://www.sebi.gov.in/sebi_data/attachdocs/1471930651920.pdf,PRIMARY_TERMS_SCHEDULED_CLOSE_ONLY,65.0,FINAL_OFFER_SCHEDULE,https://www.sebi.gov.in/sebi_data/attachdocs/1471930651920.pdf,,NO,
CA_c1a40635a0d5857cb354,NSE_B3968699E9E2,INTELLECT,2017-07-17,2017-07-18,5.0,22.0,86.0,2017-08-09,FLOOR,ORDINARY_VERIFIED,https://www.sebi.gov.in/sebi_data/attachdocs/oct-2017/1509173777024.pdf,https://www.intellectdesign.com/investor/presentations/2017-Aug-Q1FY18-Investor-Deck.pdf,VERIFIED_PRIMARY,86.0,POST_CLOSE_CONFIRMATION,https://www.sebi.gov.in/sebi_data/attachdocs/oct-2017/1509173777024.pdf,,NO,https://www.intellectdesign.com/investor/presentations/2017-Aug-Q1FY18-Investor-Deck.pdf
CA_9c729f4f337d6be3a460,NSE_0E88CB8DDD57,LAKSHVILAS,2017-12-05,2017-12-06,1.0,3.0,122.0,2017-12-26,FLOOR,ORDINARY_VERIFIED,https://www.spacapital.com/Lakshmi%20Vilas%20Bank%20-%20Letter%20of%20Offer%20-%20November%2027%2C%202017.pdf,https://www.spacapital.com/Lakshmi%20Vilas%20Bank%20-%20Letter%20of%20Offer%20-%20November%2027%2C%202017.pdf,PRIMARY_TERMS_SCHEDULED_CLOSE_ONLY,122.0,FINAL_OFFER_SCHEDULE,https://www.spacapital.com/Lakshmi%20Vilas%20Bank%20-%20Letter%20of%20Offer%20-%20November%2027%2C%202017.pdf,,NO,
CA_85dc93a1dfe97bcb6fc9,NSE_8D39D27D1A12,TATASTEEL,2018-01-31,2018-02-01,4.0,25.0,,2018-02-28,FLOOR_EACH_LEG,MULTI_LEG_RIGHTS,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2018/1516794446987.pdf,https://staging.tatasteel.com/media/7064/ir-fy-2017-18.pdf,VERIFIED_PRIMARY,545.0,POST_CLOSE_CONFIRMATION,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2018/1516794446987.pdf,4:25 fully paid @ INR 510; 2:25 partly paid @ INR 615; separate unlinked legs,NO,https://staging.tatasteel.com/media/7064/ir-fy-2017-18.pdf
CA_65c523bcbbf1b94e193e,NSE_A4B76A210E61,PEL,2018-01-31,2018-02-01,1.0,23.0,2380.0,2018-02-26,FLOOR,ORDINARY_VERIFIED,https://investmentbank.kotak.com/downloads/piramal-enterprises-limited-letter-of-offer.pdf,https://investmentbank.kotak.com/downloads/piramal-enterprises-limited-letter-of-offer.pdf,PRIMARY_TERMS_SCHEDULED_CLOSE_ONLY,2380.0,FINAL_OFFER_SCHEDULE,https://investmentbank.kotak.com/downloads/piramal-enterprises-limited-letter-of-offer.pdf,,NO,
CA_2dcc6f730654721a5203,NSE_B0F020774F39,DHANI,2018-02-09,2018-02-12,3.0,16.0,240.0,2018-03-07,FLOOR,ORDINARY_VERIFIED,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2018/1517830321746.pdf,https://www.dhani.com/services/wp-content/uploads/2020/08/indiabulls-ventures-bs-eng2_1564749288.pdf,VERIFIED_PRIMARY,240.0,POST_CLOSE_CONFIRMATION,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2018/1517830321746.pdf,,NO,https://www.dhani.com/services/wp-content/uploads/2020/08/indiabulls-ventures-bs-eng2_1564749288.pdf
CA_1cf3a925dd5644ffcda8,NSE_B3012E7D6C4A,HCC,2018-11-20,2018-11-22,49.0,100.0,10.0,2018-12-17,FLOOR,ORDINARY_VERIFIED,https://hccindia.com/public/uploads/Investors/MaterialDocs/14HCCLetterofOffer2018.pdf,https://hccindia.com/public/uploads/Investors/MaterialDocs/14HCCLetterofOffer2018.pdf,PRIMARY_TERMS_SCHEDULED_CLOSE_ONLY,10.0,FINAL_OFFER_SCHEDULE,https://hccindia.com/public/uploads/Investors/MaterialDocs/14HCCLetterofOffer2018.pdf,,NO,
CA_a2ab6b95db9c9b3f4154,NSE_A4B76A210E61,PEL,2019-12-30,2019-12-31,11.0,83.0,1300.0,2020-01-21,FLOOR,ORDINARY_VERIFIED,https://www.sebi.gov.in/sebi_data/attachdocs/dec-2019/1577341618715.pdf,https://www.piramalenterprises.com/Assets/download/Press-Releases/PRESS_NOTE_PEL_Rights_Issue_final-1-1.pdf,VERIFIED_PRIMARY,1300.0,POST_CLOSE_CONFIRMATION,https://www.sebi.gov.in/sebi_data/attachdocs/dec-2019/1577341618715.pdf,,NO,https://www.piramalenterprises.com/Assets/download/Press-Releases/PRESS_NOTE_PEL_Rights_Issue_final-1-1.pdf
CA_3db99df52eb2a772541c,NSE_E058EC23D204,BAJAJELEC,2020-02-05,2020-02-06,13.0,118.0,310.0,2020-03-03,FLOOR,ORDINARY_VERIFIED,https://www.bajajelectricals.com/media/6514/update-on-rights-issue.pdf,https://www.bajajelectricals.com/media/6731/notice-of-81st-annual-general-meeting-of-the-members-of-bajaj-electricals-limited-and-annual-report-for-the-fy-2019-20.pdf,VERIFIED_PRIMARY,310.0,POST_CLOSE_CONFIRMATION,https://www.bajajelectricals.com/media/6514/update-on-rights-issue.pdf,,NO,https://www.bajajelectricals.com/media/6731/notice-of-81st-annual-general-meeting-of-the-members-of-bajaj-electricals-limited-and-annual-report-for-the-fy-2019-20.pdf
