membership_date,price_date_used,membership_symbol,status,resolved_price_symbol,alias_component
2015-04-30,2015-04-30,360ONE,UNRESOLVED,,360ONE;IIFLWAM
2015-04-30,2015-04-30,ABFRL,RESOLVED,PFRL,ABFRL;PFRL
2015-04-30,2015-04-30,ABREL,RESOLVED,CENTURYTEX,ABREL;CENTURYTEX
2015-04-30,2015-04-30,ADANIENSOL,UNRESOLVED,,ADANIENSOL;ADANITRANS
2015-04-30,2015-04-30,AEGISLOG,RESOLVED,AEGISCHEM,AEGISCHEM;AEGISLOG
2015-04-30,2015-04-30,ALKEM,UNRESOLVED,,ALKEM
2015-04-30,2015-04-30,ANGELONE,UNRESOLVED,,ANGELBRKG;ANGELONE
2015-04-30,2015-04-30,ARE&M,RESOLVED,AMARAJABAT,AMARAJABAT;ARE&M
2015-04-30,2015-04-30,BAJAJCON,RESOLVED,BAJAJCORP,BAJAJCON;BAJAJCORP
2015-04-30,2015-04-30,BHARATFIN,RESOLVED,SKSMICRO,BHARATFIN;SKSMICRO
2015-04-30,2015-04-30,CGPOWER,RESOLVED,CROMPGREAV,CGPOWER;CROMPGREAV
2015-04-30,2015-04-30,CHOLAHLDNG,UNRESOLVED,,CHOLAHLDNG;TIFIN
2015-04-30,2015-04-30,CIEINDIA,RESOLVED,MAHINDCIE,CIEINDIA;MAHINDCIE;MAHINDFORG
2015-04-30,2015-04-30,COFFEEDAY,UNRESOLVED,,COFFEEDAY
2015-04-30,2015-04-30,COFORGE,RESOLVED,NIITTECH,COFORGE;NIITTECH
2015-04-30,2015-04-30,COHANCE,UNRESOLVED,,COHANCE;SUVENPHAR
2015-04-30,2015-04-30,CROMPTON,UNRESOLVED,,CROMPTON
2015-04-30,2015-04-30,DALBHARAT,UNRESOLVED,,DALBHARAT
2015-04-30,2015-04-30,EPIGRAL,UNRESOLVED,,EPIGRAL;MFL
2015-04-30,2015-04-30,EPL,RESOLVED,ESSELPACK,EPL;ESSELPACK
2015-04-30,2015-04-30,EQUITAS,UNRESOLVED,,EQUITAS
2015-04-30,2015-04-30,GEPIL,RESOLVED,AIL,ABBALPO;AIL;APIL;GEPIL;GVPIL
2015-04-30,2015-04-30,GET&D,RESOLVED,ALSTOMT&D,ALSTOMT&D;AREVA;AREVAT&D;GECALSTHOM;GET&D;GVT&D
2015-04-30,2015-04-30,GMRAIRPORT,RESOLVED,GMRINFRA,GMRAIRPORT;GMRINFRA
2015-04-30,2015-04-30,GUJGASLTD,UNRESOLVED,,GUJENERGY;GUJGASLTD
2015-04-30,2015-04-30,GVT&D,RESOLVED,ALSTOMT&D,ALSTOMT&D;AREVA;AREVAT&D;GECALSTHOM;GET&D;GVT&D
2015-04-30,2015-04-30,HBLENGINE,RESOLVED,HBLPOWER,HBLENGINE;HBLPOWER
2015-04-30,2015-04-30,HUHTAMAKI,RESOLVED,PAPERPROD,HUHTAMAKI;PAPERPROD
2015-04-30,2015-04-30,IDFCFIRSTB,UNRESOLVED,,IDFCBANK;IDFCFIRSTB
2015-04-30,2015-04-30,INDIGO,UNRESOLVED,,INDIGO
2015-04-30,2015-04-30,INDUSTOWER,RESOLVED,INFRATEL,INDUSTOWER;INFRATEL
2015-04-30,2015-04-30,INFIBEAM,UNRESOLVED,,CCAVENUE;INFIBEAM
2015-04-30,2015-04-30,JCHAC,RESOLVED,HITACHIHOM,AMTREXAPPL;BOSCH-HCIL;HITACHIHOM;JCHAC
2015-04-30,2015-04-30,JSWDULUX,RESOLVED,AKZOINDIA,AKZOINDIA;ICI;JSWDULUX
2015-04-30,2015-04-30,KPIL,RESOLVED,KALPATPOWR,KALPATPOWR;KPIL
2015-04-30,2015-04-30,LALPATHLAB,UNRESOLVED,,LALPATHLAB
2015-04-30,2015-04-30,LTF,RESOLVED,L&TFH,L&TFH;LTF
2015-04-30,2015-04-30,MANPASAND,UNRESOLVED,,MANPASAND
2015-04-30,2015-04-30,MFSL,RESOLVED,MAX,MAX;MFSL
2015-04-30,2015-04-30,MOTHERSON,RESOLVED,MOTHERSUMI,MOTHERSON;MOTHERSUMI
2015-04-30,2015-04-30,NAVKARCORP,UNRESOLVED,,NAVKARCORP
2015-04-30,2015-04-30,NH,UNRESOLVED,,NH
2015-04-30,2015-04-30,NLCINDIA,RESOLVED,NEYVELILIG,NEYVELILIG;NLCINDIA
2015-04-30,2015-04-30,PCBL,RESOLVED,PHILIPCARB,PCBL;PHILIPCARB
2015-04-30,2015-04-30,PGHL,RESOLVED,MERCK,EMERCK;MERCK;PGHL
2015-04-30,2015-04-30,RASOYPR,UNRESOLVED,,RASOYPR
2015-04-30,2015-04-30,RHIM,RESOLVED,ORIENTREF,ORIENTREF;RHIM
2015-04-30,2015-04-30,RNAVAL,RESOLVED,PIPAVAVDOC,PIPAVAVDOC;PIPAVAVYD;RDEL;RNAVAL
2015-04-30,2015-04-30,SAMMAANCAP,RESOLVED,IBULHSGFIN,IBULHSGFIN;SAMMAANCAP
2015-04-30,2015-04-30,SCHAEFFLER,RESOLVED,FAGBEARING,FAGBEARING;FAGPRECISN;SCHAEFFLER
2015-04-30,2015-04-30,SEQUENT,UNRESOLVED,,SEQUENT;VIYASH
2015-04-30,2015-04-30,SFCL,UNRESOLVED,,SFCL
2015-04-30,2015-04-30,SGPC,UNRESOLVED,,SGPC
2015-04-30,2015-04-30,SHRIRAMFIN,RESOLVED,SRTRANSFIN,SHRIRAMFIN;SRTRANSFIN
2015-04-30,2015-04-30,SHTV,UNRESOLVED,,SHTV
2015-04-30,2015-04-30,SITINET,RESOLVED,SITICABLE,SITICABLE;SITINET;WWIL
2015-04-30,2015-04-30,STLTECH,RESOLVED,STRTECH,STLTECH;STROPTICAL;STRTECH
2015-04-30,2015-04-30,SWANCORP,RESOLVED,SWANENERGY,SWANCORP;SWANENERGY
2015-04-30,2015-04-30,SYNGENE,UNRESOLVED,,SYNGENE
2015-04-30,2015-04-30,TATACONSUM,RESOLVED,TATAGLOBAL,TATACONSUM;TATAGLOBAL;TATATEA
2015-04-30,2015-04-30,TMPV,RESOLVED,TATAMOTORS,TATAMOTORS;TELCO;TMPV
2015-04-30,2015-04-30,UNITDSPR,RESOLVED,MCDOWELL-N,MCDOWELL-N;UNITDSPR
2015-04-30,2015-04-30,VEDL,RESOLVED,SSLT,SESAGOA;SSLT;VEDL
2015-04-30,2015-04-30,WELSPUNLIV,RESOLVED,WELSPUNIND,WELSPUNIND;WELSPUNLIV
2015-04-30,2015-04-30,ZFCVINDIA,RESOLVED,WABCOINDIA,WABCO-TVS;WABCOINDIA;ZFCVINDIA
2015-04-30,2015-04-30,ZYDUSLIFE,RESOLVED,CADILAHC,CADILAHC;ZYDUSLIFE
2016-03-31,2016-03-31,360ONE,UNRESOLVED,,360ONE;IIFLWAM
2016-03-31,2016-03-31,ABREL,RESOLVED,CENTURYTEX,ABREL;CENTURYTEX
2016-03-31,2016-03-31,ADANIENSOL,RESOLVED,ADANITRANS,ADANIENSOL;ADANITRANS
2016-03-31,2016-03-31,AEGISLOG,RESOLVED,AEGISCHEM,AEGISCHEM;AEGISLOG
2016-03-31,2016-03-31,ANGELONE,UNRESOLVED,,ANGELBRKG;ANGELONE
2016-03-31,2016-03-31,ARE&M,RESOLVED,AMARAJABAT,AMARAJABAT;ARE&M
2016-03-31,2016-03-31,BAJAJCON,RESOLVED,BAJAJCORP,BAJAJCON;BAJAJCORP
2016-03-31,2016-03-31,BHARATFIN,RESOLVED,SKSMICRO,BHARATFIN;SKSMICRO
2016-03-31,2016-03-31,CGPOWER,RESOLVED,CROMPGREAV,CGPOWER;CROMPGREAV
2016-03-31,2016-03-31,CHOLAHLDNG,UNRESOLVED,,CHOLAHLDNG;TIFIN
2016-03-31,2016-03-31,CIEINDIA,RESOLVED,MAHINDCIE,CIEINDIA;MAHINDCIE;MAHINDFORG
2016-03-31,2016-03-31,COFORGE,RESOLVED,NIITTECH,COFORGE;NIITTECH
2016-03-31,2016-03-31,COHANCE,UNRESOLVED,,COHANCE;SUVENPHAR
2016-03-31,2016-03-31,CROMPTON,UNRESOLVED,,CROMPTON
2016-03-31,2016-03-31,DALBHARAT,UNRESOLVED,,DALBHARAT
2016-03-31,2016-03-31,EPIGRAL,UNRESOLVED,,EPIGRAL;MFL
2016-03-31,2016-03-31,EPL,RESOLVED,ESSELPACK,EPL;ESSELPACK
2016-03-31,2016-03-31,EQUITAS,UNRESOLVED,,EQUITAS
2016-03-31,2016-03-31,GEPIL,RESOLVED,AIL,ABBALPO;AIL;APIL;GEPIL;GVPIL
