membership_symbol,identity_id,canonical_symbol,aliases,observed_in_prices
360ONE,ID_32da3ac10227,360ONE,360ONE;IIFLWAM,True
3MINDIA,ID_cd3f3e73de50,3MINDIA,3MINDIA;BIRLA3M,True
AADHARHFC,ID_5f7534e45fc6,AADHARHFC,AADHARHFC,True
AARTIDRUGS,ID_61b7e5ec9978,AARTIDRUGS,AARTIDRUGS,True
AARTIIND,ID_7ebd6933e244,AARTIIND,AARTIIND,True
AAVAS,ID_16d546272503,AAVAS,AAVAS,True
ABAN,ID_66d0d792cba7,ABAN,ABAN;ABANLLOYD;ABANLOYD,True
ABB,ID_49fcca5156d5,ABB,ABB,True
ABBOTINDIA,ID_7d0282f63813,ABBOTINDIA,ABBOTINDIA,True
ABCAPITAL,ID_a1e5169ef57a,ABCAPITAL,ABCAPITAL,True
ABDL,ID_b6eae5a87aa2,ABDL,ABDL,True
ABFRL,ID_e320b46c7eb2,ABFRL,ABFRL;PFRL,True
ABIRLANUVO,ID_94341af62ea3,ABIRLANUVO,ABIRLANUVO;INDRAYON,True
ABLBL,ID_da9b66ecf91d,ABLBL,ABLBL,True
ABREL,ID_8f98bf6ad85d,ABREL,ABREL;CENTURYTEX,True
ABSLAMC,ID_18991d70f54e,ABSLAMC,ABSLAMC,True
ACC,ID_7fd8c7d6fae7,ACC,ACC,True
ACE,ID_a83f45c762a8,ACE,ACE,True
ACI,ID_edf245eec110,ACI,ACI,True
ACMESOLAR,ID_d5fd25cdb577,ACMESOLAR,ACMESOLAR,True
ACUTAAS,ID_c6289aff1b6e,ACUTAAS,ACUTAAS;AMIORG,True
ADANIENSOL,ID_e422cc874ce5,ADANIENSOL,ADANIENSOL;ADANITRANS,True
ADANIENT,ID_6cfbcd88b210,ADANIENT,ADANIENT;ADANIEXPO,True
ADANIGREEN,ID_09036d9cb1f1,ADANIGREEN,ADANIGREEN,True
ADANIPORTS,ID_758d58fcffff,ADANIPORTS,ADANIPORTS;MUNDRAPORT,True
ADANIPOWER,ID_0ca09b4f6e23,ADANIPOWER,ADANIPOWER,True
ADLABS,ID_2f812845965a,IMAGICAA,ADLABS;IMAGICAA,True
ADVANTA,ID_acaf9292c5af,ADVANTA,ADVANTA,True
ADVENZYMES,ID_a55015d1fdef,ADVENZYMES,ADVENZYMES,True
AEGISLOG,ID_0730d4639821,AEGISLOG,AEGISCHEM;AEGISLOG,True
AEGISVOPAK,ID_42fa02b011d9,AEGISVOPAK,AEGISVOPAK,True
AETHER,ID_c5533d320bea,AETHER,AETHER,True
AFCONS,ID_5f2663820ff4,AFCONS,AFCONS,True
AFFLE,ID_9fe46c138d1e,AFFLE,AFFLE,True
AGARWALEYE,ID_4efbf6a14661,AGARWALEYE,AGARWALEYE,True
