symbol,isin,company_name
20MICRONS,INE144J01027,20 Microns Limited
21STCENMGM,INE253B01015,21st Century Management Services Limited
360ONE,INE466L01038,360 ONE WAM LIMITED
3BBLACKBIO,INE994E01018,3B Blackbio Dx Limited
3IINFOLTD,INE748C01038,3i Infotech Limited
3MINDIA,INE470A01017,3M India Limited
3PLAND,INE105C01023,3P Land Holdings Limited
5PAISA,INE618L01018,5Paisa Capital Limited
63MOONS,INE111B01023,63 moons technologies limited
A2ZINFRA,INE619I01012,A2Z Infra Engineering Limited
AAATECH,INE0D0U01013,AAA Technologies Limited
AADHARHFC,INE883F01010,Aadhar Housing Finance Limited
AAKASH,INE087Z01024,Aakash Exploration Services Limited
AAREYDRUGS,INE198H01019,Aarey Drugs & Pharmaceuticals Limited
AARNAV,INE750R01016,Aarnav Fashions Limited
AARON,INE721Z01010,Aaron Industries Limited
AARTECH,INE01C001026,Aartech Solonics Limited
AARTIDRUGS,INE767A01016,Aarti Drugs Limited
AARTIIND,INE769A01020,Aarti Industries Limited
AARTIPHARM,INE0LRU01027,Aarti Pharmalabs Limited
AARTISURF,INE09EO01013,Aarti Surfactants Limited
AARVI,INE754X01016,Aarvi Encon Limited
AASTHA,INE2FMX01012,Aastha Spintex Limited
AAVAS,INE216P01012,Aavas Financiers Limited
ABAN,INE421A01028,Aban Offshore Limited
ABANSENT,INE365O01028,Abans Enterprises Limited
ABB,INE117A01022,ABB India Limited
ABBOTINDIA,INE358A01014,Abbott India Limited
ABCAPITAL,INE674K01013,Aditya Birla Capital Limited
ABCOTS,INE08PH01015,A B Cotspin India Limited
ABDL,INE552Z01027,Allied Blenders and Distillers Limited
ABFRL,INE647O01011,Aditya Birla Fashion and Retail Limited
ABINFRA,INE00YB01025,A B Infrabuild Limited
ABLBL,INE14LE01019,Aditya Birla Lifestyle Brands Limited
ABMINTLLTD,INE251C01025,ABM International Limited
ABMKNO,INE850B01026,ABM Knowledgeware Limited
ABREL,INE055A01016,Aditya Birla Real Estate Limited
ABSLAMC,INE404A01024,Aditya Birla Sun Life AMC Limited
ACC,INE012A01025,ACC Limited
ACCELYA,INE793A01012,Accelya Solutions India Limited
ACCURACY,INE648Z01023,Accuracy Shipping Limited
ACE,INE731H01025,Action Construction Equipment Limited
ACEINTEG,INE543V01017,Ace Integrated Solutions Limited
ACGL,INE451C01013,Automobile Corporation of Goa Limited
ACI,INE128X01021,Archean Chemical Industries Limited
ACL,INE666E01020,Andhra Cements Limited
ACMESOLAR,INE622W01025,Acme Solar Holdings Limited
ACSTECH,INE366C01021,ACS Technologies Limited
ACUTAAS,INE00FF01025,Acutaas Chemicals Limited
ADANIENSOL,INE931S01010,Adani Energy Solutions Limited
