company_name,old_symbol,new_symbol,effective_date
NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF  Sr. x Plan E -  GO,RDAXEDG,NDAXEDG,2019-10-30
NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF  Sr. x Plan E - DPO,RDAXEDD,NDAXEDD,2019-10-30
NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF  Sr. x Plan E-DPGO,RDAXEDDG,NDAXEDDG,2019-10-30
NIPPON INDIA MF-NIPPON INDIA Dual Advantage FTF Sr.x Plan E- DP- DPO,RDAXEDDD,NDAXEDDD,2019-10-30
360 ONE WAM LIMITED,IIFLWAM,360ONE,2023-01-23
3M India Limited,BIRLA3M,3MINDIA,2004-06-15
3P Land Holdings Limited,PDUMJEAGRO,PDUMJEIND,2008-03-28
3P Land Holdings Limited,PDUMJEIND,3PLAND,2018-05-04
63 moons technologies limited,FINANTECH,63MOONS,2017-01-19
A2Z Infra Engineering Limited,A2ZMES,A2ZINFRA,2014-12-31
AJR INFRA AND TOLLING LIMITED,GAMMNINFRA,AJRINFRA,2021-08-16
AMBANI ORGOCHEM LIMITED,AMBANIORG,AMBANIORGO,2024-08-01
AMD Industries Limited,AMDMET,AMDIND,2008-02-25
ANDHRA PAPER LIMITED,IPAPPM,ANDPAPER,2020-01-22
ANDHRA PAPER LIMITED,APPAPER,IPAPPM,2014-01-21
ANDHRA PAPER LIMITED,ANDPAPER,ANDHRAPAP,2020-03-05
ANG Industries Limited,ANGAUTO,ANGIND,2010-06-16
ARVIND PORT AND INFRA LIMITED,ACSAL,ARVINDPORT,2024-12-09
ATLANTAA LIMITED,ATLANTA,ATLANTAA,2023-12-15
ATN International Limited,ARIHANTCRE,ATNINT,2003-09-17
AURUS GEM CORPORATION LIMITED,LYPSAGEMS,AURUS,2026-07-14
AVATAR Industries Limited,ASLIND,AVATAR,2026-04-24
AVRO INDIA LIMITED,AVONMPL,AVROIND,2019-11-01
AXIS MUTUAL FUND - AXIS NIFTY IT ETF,AXISTECETF,ITAXIS,2026-07-03
AXIS MUTUAL FUND - Axis NIFTY 50 ETF,AXISNIFTY,NIFTYAXIS,2026-07-03
AXIS MUTUAL FUND - Axis NIFTY Bank ETF,AXISBNKETF,BNKETFAXIS,2026-07-03
AXIS MUTUAL FUND - Axis NIFTY Healthcare ETF,AXISHCETF,HEALTHAXIS,2026-07-03
AXIS MUTUAL FUND - Axis NIFTY India Consumption ETF,AXISCETF,CONSUMAXIS,2026-07-03
AXISCADES Technologies Limited,IT&T,AXIS-IT&T,2005-08-16
AXISCADES Technologies Limited,AXIS-IT&T,AXISCADES,2014-10-08
AYM Syntex Limited,WELSYNTEX,AYMSYNTEX,2016-02-03
Aban Offshore Limited,ABANLOYD,ABAN,2006-08-18
Aban Offshore Limited,ABANLLOYD,ABANLOYD,2005-01-17
Abans Financial Services Limited,AHL,AFSL,2025-04-01
Abhishek Corporation Limited,AML,ABHISHEK,2008-06-26
Accelya Solutions India Limited,KALECONSUL,ACCELYA,2012-09-06
Acutaas Chemicals Limited,AMIORG,ACUTAAS,2025-06-02
Adani Energy Solutions Limited,ADANITRANS,ADANIENSOL,2023-08-24
Adani Enterprises Limited,ADANIEXPO,ADANIENT,2006-09-20
Adani Ports and Special Economic Zone Limited,MUNDRAPORT,ADANIPORTS,2012-01-17
Adani Total Gas Limited,ADANIGAS,ATGL,2021-01-13
Addictive Learning Technology Limited,LAWSIKHO,ADDICTIVE,2025-12-17
Aditya Birla Capital Limited,76100ABCL3,761ABCL35A,2026-06-08
Aditya Birla Chemicals (India) Limited,BCCL,ABCIL,2009-03-09
Aditya Birla Chemicals (India) Limited,BIHARCAUST,BCCL,2005-12-05
Aditya Birla Fashion and Retail Limited,PFRL,ABFRL,2016-01-29
Aditya Birla Money Limited,APOLLOSIND,BIRLAMONEY,2009-09-09
Aditya Birla Nuvo Limited,INDRAYON,ABIRLANUVO,2005-12-07
Aditya Birla Real Estate Limited,CENTURYTEX,ABREL,2024-10-10
Ador Welding Limited,ADVANIORLI,ADORWELD,2004-09-27
Ador Welding Limited,ADORWELD,ADOR,2025-04-11
Adroit Infotech Limited,SPHEREGSL,ADROITINFO,2018-04-19
Adroit Infotech Limited,COLORCHIPS,SPHEREGSL,2015-10-13
Adroit Infotech Limited,ARHAMFISCL,COLORCHIPS,2006-04-04
Advani Hotels & Resorts (India) Limited,RAMADHOTEL,ADVANIHOTR,2007-06-25
