identity_id,canonical_symbol,canonical_rule,alias_symbol,is_membership_symbol,is_current_nse_symbol,first_seen,last_seen,observed_isins,all_aliases
ID_002a63361f67,805NMC29,lexicographic_fallback,0503260317,False,False,,,,0503260317;805NMC29
ID_002a63361f67,805NMC29,lexicographic_fallback,805NMC29,False,False,,,,0503260317;805NMC29
ID_003b3e2c7f45,JUBLINGREA,unique_current_nse_symbol,JUBLINGREA,True,True,2021-04-06,2026-03-30,INE0BY001018,JUBLINGREA
ID_00475ea131ca,DYCL,unique_current_nse_symbol,DYCL,False,True,2022-07-27,2026-03-30,INE600Y01019,DYCL
ID_005de3d888bd,TANLA,unique_current_nse_symbol,TANLA,True,True,2013-01-01,2026-03-30,INE483C01032,TANLA
ID_006128f954aa,ABCOTS,unique_current_nse_symbol,ABCOTS,False,True,2025-09-24,2026-03-30,INE08PH01015,ABCOTS
ID_006e30d4478e,INDIAMART,unique_current_nse_symbol,INDIAMART,True,True,2019-07-04,2026-03-30,INE933S01016,INDIAMART
ID_006f0c34c8bd,HTMT,lexicographic_fallback,HINDUJAFIN,False,False,,,,HINDUJAFIN;HTMT
ID_006f0c34c8bd,HTMT,lexicographic_fallback,HTMT,False,False,,,,HINDUJAFIN;HTMT
ID_007403030c12,MADHAVIPL,unique_current_nse_symbol,MADHAVIPL,False,True,,,,MADHAVIPL
ID_008148113b5a,ESILVER,latest_observed_symbol,ESILVER,False,False,2023-11-24,2026-03-30,INF754K01SF3,ESILVER
ID_008170f1b80b,MADHAV,unique_current_nse_symbol,MADHAV,False,True,2013-01-01,2026-03-30,INE925C01016,MADHAV
ID_009be05039a9,AVANTIFEED,unique_current_nse_symbol,AVANTI,False,False,2013-01-01,2015-01-29,INE871C01012,AVANTI;AVANTIFEED
ID_009be05039a9,AVANTIFEED,unique_current_nse_symbol,AVANTIFEED,True,True,2015-04-15,2026-03-30,INE871C01012;INE871C01020;INE871C01038,AVANTI;AVANTIFEED
ID_00ac0e4fb738,CSLFINANCE,unique_current_nse_symbol,CSLFINANCE,False,True,2022-07-21,2026-03-30,INE718F01018,CSLFINANCE
ID_00ba7b71d570,SGL,unique_current_nse_symbol,SGL,False,True,2013-01-01,2026-03-30,INE353H01010,SGL
ID_00c886408ac6,THANGAMAYL,unique_current_nse_symbol,THANGAMAYL,False,True,2013-03-01,2026-03-30,INE085J01014,THANGAMAYL
ID_00e4486a61d7,SOMATEX,unique_current_nse_symbol,SOMATEX,False,True,2013-01-01,2025-07-15,INE314C01013,SOMATEX
ID_00f3420bdf04,SKYWAYS,unique_current_nse_symbol,SKYWAYS,False,True,,,,SKYWAYS
ID_00f3f0bbb9fb,PSUBNKIETF,latest_observed_symbol,PSUBANKICI,False,False,2023-03-21,2023-12-19,INF109KC10S8,PSUBANKICI;PSUBNKIETF
ID_00f3f0bbb9fb,PSUBNKIETF,latest_observed_symbol,PSUBNKIETF,False,False,2023-12-20,2026-03-30,INF109KC10S8,PSUBANKICI;PSUBNKIETF
ID_01159a50848d,SIMPLEX,latest_observed_symbol,SIMPLEX,False,False,2013-01-01,2018-09-24,INE898F01018,SIMPLEX
ID_01194c6b4816,CSBBANK,unique_current_nse_symbol,CSBBANK,True,True,2019-12-04,2026-03-30,INE679A01013,CSBBANK
ID_012b95dee6e6,MOMOMENTUM,latest_observed_symbol,MOMOMENTUM,False,False,2022-02-17,2026-03-30,INF247L01AX7;INF247L01BK2,MOMOMENTUM
ID_013d73e53028,ROUTE,unique_current_nse_symbol,ROUTE,True,True,2020-09-21,2026-03-30,INE450U01017,ROUTE
ID_0182b3ca90a5,ZFSTEERING,unique_current_nse_symbol,ZFSTEERING,False,True,,,,ZFSTEERING
ID_0184f2288b8e,SAREGAMA,unique_current_nse_symbol,GRAMOPHONE,False,False,,,,GRAMOPHONE;SAREGAMA
ID_0184f2288b8e,SAREGAMA,unique_current_nse_symbol,SAREGAMA,True,True,2013-01-01,2026-03-30,INE979A01017;INE979A01025,GRAMOPHONE;SAREGAMA
ID_0185fc49fcfd,SOLEX,unique_current_nse_symbol,SOLEX,False,True,2025-10-08,2026-03-30,INE880Y01017,SOLEX
ID_0188ab2adba0,MAHLIFE,unique_current_nse_symbol,GESCOCORP,False,False,,,,GESCOCORP;MAHLIFE
ID_0188ab2adba0,MAHLIFE,unique_current_nse_symbol,MAHLIFE,True,True,2013-01-01,2026-03-30,INE813A01018,GESCOCORP;MAHLIFE
ID_019c86d99b18,GATECHDVR,unique_current_nse_symbol,GATECHDVR,False,True,2023-12-11,2026-03-30,INE224E01036,GATECHDVR;SCAPDVR
ID_019c86d99b18,GATECHDVR,unique_current_nse_symbol,SCAPDVR,False,False,2017-10-10,2023-06-06,INE224E01036,GATECHDVR;SCAPDVR
ID_01d86b397825,DCMSHRIRAM,unique_current_nse_symbol,DCMSHRIRAM,True,True,2014-03-13,2026-03-30,INE499A01024,DCMSHRIRAM;DCMSRMCONS
ID_01d86b397825,DCMSHRIRAM,unique_current_nse_symbol,DCMSRMCONS,False,False,2013-01-01,2014-03-12,INE499A01024,DCMSHRIRAM;DCMSRMCONS
ID_01ff7eeaad80,SHBAJRG,unique_current_nse_symbol,SHBAJRG,False,True,,,,SHBAJRG
ID_02115d62f5f3,KABRAEXTRU,unique_current_nse_symbol,KABRAEXTRU,False,True,2013-01-01,2026-03-30,INE900B01029,KABRAEXTRU
ID_0254fd37aacd,HDFCMID150,latest_observed_symbol,HDFCMID150,False,False,2023-02-21,2026-03-30,INF179KC1FA4;INF179KC1HT0,HDFCMID150
ID_02623b0ccd56,SILGO,unique_current_nse_symbol,SILGO,False,True,2021-03-03,2026-03-30,INE01II01013,SILGO
ID_0271544e4907,NAHARCAP,unique_current_nse_symbol,NAHARCAP,False,True,2013-01-01,2026-03-30,INE049I01012,NAHARCAP
ID_027f22d2e39e,QNIFTY,latest_observed_symbol,QNIFTY,False,False,2013-01-01,2026-03-30,INF082J01028;INF082J01499,QNIFTY
ID_028134450f56,JIKIND,latest_observed_symbol,JIKIND,False,False,2013-01-01,2017-03-23,INE026B01049,JIKIND
ID_028d6c150d12,HEALTHX,unique_current_nse_symbol,HEALTHX,False,True,,,,HEALTHX;MICROSEC;SASTASUNDR
ID_028d6c150d12,HEALTHX,unique_current_nse_symbol,MICROSEC,False,False,2013-01-01,2016-11-21,INE019J01013,HEALTHX;MICROSEC;SASTASUNDR
