symbol_a,symbol_b,source,evidence,effective_date
RDAXEDG,NDAXEDG,nse_symbolchange,symbolchange.csv,2019-10-30
RDAXEDD,NDAXEDD,nse_symbolchange,symbolchange.csv,2019-10-30
RDAXEDDG,NDAXEDDG,nse_symbolchange,symbolchange.csv,2019-10-30
RDAXEDDD,NDAXEDDD,nse_symbolchange,symbolchange.csv,2019-10-30
IIFLWAM,360ONE,nse_symbolchange,symbolchange.csv,2023-01-23
BIRLA3M,3MINDIA,nse_symbolchange,symbolchange.csv,2004-06-15
PDUMJEAGRO,PDUMJEIND,nse_symbolchange,symbolchange.csv,2008-03-28
PDUMJEIND,3PLAND,nse_symbolchange,symbolchange.csv,2018-05-04
FINANTECH,63MOONS,nse_symbolchange,symbolchange.csv,2017-01-19
A2ZMES,A2ZINFRA,nse_symbolchange,symbolchange.csv,2014-12-31
GAMMNINFRA,AJRINFRA,nse_symbolchange,symbolchange.csv,2021-08-16
AMBANIORG,AMBANIORGO,nse_symbolchange,symbolchange.csv,2024-08-01
AMDMET,AMDIND,nse_symbolchange,symbolchange.csv,2008-02-25
IPAPPM,ANDPAPER,nse_symbolchange,symbolchange.csv,2020-01-22
APPAPER,IPAPPM,nse_symbolchange,symbolchange.csv,2014-01-21
ANDPAPER,ANDHRAPAP,nse_symbolchange,symbolchange.csv,2020-03-05
ANGAUTO,ANGIND,nse_symbolchange,symbolchange.csv,2010-06-16
ACSAL,ARVINDPORT,nse_symbolchange,symbolchange.csv,2024-12-09
ATLANTA,ATLANTAA,nse_symbolchange,symbolchange.csv,2023-12-15
ARIHANTCRE,ATNINT,nse_symbolchange,symbolchange.csv,2003-09-17
LYPSAGEMS,AURUS,nse_symbolchange,symbolchange.csv,2026-07-14
ASLIND,AVATAR,nse_symbolchange,symbolchange.csv,2026-04-24
AVONMPL,AVROIND,nse_symbolchange,symbolchange.csv,2019-11-01
AXISTECETF,ITAXIS,nse_symbolchange,symbolchange.csv,2026-07-03
AXISNIFTY,NIFTYAXIS,nse_symbolchange,symbolchange.csv,2026-07-03
AXISBNKETF,BNKETFAXIS,nse_symbolchange,symbolchange.csv,2026-07-03
AXISHCETF,HEALTHAXIS,nse_symbolchange,symbolchange.csv,2026-07-03
AXISCETF,CONSUMAXIS,nse_symbolchange,symbolchange.csv,2026-07-03
IT&T,AXIS-IT&T,nse_symbolchange,symbolchange.csv,2005-08-16
AXIS-IT&T,AXISCADES,nse_symbolchange,symbolchange.csv,2014-10-08
WELSYNTEX,AYMSYNTEX,nse_symbolchange,symbolchange.csv,2016-02-03
ABANLOYD,ABAN,nse_symbolchange,symbolchange.csv,2006-08-18
ABANLLOYD,ABANLOYD,nse_symbolchange,symbolchange.csv,2005-01-17
AHL,AFSL,nse_symbolchange,symbolchange.csv,2025-04-01
AML,ABHISHEK,nse_symbolchange,symbolchange.csv,2008-06-26
KALECONSUL,ACCELYA,nse_symbolchange,symbolchange.csv,2012-09-06
AMIORG,ACUTAAS,nse_symbolchange,symbolchange.csv,2025-06-02
ADANITRANS,ADANIENSOL,nse_symbolchange,symbolchange.csv,2023-08-24
ADANIEXPO,ADANIENT,nse_symbolchange,symbolchange.csv,2006-09-20
MUNDRAPORT,ADANIPORTS,nse_symbolchange,symbolchange.csv,2012-01-17
ADANIGAS,ATGL,nse_symbolchange,symbolchange.csv,2021-01-13
LAWSIKHO,ADDICTIVE,nse_symbolchange,symbolchange.csv,2025-12-17
76100ABCL3,761ABCL35A,nse_symbolchange,symbolchange.csv,2026-06-08
BCCL,ABCIL,nse_symbolchange,symbolchange.csv,2009-03-09
BIHARCAUST,BCCL,nse_symbolchange,symbolchange.csv,2005-12-05
PFRL,ABFRL,nse_symbolchange,symbolchange.csv,2016-01-29
APOLLOSIND,BIRLAMONEY,nse_symbolchange,symbolchange.csv,2009-09-09
INDRAYON,ABIRLANUVO,nse_symbolchange,symbolchange.csv,2005-12-07
CENTURYTEX,ABREL,nse_symbolchange,symbolchange.csv,2024-10-10
ADVANIORLI,ADORWELD,nse_symbolchange,symbolchange.csv,2004-09-27
ADORWELD,ADOR,nse_symbolchange,symbolchange.csv,2025-04-11
SPHEREGSL,ADROITINFO,nse_symbolchange,symbolchange.csv,2018-04-19
COLORCHIPS,SPHEREGSL,nse_symbolchange,symbolchange.csv,2015-10-13
ARHAMFISCL,COLORCHIPS,nse_symbolchange,symbolchange.csv,2006-04-04
RAMADHOTEL,ADVANIHOTR,nse_symbolchange,symbolchange.csv,2007-06-25
AEGISCHEM,AEGISLOG,nse_symbolchange,symbolchange.csv,2024-06-07
SATINDLTD,AEROENTER,nse_symbolchange,symbolchange.csv,2025-06-25
SAH,AERONEU,nse_symbolchange,symbolchange.csv,2025-08-22
AFTEKINFO,AFTEK,nse_symbolchange,symbolchange.csv,2006-11-27
ITCAGRO,ATFL,nse_symbolchange,symbolchange.csv,2002-12-31
SHREE,AJMERA,nse_symbolchange,symbolchange.csv,2009-06-23
ICI,AKZOINDIA,nse_symbolchange,symbolchange.csv,2010-05-27
AURDIS,ALCODIS,nse_symbolchange,symbolchange.csv,2025-11-18
ALMBICHEM,ALEMBICLTD,nse_symbolchange,symbolchange.csv,1999-09-22
ENKEI,ALICON,nse_symbolchange,symbolchange.csv,2011-03-04
GLS,ALIVUS,nse_symbolchange,symbolchange.csv,2025-01-20
GATI,ACLGATI,nse_symbolchange,symbolchange.csv,2023-11-30
ALLSEC,ALLDIGI,nse_symbolchange,symbolchange.csv,2024-09-27
AAFS27B,AAFS27C,nse_symbolchange,symbolchange.csv,2026-05-28
AMARAJABAT,ARE&M,nse_symbolchange,symbolchange.csv,2023-10-27
DLFCEMENT,AMBUJARAJN,nse_symbolchange,symbolchange.csv,2001-08-20
GUJAMBCEM,AMBUJACEM,nse_symbolchange,symbolchange.csv,2007-07-24
AMIRCHAND,AEROPLANE,nse_symbolchange,symbolchange.csv,2026-07-20
PDUMJEPULP,AMJLAND,nse_symbolchange,symbolchange.csv,2018-01-19
ANGELBRKG,ANGELONE,nse_symbolchange,symbolchange.csv,2021-11-11
MPGLYCEM,ANIKINDS,nse_symbolchange,symbolchange.csv,2008-05-21
ANSALPROP,ANSALINFRA,nse_symbolchange,symbolchange.csv,2006-01-27
ANSALINFRA,ANSALAPI,nse_symbolchange,symbolchange.csv,2010-05-14
SELAN,ANTELOPUS,nse_symbolchange,symbolchange.csv,2025-09-22
APCOTEXLAT,APCOTEXIND,nse_symbolchange,symbolchange.csv,2006-11-01
SABTNL,AQYLON,nse_symbolchange,symbolchange.csv,2026-02-11
AAL,ARIHANTACA,nse_symbolchange,symbolchange.csv,2023-01-02
ARISINFRA,ARIS,nse_symbolchange,symbolchange.csv,2026-02-09
ARROWCOAT,ARROWGREEN,nse_symbolchange,symbolchange.csv,2016-05-11
ARVINDMILL,ARVIND,nse_symbolchange,symbolchange.csv,2008-07-07
ARVINFRA,ARVSMART,nse_symbolchange,symbolchange.csv,2016-12-05
ASHIKA,ASHIKAG,nse_symbolchange,symbolchange.csv,2026-07-27
ASTRAIDL,ASTRAZEN,nse_symbolchange,symbolchange.csv,2007-04-10
ATCOIND,ATCOM,nse_symbolchange,symbolchange.csv,2004-04-29
ATULPROD,ATUL,nse_symbolchange,symbolchange.csv,2005-03-10
GODHA,AURIGROW,nse_symbolchange,symbolchange.csv,2025-10-17
MAJESCO,AURUM,nse_symbolchange,symbolchange.csv,2021-10-22
COREBIO,COREEMBLG,nse_symbolchange,symbolchange.csv,2001-10-15
COREEMBLG,AUSOMENT,nse_symbolchange,symbolchange.csv,2009-12-01
JBMT,ASAL,nse_symbolchange,symbolchange.csv,2003-10-14
RATNAINFRA,AVENTUS,nse_symbolchange,symbolchange.csv,2017-08-03
INFIBEAM,CCAVENUE,nse_symbolchange,symbolchange.csv,2026-02-03
AXSENSEX,SENSEXAXIS,nse_symbolchange,symbolchange.csv,2026-07-03
UTIBANK,AXISBANK,nse_symbolchange,symbolchange.csv,2007-08-16
AXISGOLD,GOLDAXIS,nse_symbolchange,symbolchange.csv,2026-07-03
AXISVALUE,VALUEAXIS,nse_symbolchange,symbolchange.csv,2026-07-03
AXISILVER,SILVERAXIS,nse_symbolchange,symbolchange.csv,2026-07-03
AZTEC,AZTECSOFT,nse_symbolchange,symbolchange.csv,2006-09-20
ANANDAMRUB,BALAXI,nse_symbolchange,symbolchange.csv,2017-09-27
BINANIIND,BILVYAPAR,nse_symbolchange,symbolchange.csv,2025-07-14
KPIT,BSOFT,nse_symbolchange,symbolchange.csv,2019-02-26
BOROSIL,BORORENEW,nse_symbolchange,symbolchange.csv,2020-02-20
JCHAC,BOSCH-HCIL,nse_symbolchange,symbolchange.csv,2025-12-24
BSTRANSCOM,BSLIMITED,nse_symbolchange,symbolchange.csv,2012-11-29
BSELINFO,BSELINFRA,nse_symbolchange,symbolchange.csv,2004-03-12
SKML,BABAFOOD,nse_symbolchange,symbolchange.csv,2019-05-27
BAJAJCORP,BAJAJCON,nse_symbolchange,symbolchange.csv,2019-01-15
BAJAUTOFIN,BAJFINANCE,nse_symbolchange,symbolchange.csv,2010-09-29
BAJAJAUTO,BAJAJHLDNG,nse_symbolchange,symbolchange.csv,2008-03-14
NIRVIKARA,BALKRISHNA,nse_symbolchange,symbolchange.csv,2016-09-06
BANCOPROD,BANCOINDIA,nse_symbolchange,symbolchange.csv,2006-12-22
BAGYAMETAL,BHAGYNAGAR,nse_symbolchange,symbolchange.csv,2006-09-12
BHANSALENG,BEPL,nse_symbolchange,symbolchange.csv,2005-03-21
BARATBIJLE,BBL,nse_symbolchange,symbolchange.csv,2006-11-21
SKSMICRO,BHARATFIN,nse_symbolchange,symbolchange.csv,2016-07-01
BHARTISHIP,BHARATIDIL,nse_symbolchange,symbolchange.csv,2016-02-26
BHARTI,BHARTIARTL,nse_symbolchange,symbolchange.csv,2006-06-19
LIST000857,BHARTIHEXA,nse_symbolchange,symbolchange.csv,2024-04-08
BIRLAERIC,BIRLACABLE,nse_symbolchange,symbolchange.csv,2016-09-26
BIRLAJUTE,BIRLACORPN,nse_symbolchange,symbolchange.csv,2008-07-28
BIRLAYAMAH,BIRLAPOWER,nse_symbolchange,symbolchange.csv,2007-06-06
HIL,BIRLANU,nse_symbolchange,symbolchange.csv,2025-04-09
MANAKINDST,BKMINDST,nse_symbolchange,symbolchange.csv,2017-11-23
AVAYAGCL,AGCNET,nse_symbolchange,symbolchange.csv,2010-06-08
AGCNET,BBOX,nse_symbolchange,symbolchange.csv,2021-12-03
TATATELECM,AVAYAGCL,nse_symbolchange,symbolchange.csv,2004-11-01
MOREPENHTL,BLUECOAST,nse_symbolchange,symbolchange.csv,2006-12-05
KALYANBRAK,BOSCHCHASY,nse_symbolchange,symbolchange.csv,2006-02-10
