membership_date,price_date_used,membership_symbol,status,resolved_price_symbol,alias_component
2015-04-30,2015-04-30,360ONE,UNRESOLVED,,360ONE;IIFLWAM
2015-04-30,2015-04-30,ADANIENSOL,UNRESOLVED,,ADANIENSOL;ADANITRANS
2015-04-30,2015-04-30,ALKEM,UNRESOLVED,,ALKEM
2015-04-30,2015-04-30,ANGELONE,UNRESOLVED,,ANGELBRKG;ANGELONE
2015-04-30,2015-04-30,CHOLAHLDNG,UNRESOLVED,,CHOLAHLDNG;TIFIN
2015-04-30,2015-04-30,COFFEEDAY,UNRESOLVED,,COFFEEDAY
2015-04-30,2015-04-30,COHANCE,UNRESOLVED,,COHANCE;SUVENPHAR
2015-04-30,2015-04-30,CROMPTON,UNRESOLVED,,CROMPTON
2015-04-30,2015-04-30,DALBHARAT,UNRESOLVED,,DALBHARAT
2015-04-30,2015-04-30,EPIGRAL,UNRESOLVED,,EPIGRAL;MFL
2015-04-30,2015-04-30,EQUITAS,UNRESOLVED,,EQUITAS
2015-04-30,2015-04-30,GUJGASLTD,UNRESOLVED,,GUJENERGY;GUJGASLTD
2015-04-30,2015-04-30,IDFCFIRSTB,UNRESOLVED,,IDFCBANK;IDFCFIRSTB
2015-04-30,2015-04-30,INDIGO,UNRESOLVED,,INDIGO
2015-04-30,2015-04-30,INFIBEAM,UNRESOLVED,,CCAVENUE;INFIBEAM
2015-04-30,2015-04-30,LALPATHLAB,UNRESOLVED,,LALPATHLAB
2015-04-30,2015-04-30,MANPASAND,UNRESOLVED,,MANPASAND
2015-04-30,2015-04-30,NAVKARCORP,UNRESOLVED,,NAVKARCORP
2015-04-30,2015-04-30,NH,UNRESOLVED,,NH
2015-04-30,2015-04-30,RASOYPR,UNRESOLVED,,RASOYPR
2015-04-30,2015-04-30,SEQUENT,UNRESOLVED,,SEQUENT;VIYASH
2015-04-30,2015-04-30,SFCL,UNRESOLVED,,SFCL
2015-04-30,2015-04-30,SGPC,UNRESOLVED,,SGPC
2015-04-30,2015-04-30,SHTV,UNRESOLVED,,SHTV
2015-04-30,2015-04-30,SYNGENE,UNRESOLVED,,SYNGENE
2016-03-31,2016-03-31,360ONE,UNRESOLVED,,360ONE;IIFLWAM
2016-03-31,2016-03-31,ANGELONE,UNRESOLVED,,ANGELBRKG;ANGELONE
2016-03-31,2016-03-31,CHOLAHLDNG,UNRESOLVED,,CHOLAHLDNG;TIFIN
2016-03-31,2016-03-31,COHANCE,UNRESOLVED,,COHANCE;SUVENPHAR
2016-03-31,2016-03-31,CROMPTON,UNRESOLVED,,CROMPTON
2016-03-31,2016-03-31,DALBHARAT,UNRESOLVED,,DALBHARAT
2016-03-31,2016-03-31,EPIGRAL,UNRESOLVED,,EPIGRAL;MFL
2016-03-31,2016-03-31,EQUITAS,UNRESOLVED,,EQUITAS
2016-03-31,2016-03-31,INFIBEAM,UNRESOLVED,,CCAVENUE;INFIBEAM
2016-03-31,2016-03-31,SGPC,UNRESOLVED,,SGPC
2016-03-31,2016-03-31,SHTV,UNRESOLVED,,SHTV
2017-03-31,2017-03-31,360ONE,UNRESOLVED,,360ONE;IIFLWAM
2017-03-31,2017-03-31,ANGELONE,UNRESOLVED,,ANGELBRKG;ANGELONE
2017-03-31,2017-03-31,CHOLAHLDNG,UNRESOLVED,,CHOLAHLDNG;TIFIN
2017-03-31,2017-03-31,COHANCE,UNRESOLVED,,COHANCE;SUVENPHAR
2017-03-31,2017-03-31,DALBHARAT,UNRESOLVED,,DALBHARAT
2017-03-31,2017-03-31,EPIGRAL,UNRESOLVED,,EPIGRAL;MFL
2017-03-31,2017-03-31,SGPC,UNRESOLVED,,SGPC
2017-03-31,2017-03-31,SHTV,UNRESOLVED,,SHTV
2018-03-28,2018-03-28,360ONE,UNRESOLVED,,360ONE;IIFLWAM
2018-03-28,2018-03-28,ANGELONE,UNRESOLVED,,ANGELBRKG;ANGELONE
2018-03-28,2018-03-28,COHANCE,UNRESOLVED,,COHANCE;SUVENPHAR
2018-03-28,2018-03-28,DALBHARAT,UNRESOLVED,,DALBHARAT
2018-03-28,2018-03-28,EPIGRAL,UNRESOLVED,,EPIGRAL;MFL
2018-03-28,2018-03-28,SGPC,UNRESOLVED,,SGPC
2018-03-28,2018-03-28,SHTV,UNRESOLVED,,SHTV
2020-03-31,2020-03-31,AFFLE,UNRESOLVED,,AFFLE
2020-03-31,2020-03-31,ANGELONE,UNRESOLVED,,ANGELBRKG;ANGELONE
2020-03-31,2020-03-31,DMART,UNRESOLVED,,DMART
2020-03-31,2020-03-31,EPIGRAL,UNRESOLVED,,EPIGRAL;MFL
2020-03-31,2020-03-31,SGPC,UNRESOLVED,,SGPC
2020-03-31,2020-03-31,SHTV,UNRESOLVED,,SHTV
2022-03-31,2022-03-31,BCG,UNRESOLVED,,BCG;LYCOS
2022-03-31,2022-03-31,FLUOROCHEM,UNRESOLVED,,FLUOROCHEM
2022-03-31,2022-03-31,JSWENERGY,UNRESOLVED,,JSWENERGY
2022-03-31,2022-03-31,TRIDENT,UNRESOLVED,,ABSHEKINDS;TRIDENT
2023-03-31,2023-03-31,PATANJALI,UNRESOLVED,,PATANJALI;RUCHI
2024-03-28,2024-03-28,ALOKINDS,UNRESOLVED,,ALOKINDS
2024-03-28,2024-03-28,GVT&D,UNRESOLVED,,ALSTOMT&D;AREVA;AREVAT&D;GECALSTHOM;GET&D;GVT&D
2024-03-28,2024-03-28,HSCL,UNRESOLVED,,HCIL;HIMADCHEM;HSCL
2024-03-28,2024-03-28,JAIBALAJI,UNRESOLVED,,BALASPONGE;JAIBALAJI
2024-03-28,2024-03-28,NETWORK18,UNRESOLVED,,NETWORK18
2024-03-28,2024-03-28,SCHNEIDER,UNRESOLVED,,SCHNEIDER
2024-03-28,2024-03-28,SPARC,UNRESOLVED,,SPARC
2024-03-28,2024-03-28,SUZLON,UNRESOLVED,,SUZLON
2024-03-28,2024-03-28,TATAINVEST,UNRESOLVED,,INVESTCORP;TATAINVEST
2024-03-28,2024-03-28,TV18BRDCST,UNRESOLVED,,GBN;IBN18;TV18BRDCST
2025-03-31,2025-03-28,ITI,UNRESOLVED,,ITI
2026-03-31,2026-03-30,SCHNEIDER,UNRESOLVED,,SCHNEIDER
