left_isin,right_isin,old_symbol,new_symbol,effective_date,evidence,joined
INE144J01019,INE144J01027,20MICRONS,20MICRONS,2013-01-29,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE466L01020,INE466L01038,360ONE,360ONE,2023-03-02,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE382T01022,INE382T01030,4THDIM,4THDIM,2023-01-23,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE650K01013,INE650K01021,8KMILES,8KMILES,2016-10-13,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE087Z01016,INE087Z01024,AAKASH,AAKASH,2022-02-04,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INF209KB1O58,INF209KB17D5,ABSLBANETF,ABSLBANETF,2021-11-26,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INF209KB1B87,INF209KB16D7,ABSLNN50ET,ABSLNN50ET,2021-11-26,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE648Z01015,INE648Z01023,ACCURACY,ACCURACY,2023-02-15,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE517H01010,INE517H01028,ADVANTA,ADVANTA,2013-07-08,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE837H01012,INE837H01020,ADVENZYMES,ADVENZYMES,2017-05-26,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE208C01017,INE208C01025,AEGISCHEM,AEGISCHEM,2015-09-18,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE00WC01019,INE00WC01027,AFFLE,AFFLE,2021-10-08,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE031B01031,INE031B01049,AJANTPHARM,AJANTPHARM,2015-03-23,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE820Y01013,INE820Y01021,AJOONI,AJOONI,2022-10-07,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE914E01024,INE914E01032,ALANKIT,ALANKIT,2015-09-24,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE914E01032,INE914E01040,ALANKIT,ALANKIT,2016-12-16,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE150B01013,INE150B01021,ALKYLAMINE,ALKYLAMINE,2014-09-09,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE150B01021,INE150B01039,ALKYLAMINE,ALKYLAMINE,2021-05-12,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE098F01023,INE098F01031,AMRUTANJAN,AMRUTANJAN,2018-04-16,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE715B01013,INE715B01021,ANDHRSUGAR,ANDHRSUGAR,2021-12-31,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE116A01016,INE116A01024,APCOTEXIND,APCOTEXIND,2013-08-16,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE116A01024,INE116A01032,APCOTEXIND,APCOTEXIND,2019-07-05,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE702C01019,INE702C01027,APLAPOLLO,APLAPOLLO,2020-12-16,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE451F01016,INE451F01024,APOLSINHOT,APOLSINHOT,2018-10-15,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE574I01027,INE574I01035,ARCOTECH,ARCOTECH,2017-06-23,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE420B01028,INE420B01036,ARIHANTCAP,ARIHANTCAP,2022-04-13,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE025R01013,INE025R01021,ARTEMISMED,ARTEMISMED,2021-09-24,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE365D01013,INE365D01021,ASHIANA,ASHIANA,2013-10-25,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
