event_id,security_id,symbol,series,ex_date,primary_class,purpose_normalized,source_file,repair_status,parsed_amount_or_ratio,membership_status,identity_candidate_count,identity_mapping_method,treatment_reviewed_for_in_universe_event,accepted_status,accepted_evidence,previous_close,ex_date_close,calculated_price_return,application_status,application_reason,cash_effect,share_effect,entitlement_effect,calculated_total_return,first_possible_hold,record_date,payment_date,dividend_amount,ratio_a,ratio_b,old_face_value_parsed,new_face_value_parsed,treatment_status,share_multiplier,cash_per_pre_event_share,evidence_source,rights_entitlement_observed,rights_entitlement_symbol,in_normal_window,payment_date_evidenced,bonus_credit_date_evidenced,settlement_calendar_evidenced,account_mechanics_status,account_evidence_issue
CA_03bf72dc62e06087ebb2,NSE_4FD30BCE01EE,TVSMOTOR,EQ,2015-05-05,DIVIDEND,SECOND INTERIM DIVIDEND - RS 1.15 PER SHARE (PURPOSE REVISED),corporate_actions_20150501_20150531.json,UNCHANGED,1.15,IN_MEMBERSHIP,1,DATED_ALIAS,False,,,249.65,240.35,-0.0372521530142199,APPLIED_TO_RETURN,UNAMBIGUOUS_PARSED_ORDINARY_ACTION,1.15,1.0,0.0,-0.0326457039855798,2015-04-01,2015-05-06,,1.15,,,,,,,,,,,True,False,False,True,CASH_AMOUNT_KNOWN_PAYMENT_PENDING,
CA_4add422b18626da683f7,NSE_9A051282CA4A,KITEX,EQ,2015-05-25,DIVIDEND,ANNUAL GENERAL MEETING/ DIVIDEND - RS 1.25/- PER SHARE,corporate_actions_20150501_20150531.json,UNCHANGED,1.25,IN_MEMBERSHIP,1,DATED_ALIAS,False,,,790.8,802.5,0.0147951441578149,APPLIED_TO_RETURN,UNAMBIGUOUS_PARSED_ORDINARY_ACTION,1.25,1.0,0.0,0.0163758219524532,2015-04-01,,,1.25,,,,,,,,,,,True,False,False,True,CASH_AMOUNT_KNOWN_PAYMENT_PENDING,
CA_992fdb7a5d708c2e2eaf,NSE_72140149E6B1,PAGEIND,EQ,2015-06-04,DIVIDEND,INTERIM DIVIDEND - RS 19/- PER SHARE (PURPOSE REVISED),corporate_actions_20150601_20150630.json,UNCHANGED,19.0,IN_MEMBERSHIP,1,DATED_ALIAS,False,,,15275.0,15704.05,0.028088379705401,APPLIED_TO_RETURN,UNAMBIGUOUS_PARSED_ORDINARY_ACTION,19.0,1.0,0.0,0.0293322422258592,2015-06-01,2015-06-05,,19.0,,,,,,,,,,,True,False,False,True,CASH_AMOUNT_KNOWN_PAYMENT_PENDING,
CA_34ad87c52f19283b8953,NSE_85D928902B89,SUNDRMFAST,EQ,2015-06-09,DIVIDEND,SECOND INTERIM DIVIDEND - RE 0.90/- PER SHARE,corporate_actions_20150601_20150630.json,UNCHANGED,0.9,IN_MEMBERSHIP,1,DATED_ALIAS,False,,,163.65,161.3,-0.0143599144515734,APPLIED_TO_RETURN,UNAMBIGUOUS_PARSED_ORDINARY_ACTION,0.9,1.0,0.0,-0.0088603727467154,2015-04-01,2015-06-10,,0.9,,,,,,,,,,,True,False,False,True,CASH_AMOUNT_KNOWN_PAYMENT_PENDING,
CA_7b981245cb5b847cf34a,NSE_9B0B508C6670,TORNTPHARM,EQ,2015-06-15,DIVIDEND,DIVIDEND - RS 6.25/- PER SHARE,corporate_actions_20150601_20150630.json,UNCHANGED,6.25,IN_MEMBERSHIP,1,DATED_ALIAS,False,,,1280.6,1278.95,-0.0012884585350615,APPLIED_TO_RETURN,UNAMBIGUOUS_PARSED_ORDINARY_ACTION,6.25,1.0,0.0,0.0035920662189599,2015-06-01,,,6.25,,,,,,,,,,,True,False,False,True,CASH_AMOUNT_KNOWN_PAYMENT_PENDING,
CA_e44c97696a0b3a8fd9d7,NSE_54AEFF95FAC0,ASHOKLEY,EQ,2015-06-17,DIVIDEND,ANNUAL GENERAL MEETING/DIVIDEND - RE 0.45 PER SHARE,corporate_actions_20150601_20150630.json,UNCHANGED,0.45,IN_MEMBERSHIP,1,DATED_ALIAS,False,,,64.95,65.65,0.0107775211701308,APPLIED_TO_RETURN,UNAMBIGUOUS_PARSED_ORDINARY_ACTION,0.45,1.0,0.0,0.0177059276366435,2015-04-01,,,0.45,,,,,,,,,,,True,False,False,True,CASH_AMOUNT_KNOWN_PAYMENT_PENDING,
CA_7cf362b1eb97b1a3e473,NSE_5A7F81BD0EAE,ATUL,EQ,2015-06-18,DIVIDEND,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.50/- PER SHARE,corporate_actions_20150601_20150630.json,UNCHANGED,8.5,IN_MEMBERSHIP,1,DATED_ALIAS,False,,,1152.05,1169.55,0.0151903129204462,APPLIED_TO_RETURN,UNAMBIGUOUS_PARSED_ORDINARY_ACTION,8.5,1.0,0.0,0.0225684649103772,2015-04-01,,,8.5,,,,,,,,,,,False,False,False,True,CASH_AMOUNT_KNOWN_PAYMENT_PENDING,
CA_23111981806e94c51e1b,NSE_499FFD70F55B,CANFINHOME,EQ,2015-06-24,DIVIDEND,ANNUAL GENERAL MEETING/DIVIDEND RS 7/- PER SHARE,corporate_actions_20150601_20150630.json,UNCHANGED,7.0,IN_MEMBERSHIP,1,DATED_ALIAS,False,,,708.5,700.9,-0.0107268877911079,APPLIED_TO_RETURN,UNAMBIGUOUS_PARSED_ORDINARY_ACTION,7.0,1.0,0.0,-0.0008468595624558,2015-04-01,,,7.0,,,,,,,,,,,True,False,False,True,CASH_AMOUNT_KNOWN_PAYMENT_PENDING,
CA_813217c02a5c916f6765,NSE_790EA781FCF2,AJANTPHARM,EQ,2015-06-25,DIVIDEND,ANNUAL GENERAL MEETING/ DIVIDEND - RS 6/- PER SHARE,corporate_actions_20150601_20150630.json,UNCHANGED,6.0,IN_MEMBERSHIP,1,DATED_ALIAS,False,,,1556.05,1519.95,-0.0231997686449663,APPLIED_TO_RETURN,UNAMBIGUOUS_PARSED_ORDINARY_ACTION,6.0,1.0,0.0,-0.0193438514186561,2015-04-01,,,6.0,,,,,,,,,,,True,False,False,True,CASH_AMOUNT_KNOWN_PAYMENT_PENDING,
CA_34d557ab538b7645a400,NSE_328A23F1543C,ZENSARTECH,EQ,2015-07-03,DIVIDEND,ANNUAL GENERAL MEETING/DIVIDEND RS 6.50 PER SHARE,corporate_actions_20150701_20150731.json,UNCHANGED,6.5,IN_MEMBERSHIP,1,DATED_ALIAS,False,,,686.35,677.0,-0.0136227872076929,APPLIED_TO_RETURN,UNAMBIGUOUS_PARSED_ORDINARY_ACTION,6.5,1.0,0.0,-0.0041524003788154,2015-07-01,,,6.5,,,,,,,,,,,True,False,False,True,CASH_AMOUNT_KNOWN_PAYMENT_PENDING,
