check,value
scored_selected_security_months,4736
selected_distinct_securities,555
normal_window_candidate_actions,548
normal_window_candidate_dividends,494
normal_window_dividends_missing_payment_date,494
normal_window_economic_dividends,493
normal_window_economic_dividends_missing_payment_date,493
normal_window_candidate_bonuses,23
normal_window_bonuses_missing_credit_date,23
normal_window_unresolved_economic_actions,0
normal_window_unresolved_account_rights,1
after_first_selection_candidate_actions,3073
after_first_selection_unresolved_economic_actions,44
settlement_calendar_verified,True
corporate_action_preflight_pass,True
account_run_authorized_by_evidence,True
held_event_materiality_requires_chronological_run,True
maximum_event_date_read,2023-03-31
