date,official_membership_count,observed_market_count,source_interval_security_count,identity_collision_count
2014-08-28,500,500,500,0
2014-09-30,500,500,500,0
2014-10-31,500,500,500,0
2014-11-28,500,500,500,0
2014-12-31,500,500,500,0
2015-01-30,500,500,500,0
2015-02-28,500,500,500,0
2015-03-31,500,500,500,0
2015-04-30,500,500,500,0
2015-05-29,500,500,500,0
2015-06-30,500,500,500,0
2015-07-31,500,500,500,0
2015-08-31,500,500,500,0
2015-09-30,500,500,500,0
2015-10-30,500,500,500,0
2015-11-30,500,500,500,0
2015-12-31,500,500,500,0
2016-01-29,500,500,500,0
2016-02-29,500,500,500,0
2016-03-31,500,500,500,0
2016-04-29,501,501,501,0
2016-05-31,501,501,501,0
2016-06-30,501,501,501,0
2016-07-29,501,501,501,0
2016-08-31,501,501,501,0
2016-09-30,501,501,501,0
2016-10-30,501,501,501,0
2016-11-30,501,501,501,0
2016-12-30,501,501,501,0
2017-01-31,501,501,501,0
2017-02-28,501,501,501,0
2017-03-31,501,501,501,0
2017-04-28,501,501,501,0
2017-05-31,501,501,501,0
2017-06-30,501,501,501,0
2017-07-31,501,501,501,0
2017-08-31,501,501,501,0
2017-09-29,501,501,501,0
2017-10-31,501,501,501,0
2017-11-30,501,501,501,0
2017-12-29,501,501,501,0
2018-01-31,501,501,501,0
2018-02-28,501,501,501,0
2018-03-28,501,501,501,0
2018-04-30,501,501,501,0
2018-05-31,501,501,501,0
2018-06-29,501,501,501,0
2018-07-31,501,501,501,0
2018-08-31,501,501,501,0
2018-09-28,501,501,501,0
2018-10-31,501,501,501,0
2018-11-30,501,501,501,0
2018-12-31,501,501,501,0
2019-01-31,501,501,501,0
2019-02-28,501,501,501,0
2019-03-29,501,501,501,0
2019-04-30,501,501,501,0
2019-05-31,501,501,501,0
2019-06-28,501,501,501,0
2019-07-31,501,501,501,0
2019-08-30,501,501,501,0
2019-09-30,501,501,501,0
2019-10-31,501,501,501,0
2019-11-29,501,501,501,0
2019-12-31,501,501,501,0
2020-01-31,501,501,501,0
2020-02-28,501,501,501,0
2020-03-31,501,501,501,0
2020-04-30,501,501,501,0
2020-05-29,501,501,501,0
2020-06-30,501,501,501,0
2020-07-31,501,501,501,0
2020-08-31,501,501,501,0
2020-09-30,501,501,501,0
2020-10-30,501,501,501,0
2020-11-27,501,501,501,0
2020-12-31,501,501,501,0
2021-01-29,501,501,501,0
2021-02-26,501,501,501,0
2021-03-31,501,501,501,0
2021-04-30,501,501,501,0
2021-05-31,501,501,501,0
2021-06-30,501,501,501,0
2021-07-30,501,501,501,0
2021-08-31,501,501,501,0
2021-09-30,501,501,501,0
2021-10-29,501,501,501,0
2021-11-30,501,501,501,0
2021-12-31,501,501,501,0
2022-01-31,501,501,501,0
2022-02-28,501,501,501,0
2022-03-31,501,501,501,0
2022-04-29,501,501,501,0
2022-05-31,501,501,501,0
2022-06-30,501,501,501,0
2022-07-29,501,501,501,0
2022-08-30,501,501,501,0
2022-09-30,501,501,501,0
2022-10-31,501,501,501,0
2022-11-30,501,501,501,0
2022-12-30,501,501,501,0
2023-01-31,501,501,501,0
2023-02-28,501,501,501,0
2023-03-31,501,501,501,0
