metric,value
panel_rows,1810466
first_panel_date,2013-01-01
last_panel_date,2023-03-31
duplicate_security_date_rows,0
permanent_identities,865
contemporaneous_symbols,966
nifty500_security_date_observations,1064235
official_membership_count_min,500
official_membership_count_max,501
unresolved_official_membership_identities,0
impossible_prelisting_memberships,0
alias_collisions,0
duplicated_economic_securities_in_universe,0
missing_market_rows_in_universe,5
missing_market_cases_in_universe,3
accepted_parent_treatments,149
corporate_action_adjusted_rows,58
strict_corporate_action_exceptions,4
delayed_recognition_rows,4
momentum_signal_unsafe_formation_observations,8
unexplained_unsafe_formation_observations,0
adv_complete_rows,1787288
adv_incomplete_rows,23178
adv_complete_rows_in_universe,1064173
maximum_value_date_read,2023-03-31
maximum_panel_date,2023-03-31
official_membership_intervals_used,1040
old_snapshot_floor_source_rows,0
prohibited_membership_path_used,False
market_input_rows_through_cutoff,4645436
member_identity_matched_market_rows,1813210
selected_market_rows,1810461
selected_eq_rows,1760219
selected_be_rows,34468
selected_bz_rows,15774
conflicting_series_rows,2749
ambiguous_series_rows,0
no_eligible_series_rows,0
invalid_market_rows,0
