symbol,company,series,face_value,purpose,ex_date,record_date,book_closure_start,book_closure_end,payment_date,remarks,source_file,source,purpose_normalized,is_dividend,is_bonus,is_split,is_consolidation,is_rights,is_structural,is_buyback,is_capital_reduction,is_meeting,is_interest,is_redemption,primary_class,dividend_amount,ratio_a,ratio_b,old_face_value_parsed,new_face_value_parsed,economic_event_count,multiple_event_types,needs_manual_review,repair_status,repair_reason,security_id_x,identity_match_method,is_nifty500_member_on_ex_date,event_id,effective_date_x,parent_event_class_x,treatment_status,cash_per_pre_event_share,share_multiplier,entitlement_value_per_pre_event_share,cash_unit_basis,valuation_date,valuation_method,is_mandatory,blocks_total_return,evidence_source,effective_date_y,security_id_y,parent_event_class_y,treatment_notes,event_mechanism,assumption_code,assumption_requires_approval,no_direct_adjustment_component,rights_new_shares_per_old_share,rights_subscription_price,previous_close,ex_date_close,market_symbol,market_isin,market_series,rights_entitlement_symbol,rights_entitlement_observed,rights_entitlement_first_seen,rights_entitlement_last_seen,treatment_row_id
JUSTDIAL,Just Dial Limited,EQ,10.0,Buyback Of Shares,2015-12-03,2015-12-04,,,,,corporate_actions_20151201_20151231.json,NSE corporate actions API,BUYBACK OF SHARES,False,False,False,False,False,False,True,False,False,False,False,BUYBACK,,,,,,1,False,False,UNCHANGED,,NSE_855E4F920F23,ACTIVE_DATE_MATCH,True,CA_1feae9ca4c6aa87f52cf,2015-12-03,BUYBACK,RESOLVED_NO_DIRECT_HOLDER_ADJUSTMENT,0.0,1.0,0.0,NOT_APPLICABLE,2015-12-03,PASSIVE_HOLDER_NON_PARTICIPATION_POLICY,False,False,LOCAL_NSE_CA_API:corporate_actions_20151201_20151231.json,2015-12-03,NSE_855E4F920F23,BUYBACK,Optional tender buyback: RESOLVED_NO_DIRECT_HOLDER_ADJUSTMENT only under the explicit passive-holder assumption that the holder does not tender.,OPTIONAL_TENDER_BUYBACK,PASSIVE_HOLDER_DOES_NOT_TENDER,False,True,,,,,,,,,False,,,CA_1feae9ca4c6aa87f52cf_T1
WIPRO,Wipro Limited,EQ,2.0,Buyback Of Shares,2016-05-05,2016-05-06,,,,,corporate_actions_20160501_20160531.json,NSE corporate actions API,BUYBACK OF SHARES,False,False,False,False,False,False,True,False,False,False,False,BUYBACK,,,,,,1,False,False,UNCHANGED,,NSE_060294DF8B9D,ACTIVE_DATE_MATCH,True,CA_3e7f4fe54ba678c0490b,2016-05-05,BUYBACK,RESOLVED_NO_DIRECT_HOLDER_ADJUSTMENT,0.0,1.0,0.0,NOT_APPLICABLE,2016-05-05,PASSIVE_HOLDER_NON_PARTICIPATION_POLICY,False,False,LOCAL_NSE_CA_API:corporate_actions_20160501_20160531.json,2016-05-05,NSE_060294DF8B9D,BUYBACK,Optional tender buyback: RESOLVED_NO_DIRECT_HOLDER_ADJUSTMENT only under the explicit passive-holder assumption that the holder does not tender.,OPTIONAL_TENDER_BUYBACK,PASSIVE_HOLDER_DOES_NOT_TENDER,False,True,,,,,,,,,False,,,CA_3e7f4fe54ba678c0490b_T1
INDUSTOWER,Indus Towers Limited,EQ,10.0,Buy-Back Of Shares,2016-06-15,2016-06-16,,,,,corporate_actions_20160601_20160630.json,NSE corporate actions API,BUY-BACK OF SHARES,False,False,False,False,False,False,True,False,False,False,False,BUYBACK,,,,,,1,False,False,UNCHANGED,,NSE_EC4644B51BC9,UNIQUE_SYMBOL_HISTORY,True,CA_42c71074cc25dfab9519,2016-06-15,BUYBACK,RESOLVED_NO_DIRECT_HOLDER_ADJUSTMENT,0.0,1.0,0.0,NOT_APPLICABLE,2016-06-15,PASSIVE_HOLDER_NON_PARTICIPATION_POLICY,False,False,LOCAL_NSE_CA_API:corporate_actions_20160601_20160630.json,2016-06-15,NSE_EC4644B51BC9,BUYBACK,Optional tender buyback: RESOLVED_NO_DIRECT_HOLDER_ADJUSTMENT only under the explicit passive-holder assumption that the holder does not tender.,OPTIONAL_TENDER_BUYBACK,PASSIVE_HOLDER_DOES_NOT_TENDER,False,True,,,,,,,,,False,,,CA_42c71074cc25dfab9519_T1
COALINDIA,Coal India Limited,EQ,10.0,Buyback Of Shares,2016-09-08,2016-09-09,,,,,corporate_actions_20160901_20160930.json,NSE corporate actions API,BUYBACK OF SHARES,False,False,False,False,False,False,True,False,False,False,False,BUYBACK,,,,,,1,False,False,UNCHANGED,,NSE_D532036F191F,ACTIVE_DATE_MATCH,True,CA_ef9ad6bdb4238bb307c3,2016-09-08,BUYBACK,RESOLVED_NO_DIRECT_HOLDER_ADJUSTMENT,0.0,1.0,0.0,NOT_APPLICABLE,2016-09-08,PASSIVE_HOLDER_NON_PARTICIPATION_POLICY,False,False,LOCAL_NSE_CA_API:corporate_actions_20160901_20160930.json,2016-09-08,NSE_D532036F191F,BUYBACK,Optional tender buyback: RESOLVED_NO_DIRECT_HOLDER_ADJUSTMENT only under the explicit passive-holder assumption that the holder does not tender.,OPTIONAL_TENDER_BUYBACK,PASSIVE_HOLDER_DOES_NOT_TENDER,False,True,,,,,,,,,False,,,CA_ef9ad6bdb4238bb307c3_T1
IDFCFIRSTB,IDFC First Bank Limited,H9,5000.0,Interest Payement/Buyback,2016-12-08,2016-12-09,,,,,corporate_actions_20161201_20161231.json,NSE corporate actions API,INTEREST PAYEMENT/BUYBACK,False,False,False,False,False,False,True,False,False,True,False,BUYBACK,,,,,,1,False,False,UNCHANGED,,NSE_D35374D82BA3,UNIQUE_SYMBOL_HISTORY,True,CA_1a7347d96e23e43553d8,2016-12-08,BUYBACK,RESOLVED_NO_DIRECT_HOLDER_ADJUSTMENT,0.0,1.0,0.0,NOT_APPLICABLE,2016-12-08,SECURITY_SERIES_CLASSIFICATION,False,False,LOCAL_NSE_CA_API:corporate_actions_20161201_20161231.json,2016-12-08,NSE_D35374D82BA3,BUYBACK,Series H9 with face value Rs 5000 is not the issuer's ordinary EQ security; it creates no ordinary-equity holder adjustment.,NON_EQUITY_SERIES_SAME_ISSUER_SYMBOL,,False,True,,,,,,,,,False,,,CA_1a7347d96e23e43553d8_T1
IDFCFIRSTB,IDFC First Bank Limited,HA,5000.0,Buyback,2016-12-08,2016-12-09,,,,,corporate_actions_20161201_20161231.json,NSE corporate actions API,BUYBACK,False,False,False,False,False,False,True,False,False,False,False,BUYBACK,,,,,,1,False,False,UNCHANGED,,NSE_D35374D82BA3,UNIQUE_SYMBOL_HISTORY,True,CA_136e4f5714de187ec5b4,2016-12-08,BUYBACK,RESOLVED_NO_DIRECT_HOLDER_ADJUSTMENT,0.0,1.0,0.0,NOT_APPLICABLE,2016-12-08,SECURITY_SERIES_CLASSIFICATION,False,False,LOCAL_NSE_CA_API:corporate_actions_20161201_20161231.json,2016-12-08,NSE_D35374D82BA3,BUYBACK,Series HA with face value Rs 5000 is not the issuer's ordinary EQ security; it creates no ordinary-equity holder adjustment.,NON_EQUITY_SERIES_SAME_ISSUER_SYMBOL,,False,True,,,,,,,,,False,,,CA_136e4f5714de187ec5b4_T1
HEXAWARE,Hexaware Technologies Limited,EQ,2.0,Buyback,2017-01-05,2017-01-06,,,,,corporate_actions_20170101_20170131.json,NSE corporate actions API,BUYBACK,False,False,False,False,False,False,True,False,False,False,False,BUYBACK,,,,,,1,False,False,UNCHANGED,,NSE_5813C47C6758,ACTIVE_DATE_MATCH,True,CA_2d132eb7222f292e9699,2017-01-05,BUYBACK,RESOLVED_NO_DIRECT_HOLDER_ADJUSTMENT,0.0,1.0,0.0,NOT_APPLICABLE,2017-01-05,PASSIVE_HOLDER_NON_PARTICIPATION_POLICY,False,False,LOCAL_NSE_CA_API:corporate_actions_20170101_20170131.json,2017-01-05,NSE_5813C47C6758,BUYBACK,Optional tender buyback: RESOLVED_NO_DIRECT_HOLDER_ADJUSTMENT only under the explicit passive-holder assumption that the holder does not tender.,OPTIONAL_TENDER_BUYBACK,PASSIVE_HOLDER_DOES_NOT_TENDER,False,True,,,,,,,,,False,,,CA_2d132eb7222f292e9699_T1
APARINDS,Apar Industries Limited,EQ,10.0,Buyback,2017-01-19,2017-01-20,,,,,corporate_actions_20170101_20170131.json,NSE corporate actions API,BUYBACK,False,False,False,False,False,False,True,False,False,False,False,BUYBACK,,,,,,1,False,False,UNCHANGED,,NSE_05F316A71726,ACTIVE_DATE_MATCH,True,CA_05904801bd895ea3e459,2017-01-19,BUYBACK,RESOLVED_NO_DIRECT_HOLDER_ADJUSTMENT,0.0,1.0,0.0,NOT_APPLICABLE,2017-01-19,PASSIVE_HOLDER_NON_PARTICIPATION_POLICY,False,False,LOCAL_NSE_CA_API:corporate_actions_20170101_20170131.json,2017-01-19,NSE_05F316A71726,BUYBACK,Optional tender buyback: RESOLVED_NO_DIRECT_HOLDER_ADJUSTMENT only under the explicit passive-holder assumption that the holder does not tender.,OPTIONAL_TENDER_BUYBACK,PASSIVE_HOLDER_DOES_NOT_TENDER,False,True,,,,,,,,,False,,,CA_05904801bd895ea3e459_T1
NHPC,NHPC Limited,EQ,10.0,Buyback,2017-02-17,2017-02-20,,,,,corporate_actions_20170201_20170228.json,NSE corporate actions API,BUYBACK,False,False,False,False,False,False,True,False,False,False,False,BUYBACK,,,,,,1,False,False,UNCHANGED,,NSE_11AC767B4B31,ACTIVE_DATE_MATCH,True,CA_3de85207f33b6feb14c0,2017-02-17,BUYBACK,RESOLVED_NO_DIRECT_HOLDER_ADJUSTMENT,0.0,1.0,0.0,NOT_APPLICABLE,2017-02-17,PASSIVE_HOLDER_NON_PARTICIPATION_POLICY,False,False,LOCAL_NSE_CA_API:corporate_actions_20170201_20170228.json,2017-02-17,NSE_11AC767B4B31,BUYBACK,Optional tender buyback: RESOLVED_NO_DIRECT_HOLDER_ADJUSTMENT only under the explicit passive-holder assumption that the holder does not tender.,OPTIONAL_TENDER_BUYBACK,PASSIVE_HOLDER_DOES_NOT_TENDER,False,True,,,,,,,,,False,,,CA_3de85207f33b6feb14c0_T1
IDFCFIRSTB,IDFC First Bank Limited,HB,5000.0,Interest Payment/Buyback,2017-03-02,2017-03-03,,,,,corporate_actions_20170301_20170331.json,NSE corporate actions API,INTEREST PAYMENT/BUYBACK,False,False,False,False,False,False,True,False,False,True,False,BUYBACK,,,,,,1,False,False,UNCHANGED,,NSE_D35374D82BA3,UNIQUE_SYMBOL_HISTORY,True,CA_f6f41be77f84094a7263,2017-03-02,BUYBACK,RESOLVED_NO_DIRECT_HOLDER_ADJUSTMENT,0.0,1.0,0.0,NOT_APPLICABLE,2017-03-02,SECURITY_SERIES_CLASSIFICATION,False,False,LOCAL_NSE_CA_API:corporate_actions_20170301_20170331.json,2017-03-02,NSE_D35374D82BA3,BUYBACK,Series HB with face value Rs 5000 is not the issuer's ordinary EQ security; it creates no ordinary-equity holder adjustment.,NON_EQUITY_SERIES_SAME_ISSUER_SYMBOL,,False,True,,,,,,,,,False,,,CA_f6f41be77f84094a7263_T1
