symbol,company,series,face_value,purpose,ex_date,record_date,book_closure_start,book_closure_end,payment_date,remarks,source_file,source,purpose_normalized,is_dividend,is_bonus,is_split,is_consolidation,is_rights,is_structural,is_buyback,is_capital_reduction,is_meeting,is_interest,is_redemption,primary_class,dividend_amount,ratio_a,ratio_b,old_face_value_parsed,new_face_value_parsed,economic_event_count,multiple_event_types,needs_manual_review,repair_status,repair_reason,security_id_x,identity_match_method,is_nifty500_member_on_ex_date,event_id,effective_date_x,parent_event_class_x,treatment_status,cash_per_pre_event_share,share_multiplier,entitlement_value_per_pre_event_share,cash_unit_basis,valuation_date,valuation_method,is_mandatory,blocks_total_return,evidence_source,effective_date_y,security_id_y,parent_event_class_y,treatment_notes,event_mechanism,assumption_code,assumption_requires_approval,no_direct_adjustment_component,rights_new_shares_per_old_share,rights_subscription_price,previous_close,ex_date_close,market_symbol,market_isin,market_series,rights_entitlement_symbol,rights_entitlement_observed,rights_entitlement_first_seen,rights_entitlement_last_seen,treatment_row_id
MANINFRA,Man Infraconstruction Limited,EQ,2.0,Annual General Meeting / Dividend - Rs 1.35/- Per Share / Face Value Split - From Rs 10/- Per Share To Rs 2/- Per Share,2014-08-28,,2014-09-02,2014-09-05,,,corporate_actions_20140801_20140831.json,NSE corporate actions API,ANNUAL GENERAL MEETING / DIVIDEND - RS 1.35/- PER SHARE / FACE VALUE SPLIT - FROM RS 10/- PER SHARE TO RS 2/- PER SHARE,True,False,True,False,False,False,False,False,True,False,False,SPLIT,1.35,,,10.0,2.0,2,True,True,UNCHANGED,,NSE_79E6C5F02193,ACTIVE_DATE_MATCH,True,CA_2a62f5a6b7ede4f45b03,2014-08-28,SPLIT,RESOLVED_COMBINED,1.35,5.0,0.0,GROSS_DECLARED_CASH_PER_PRE_EVENT_SHARE,2014-08-28,DIRECT_OFFICIAL_EVENT_TERMS,True,False,LOCAL_NSE_CA_API:corporate_actions_20140801_20140831.json,2014-08-28,NSE_79E6C5F02193,SPLIT,All ordinary cash and resulting-share components are composed on the same ex-date.,COMBINED_ORDINARY_EQUITY_EVENT,,False,False,,,,,,,,,False,,,CA_2a62f5a6b7ede4f45b03_T1
TECHM,Tech Mahindra Limited,EQ,5.0,Bonus 1:1 / Face Value Split - From Rs 10/- Per Share To Rs 5/- Per Share,2015-03-19,2015-03-20,,,,,corporate_actions_20150301_20150331.json,NSE corporate actions API,BONUS 1:1 / FACE VALUE SPLIT - FROM RS 10/- PER SHARE TO RS 5/- PER SHARE,False,True,True,False,False,False,False,False,False,False,False,SPLIT,,1.0,1.0,10.0,5.0,2,True,True,UNCHANGED,,NSE_469BDD916F8C,ACTIVE_DATE_MATCH,True,CA_0a7b530ca380e938ad3a,2015-03-19,SPLIT,RESOLVED_COMBINED,0.0,4.0,0.0,NOT_APPLICABLE,2015-03-19,DIRECT_OFFICIAL_EVENT_TERMS,True,False,LOCAL_NSE_CA_API:corporate_actions_20150301_20150331.json,2015-03-19,NSE_469BDD916F8C,SPLIT,All ordinary cash and resulting-share components are composed on the same ex-date.,COMBINED_ORDINARY_EQUITY_EVENT,,False,False,,,,,,,,,False,,,CA_0a7b530ca380e938ad3a_T1
INFY,Infosys Limited,EQ,5.0,Annual General Meeting/ Dividend - Rs 29.50/- Per Share And Bonus 1:1,2015-06-15,,2015-06-17,2015-06-17,,,corporate_actions_20150601_20150630.json,NSE corporate actions API,ANNUAL GENERAL MEETING/ DIVIDEND - RS 29.50/- PER SHARE AND BONUS 1:1,True,True,False,False,False,False,False,False,True,False,False,BONUS,29.5,1.0,1.0,,,2,True,True,UNCHANGED,,NSE_6A68B38036FB,ACTIVE_DATE_MATCH,True,CA_8d03d64d2fc413d30b7a,2015-06-15,BONUS,RESOLVED_COMBINED,29.5,2.0,0.0,GROSS_DECLARED_CASH_PER_PRE_EVENT_SHARE,2015-06-15,DIRECT_OFFICIAL_EVENT_TERMS,True,False,LOCAL_NSE_CA_API:corporate_actions_20150601_20150630.json,2015-06-15,NSE_6A68B38036FB,BONUS,All ordinary cash and resulting-share components are composed on the same ex-date.,COMBINED_ORDINARY_EQUITY_EVENT,,False,False,,,,,,,,,False,,,CA_8d03d64d2fc413d30b7a_T1
MOTHERSON,Samvardhana Motherson International Limited,EQ,1.0,Annual General Meeting / Dividend - Rs 3/- Per Share / Bonus - 1:2,2015-07-23,,2015-07-25,2015-07-25,,,corporate_actions_20150701_20150731.json,NSE corporate actions API,ANNUAL GENERAL MEETING / DIVIDEND - RS 3/- PER SHARE / BONUS - 1:2,True,True,False,False,False,False,False,False,True,False,False,BONUS,3.0,1.0,2.0,,,2,True,True,UNCHANGED,,NSE_108254EF6AA4,UNIQUE_SYMBOL_HISTORY,True,CA_e1f6a6eaef0a5226d519,2015-07-23,BONUS,RESOLVED_COMBINED,3.0,1.5,0.0,GROSS_DECLARED_CASH_PER_PRE_EVENT_SHARE,2015-07-23,DIRECT_OFFICIAL_EVENT_TERMS,True,False,LOCAL_NSE_CA_API:corporate_actions_20150701_20150731.json,2015-07-23,NSE_108254EF6AA4,BONUS,All ordinary cash and resulting-share components are composed on the same ex-date.,COMBINED_ORDINARY_EQUITY_EVENT,,False,False,,,,,,,,,False,,,CA_e1f6a6eaef0a5226d519_T1
SINTEX,Sintex Industries Limited,EQ,1.0,Dividend - Re 0.70/- Per Share/ Right 26:151,2016-08-08,2016-08-09,,,,,corporate_actions_20160801_20160831.json,NSE corporate actions API,DIVIDEND - RE 0.70/- PER SHARE/ RIGHT 26:151,True,False,False,False,True,False,False,False,False,False,False,RIGHTS,0.7,26.0,151.0,,,2,True,True,UNCHANGED,,NSE_7F1FE9599769,ACTIVE_DATE_MATCH,True,CA_1a7d62891f49bdca2944,2016-08-08,RIGHTS,RESOLVED_COMBINED,0.7,1.0,1.1751412429378532,GROSS_DECLARED_CASH_PER_PRE_EVENT_SHARE,2016-08-08,THEORETICAL_EX_RIGHTS_VALUE_FROM_CUM_RIGHTS_PREVIOUS_CLOSE,True,False,LOCAL_NSE_CA_API:corporate_actions_20160801_20160831.json;SINTEX_AR_2016_17,2016-08-08,NSE_7F1FE9599769,RIGHTS,Official report supplies the missing Rs 65 issue price; the same event also pays Rs 0.70 gross cash per old share. The passive holder injects no subscription cash. The entitlement is credited at its ex-date theoretical value from terms known by then; no later RE price or immediate-sale proceeds are used.,ORDINARY_DIVIDEND_PLUS_RIGHTS_ENTITLEMENT,PASSIVE_HOLDER_DOES_NOT_SUBSCRIBE;ENTITLEMENT_VALUED_BY_NSE_TERP_METHOD,False,False,0.17218543046357615,65.0,73.7,74.15,SINTEX,INE429C01035,EQ,,False,,,CA_1a7d62891f49bdca2944_T1
BAJFINANCE,Bajaj Finance Limited,EQ,1.0,Bonus 1:1/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,2016-09-08,2016-09-10,,,,,corporate_actions_20160901_20160930.json,NSE corporate actions API,BONUS 1:1/FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RS 2/- PER SHARE,False,True,True,False,False,False,False,False,False,False,False,SPLIT,,1.0,1.0,10.0,2.0,2,True,True,UNCHANGED,,NSE_509E811DE5D8,ACTIVE_DATE_MATCH,True,CA_0698eda52834a7ba7b3e,2016-09-08,SPLIT,RESOLVED_COMBINED,0.0,10.0,0.0,NOT_APPLICABLE,2016-09-08,DIRECT_OFFICIAL_EVENT_TERMS,True,False,LOCAL_NSE_CA_API:corporate_actions_20160901_20160930.json,2016-09-08,NSE_509E811DE5D8,SPLIT,All ordinary cash and resulting-share components are composed on the same ex-date.,COMBINED_ORDINARY_EQUITY_EVENT,,False,False,,,,,,,,,False,,,CA_0698eda52834a7ba7b3e_T1
SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,EQ,5.0,Bonus 1:3/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,2016-10-10,2016-10-13,,,,,corporate_actions_20161001_20161031.json,NSE corporate actions API,BONUS 1:3/FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RS 5/- PER SHARE,False,True,True,False,False,False,False,False,False,False,False,SPLIT,,1.0,3.0,10.0,5.0,2,True,True,UNCHANGED,,NSE_4E27A558622E,UNIQUE_SYMBOL_HISTORY,True,CA_ccabaf8940776421471f,2016-10-10,SPLIT,RESOLVED_COMBINED,0.0,2.6666666666666665,0.0,NOT_APPLICABLE,2016-10-10,DIRECT_OFFICIAL_EVENT_TERMS,True,False,LOCAL_NSE_CA_API:corporate_actions_20161001_20161031.json,2016-10-10,NSE_4E27A558622E,SPLIT,All ordinary cash and resulting-share components are composed on the same ex-date.,COMBINED_ORDINARY_EQUITY_EVENT,,False,False,,,,,,,,,False,,,CA_ccabaf8940776421471f_T1
HCLTECH,HCL Technologies Limited,EQ,2.0,Buyback/Interim Dividend Rs 6/- Per Share (Purpose Revised),2017-05-24,2017-05-25,,,,,corporate_actions_20170501_20170531.json,NSE corporate actions API,BUYBACK/INTERIM DIVIDEND RS 6/- PER SHARE (PURPOSE REVISED),True,False,False,False,False,False,True,False,False,False,False,DIVIDEND,6.0,,,,,2,True,True,UNCHANGED,,NSE_E50226C18398,ACTIVE_DATE_MATCH,True,CA_aea0097a3b019d71a9e7,2017-05-24,DIVIDEND,RESOLVED_COMBINED,6.0,1.0,0.0,GROSS_DECLARED_CASH_PER_PRE_EVENT_SHARE,2017-05-24,DIRECT_OFFICIAL_EVENT_TERMS,True,False,LOCAL_NSE_CA_API:corporate_actions_20170501_20170531.json,2017-05-24,NSE_E50226C18398,DIVIDEND,Gross declared cash per ordinary share from the official NSE event record. The optional tender buyback creates no direct holder adjustment under the recorded passive-holder non-participation assumption.,ORDINARY_DIVIDEND_PLUS_OPTIONAL_TENDER_BUYBACK,PASSIVE_HOLDER_DOES_NOT_TENDER,False,True,,,,,,,,,False,,,CA_aea0097a3b019d71a9e7_T1
ICICIBANK,ICICI Bank Limited,EQ,2.0,Annual General Meeting/Dividend - Rs 2.50 Per Share/Bonus 1:10 (Revised),2017-06-20,,2017-06-22,2017-06-24,,,corporate_actions_20170601_20170630.json,NSE corporate actions API,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.50 PER SHARE/BONUS 1:10 (REVISED),True,True,False,False,False,False,False,False,True,False,False,BONUS,2.5,1.0,10.0,,,2,True,True,UNCHANGED,,NSE_63BFA94D0485,ACTIVE_DATE_MATCH,True,CA_47a3715cbdf957d513c6,2017-06-20,BONUS,RESOLVED_COMBINED,2.5,1.1,0.0,GROSS_DECLARED_CASH_PER_PRE_EVENT_SHARE,2017-06-20,DIRECT_OFFICIAL_EVENT_TERMS,True,False,LOCAL_NSE_CA_API:corporate_actions_20170601_20170630.json,2017-06-20,NSE_63BFA94D0485,BONUS,All ordinary cash and resulting-share components are composed on the same ex-date.,COMBINED_ORDINARY_EQUITY_EVENT,,False,False,,,,,,,,,False,,,CA_47a3715cbdf957d513c6_T1
HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,10.0,Bonus 1:2/ Dividend - Rs 1.10 Per Share,2017-07-11,2017-07-12,,,,,corporate_actions_20170701_20170731.json,NSE corporate actions API,BONUS 1:2/ DIVIDEND - RS 1.10 PER SHARE,True,True,False,False,False,False,False,False,False,False,False,BONUS,1.1,1.0,2.0,,,2,True,True,UNCHANGED,,NSE_B0B59A3FBF07,ACTIVE_DATE_MATCH,True,CA_58cb1d64c19b90deabfd,2017-07-11,BONUS,RESOLVED_COMBINED,1.1,1.5,0.0,GROSS_DECLARED_CASH_PER_PRE_EVENT_SHARE,2017-07-11,DIRECT_OFFICIAL_EVENT_TERMS,True,False,LOCAL_NSE_CA_API:corporate_actions_20170701_20170731.json,2017-07-11,NSE_B0B59A3FBF07,BONUS,All ordinary cash and resulting-share components are composed on the same ex-date.,COMBINED_ORDINARY_EQUITY_EVENT,,False,False,,,,,,,,,False,,,CA_58cb1d64c19b90deabfd_T1
