symbol,company,series,face_value,purpose,ex_date,record_date,book_closure_start,book_closure_end,payment_date,remarks,source_file,source,purpose_normalized,is_dividend,is_bonus,is_split,is_consolidation,is_rights,is_structural,is_buyback,is_capital_reduction,is_meeting,is_interest,is_redemption,primary_class,dividend_amount,ratio_a,ratio_b,old_face_value_parsed,new_face_value_parsed,economic_event_count,multiple_event_types,needs_manual_review,repair_status,repair_reason,security_id_x,identity_match_method,is_nifty500_member_on_ex_date,event_id,effective_date_x,parent_event_class_x,treatment_status,cash_per_pre_event_share,share_multiplier,entitlement_value_per_pre_event_share,cash_unit_basis,valuation_date,valuation_method,is_mandatory,blocks_total_return,evidence_source,effective_date_y,security_id_y,parent_event_class_y,treatment_notes,event_mechanism,assumption_code,assumption_requires_approval,no_direct_adjustment_component,rights_new_shares_per_old_share,rights_subscription_price,previous_close,ex_date_close,market_symbol,market_isin,market_series,rights_entitlement_symbol,rights_entitlement_observed,rights_entitlement_first_seen,rights_entitlement_last_seen,treatment_row_id
MANINFRA,Man Infraconstruction Limited,EQ,2.0,Annual General Meeting / Dividend - Rs 1.35/- Per Share / Face Value Split - From Rs 10/- Per Share To Rs 2/- Per Share,2014-08-28,,2014-09-02,2014-09-05,,,corporate_actions_20140801_20140831.json,NSE corporate actions API,ANNUAL GENERAL MEETING / DIVIDEND - RS 1.35/- PER SHARE / FACE VALUE SPLIT - FROM RS 10/- PER SHARE TO RS 2/- PER SHARE,True,False,True,False,False,False,False,False,True,False,False,SPLIT,1.35,,,10.0,2.0,2,True,True,UNCHANGED,,NSE_79E6C5F02193,ACTIVE_DATE_MATCH,True,CA_2a62f5a6b7ede4f45b03,2014-08-28,SPLIT,RESOLVED_COMBINED,1.35,5.0,0.0,GROSS_DECLARED_CASH_PER_PRE_EVENT_SHARE,2014-08-28,DIRECT_OFFICIAL_EVENT_TERMS,True,False,LOCAL_NSE_CA_API:corporate_actions_20140801_20140831.json,2014-08-28,NSE_79E6C5F02193,SPLIT,All ordinary cash and resulting-share components are composed on the same ex-date.,COMBINED_ORDINARY_EQUITY_EVENT,,False,False,,,,,,,,,False,,,CA_2a62f5a6b7ede4f45b03_T1
NCC,NCC Limited,EQ,2.0,Rights 7 : 6 @ Premium Rs 18/- Per Share,2014-09-18,2014-09-19,,,,,corporate_actions_20140901_20140930.json,NSE corporate actions API,RIGHTS 7 : 6 @ PREMIUM RS 18/- PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,7.0,6.0,,,1,False,False,UNCHANGED,,NSE_AC850CBABC55,ACTIVE_DATE_MATCH,True,CA_ff8f4df10d1842e13215,2014-09-18,RIGHTS,RESOLVED_RIGHTS_ENTITLEMENT,0.0,1.0,27.757692307692306,NOT_APPLICABLE,2014-09-18,THEORETICAL_EX_RIGHTS_VALUE_FROM_CUM_RIGHTS_PREVIOUS_CLOSE,True,False,LOCAL_NSE_CA_API:corporate_actions_20140901_20140930.json,2014-09-18,NSE_AC850CBABC55,RIGHTS,Issue price is event face value plus the premium stated in the official NSE corporate-action record. The passive holder injects no subscription cash. The entitlement is credited at its ex-date theoretical value from terms known by then; no later RE price or immediate-sale proceeds are used.,RIGHTS_ENTITLEMENT,PASSIVE_HOLDER_DOES_NOT_SUBSCRIBE;ENTITLEMENT_VALUED_BY_NSE_TERP_METHOD,False,False,1.1666666666666667,20.0,71.55,46.9,NCC,INE868B01028,EQ,,False,,,CA_ff8f4df10d1842e13215_T1
BLUEDART,Blue Dart Express Limited,EQ,10.0,Scheme Of Arrangement - Issue Of Bonus Debentures,2014-11-17,2014-11-18,,,,,corporate_actions_20141101_20141130.json,NSE corporate actions API,SCHEME OF ARRANGEMENT - ISSUE OF BONUS DEBENTURES,False,False,False,False,False,True,False,False,False,False,False,DEBENTURE_ENTITLEMENT,,,,,,1,False,True,RECLASSIFIED,A debenture entitlement is not an ordinary-equity bonus.,NSE_1789CF98709C,ACTIVE_DATE_MATCH,True,CA_faa277a19bfa2ac115cc,2014-11-17,DEBENTURE_ENTITLEMENT,UNRESOLVED_STRUCTURAL_EVENT,,1.0,,NOT_APPLICABLE,,BLOCKED_POINT_IN_TIME_CONTRACTUAL_TERMS_INCOMPLETE,True,True,LOCAL_NSE_CA_API:corporate_actions_20141101_20141130.json;BLUEDART_BONUS_DEBENTURE_TERMS;BLUEDART_AR_2014_15;NSE_BLUEDART_LISTING_2014_11_26;FIMMDA_VALUATION_CIRCULAR_2012,2014-11-17,NSE_1789CF98709C,DEBENTURE_ENTITLEMENT,"The pre-ex-date issuer release fixes quantities, face value, annual frequency and tenor, but says the Board will determine the coupons. The preserved official sources that state 9.3%, 9.4% and 9.5% are post-ex-date and do not establish when those rates or the allotment date became legally fixed. Contractual cash flows therefore cannot be constructed point in time; no yield or value is selected.",MANDATORY_BONUS_DEBENTURE_ENTITLEMENT,,False,False,,,,,,,,,False,,,CA_faa277a19bfa2ac115cc_T1
FEL,Future Enterprises Limited,EQ,2.0,Rights 5:8 @ Premium Rs.101/- Per Equity Share,2014-11-18,2014-11-19,,,,,corporate_actions_20141101_20141130.json,NSE corporate actions API,RIGHTS 5:8 @ PREMIUM RS.101/- PER EQUITY SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,5.0,8.0,,,1,False,False,UNCHANGED,,NSE_EF0E9934D1DE,UNIQUE_SYMBOL_HISTORY,True,CA_a8061f58213143cd9a86,2014-11-18,RIGHTS,RESOLVED_RIGHTS_ENTITLEMENT,0.0,1.0,0.7692307692307693,NOT_APPLICABLE,2014-11-18,THEORETICAL_EX_RIGHTS_VALUE_FROM_CUM_RIGHTS_PREVIOUS_CLOSE,True,False,LOCAL_NSE_CA_API:corporate_actions_20141101_20141130.json,2014-11-18,NSE_EF0E9934D1DE,RIGHTS,Issue price is event face value plus the premium stated in the official NSE corporate-action record. The passive holder injects no subscription cash. The entitlement is credited at its ex-date theoretical value from terms known by then; no later RE price or immediate-sale proceeds are used.,RIGHTS_ENTITLEMENT,PASSIVE_HOLDER_DOES_NOT_SUBSCRIBE;ENTITLEMENT_VALUED_BY_NSE_TERP_METHOD,False,False,0.625,103.0,105.0,101.75,FRL,INE623B01027,EQ,,False,,,CA_a8061f58213143cd9a86_T1
CANFINHOME,Can Fin Homes Limited,EQ,2.0,Rights 3:10 @ Premium Rs 440/- Per Share,2015-01-23,2015-01-27,,,,,corporate_actions_20150101_20150131.json,NSE corporate actions API,RIGHTS 3:10 @ PREMIUM RS 440/- PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,3.0,10.0,,,1,False,False,UNCHANGED,,NSE_499FFD70F55B,ACTIVE_DATE_MATCH,True,CA_4b61a8f1ec5212bed358,2015-01-23,RIGHTS,RESOLVED_RIGHTS_ENTITLEMENT,0.0,1.0,58.49999999999999,NOT_APPLICABLE,2015-01-23,THEORETICAL_EX_RIGHTS_VALUE_FROM_CUM_RIGHTS_PREVIOUS_CLOSE,True,False,LOCAL_NSE_CA_API:corporate_actions_20150101_20150131.json,2015-01-23,NSE_499FFD70F55B,RIGHTS,Issue price is event face value plus the premium stated in the official NSE corporate-action record. The passive holder injects no subscription cash. The entitlement is credited at its ex-date theoretical value from terms known by then; no later RE price or immediate-sale proceeds are used.,RIGHTS_ENTITLEMENT,PASSIVE_HOLDER_DOES_NOT_SUBSCRIBE;ENTITLEMENT_VALUED_BY_NSE_TERP_METHOD,False,False,0.3,442.0,695.5,626.6,CANFINHOME,INE477A01012,EQ,,False,,,CA_4b61a8f1ec5212bed358_T1
SBT,State Bank of Travancore,EQ,10.0,Rights 1:5 @ Premium Rs 390/- Per Share,2015-03-03,2015-03-04,,,,,corporate_actions_20150301_20150331.json,NSE corporate actions API,RIGHTS 1:5 @ PREMIUM RS 390/- PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,1.0,5.0,,,1,False,False,UNCHANGED,,NSE_633BD53DAEC1,ACTIVE_DATE_MATCH,True,CA_a719b1c2c7638a55485a,2015-03-03,RIGHTS,RESOLVED_RIGHTS_ENTITLEMENT,0.0,1.0,27.483333333333334,NOT_APPLICABLE,2015-03-03,THEORETICAL_EX_RIGHTS_VALUE_FROM_CUM_RIGHTS_PREVIOUS_CLOSE,True,False,LOCAL_NSE_CA_API:corporate_actions_20150301_20150331.json,2015-03-03,NSE_633BD53DAEC1,RIGHTS,Issue price is event face value plus the premium stated in the official NSE corporate-action record. The passive holder injects no subscription cash. The entitlement is credited at its ex-date theoretical value from terms known by then; no later RE price or immediate-sale proceeds are used.,RIGHTS_ENTITLEMENT,PASSIVE_HOLDER_DOES_NOT_SUBSCRIBE;ENTITLEMENT_VALUED_BY_NSE_TERP_METHOD,False,False,0.2,400.0,564.9,519.5,SBT,INE654A01024,EQ,,False,,,CA_a719b1c2c7638a55485a_T1
TECHM,Tech Mahindra Limited,EQ,5.0,Bonus 1:1 / Face Value Split - From Rs 10/- Per Share To Rs 5/- Per Share,2015-03-19,2015-03-20,,,,,corporate_actions_20150301_20150331.json,NSE corporate actions API,BONUS 1:1 / FACE VALUE SPLIT - FROM RS 10/- PER SHARE TO RS 5/- PER SHARE,False,True,True,False,False,False,False,False,False,False,False,SPLIT,,1.0,1.0,10.0,5.0,2,True,True,UNCHANGED,,NSE_469BDD916F8C,ACTIVE_DATE_MATCH,True,CA_0a7b530ca380e938ad3a,2015-03-19,SPLIT,RESOLVED_COMBINED,0.0,4.0,0.0,NOT_APPLICABLE,2015-03-19,DIRECT_OFFICIAL_EVENT_TERMS,True,False,LOCAL_NSE_CA_API:corporate_actions_20150301_20150331.json,2015-03-19,NSE_469BDD916F8C,SPLIT,All ordinary cash and resulting-share components are composed on the same ex-date.,COMBINED_ORDINARY_EQUITY_EVENT,,False,False,,,,,,,,,False,,,CA_0a7b530ca380e938ad3a_T1
NTPC,NTPC Limited,EQ,10.0,Scheme Of Arrangement - Bonus Debentures 1:1,2015-03-20,2015-03-23,,,,,corporate_actions_20150301_20150331.json,NSE corporate actions API,SCHEME OF ARRANGEMENT - BONUS DEBENTURES 1:1,False,False,False,False,False,True,False,False,False,False,False,DEBENTURE_ENTITLEMENT,,1.0,1.0,,,1,False,True,RECLASSIFIED,A debenture entitlement is not an ordinary-equity bonus.,NSE_4FB8019524D0,ACTIVE_DATE_MATCH,True,CA_df82d8fc43ad7e21c2a8,2015-03-20,DEBENTURE_ENTITLEMENT,UNRESOLVED_STRUCTURAL_EVENT,,1.0,,NOT_APPLICABLE,,BLOCKED_POINT_IN_TIME_CONTRACTUAL_TERMS_INCOMPLETE,True,True,LOCAL_NSE_CA_API:corporate_actions_20150301_20150331.json;BSE_NTPC_COUPON_ANNOUNCEMENT_2015_03_20;NTPC_BONUS_DEBENTURE_TRANSCRIPT;NTPC_PIB_RELEASE_2015_03_26;NSE_NTPC_LISTING_2015_03_27;FIMMDA_VALUATION_CIRCULAR_2012,2015-03-20,NSE_4FB8019524D0,DEBENTURE_ENTITLEMENT,"The official BSE archive timestamps public disclosure of the 8.49% coupon at 19:47:23 on 2015-03-20, after the equity market close used for the ex-date return. The coupon was therefore not a knowable input to that closing valuation. Contractual cash flows cannot be constructed point in time; no yield or value is selected.",MANDATORY_BONUS_DEBENTURE_ENTITLEMENT,,False,False,,,,,,,,,False,,,CA_df82d8fc43ad7e21c2a8_T1
INFY,Infosys Limited,EQ,5.0,Annual General Meeting/ Dividend - Rs 29.50/- Per Share And Bonus 1:1,2015-06-15,,2015-06-17,2015-06-17,,,corporate_actions_20150601_20150630.json,NSE corporate actions API,ANNUAL GENERAL MEETING/ DIVIDEND - RS 29.50/- PER SHARE AND BONUS 1:1,True,True,False,False,False,False,False,False,True,False,False,BONUS,29.5,1.0,1.0,,,2,True,True,UNCHANGED,,NSE_6A68B38036FB,ACTIVE_DATE_MATCH,True,CA_8d03d64d2fc413d30b7a,2015-06-15,BONUS,RESOLVED_COMBINED,29.5,2.0,0.0,GROSS_DECLARED_CASH_PER_PRE_EVENT_SHARE,2015-06-15,DIRECT_OFFICIAL_EVENT_TERMS,True,False,LOCAL_NSE_CA_API:corporate_actions_20150601_20150630.json,2015-06-15,NSE_6A68B38036FB,BONUS,All ordinary cash and resulting-share components are composed on the same ex-date.,COMBINED_ORDINARY_EQUITY_EVENT,,False,False,,,,,,,,,False,,,CA_8d03d64d2fc413d30b7a_T1
MOTHERSON,Samvardhana Motherson International Limited,EQ,1.0,Annual General Meeting / Dividend - Rs 3/- Per Share / Bonus - 1:2,2015-07-23,,2015-07-25,2015-07-25,,,corporate_actions_20150701_20150731.json,NSE corporate actions API,ANNUAL GENERAL MEETING / DIVIDEND - RS 3/- PER SHARE / BONUS - 1:2,True,True,False,False,False,False,False,False,True,False,False,BONUS,3.0,1.0,2.0,,,2,True,True,UNCHANGED,,NSE_108254EF6AA4,UNIQUE_SYMBOL_HISTORY,True,CA_e1f6a6eaef0a5226d519,2015-07-23,BONUS,RESOLVED_COMBINED,3.0,1.5,0.0,GROSS_DECLARED_CASH_PER_PRE_EVENT_SHARE,2015-07-23,DIRECT_OFFICIAL_EVENT_TERMS,True,False,LOCAL_NSE_CA_API:corporate_actions_20150701_20150731.json,2015-07-23,NSE_108254EF6AA4,BONUS,All ordinary cash and resulting-share components are composed on the same ex-date.,COMBINED_ORDINARY_EQUITY_EVENT,,False,False,,,,,,,,,False,,,CA_e1f6a6eaef0a5226d519_T1
