metric,value
starting_in_universe_treatment_dependent_events,149
resolved_numeric_events,58
resolved_no_direct_holder_adjustment_events,87
remaining_genuinely_unresolved_events,4
events_blocking_total_return,4
distinct_parent_event_ids_with_exactly_one_treatment,149
blocking_event_count,4
duplicated_parent_event_id_count,0
duplicated_treatment_event_id_count,0
missing_event_id_count,0
orphan_treatment_count,0
parent_class_BONUS,8
parent_class_BUYBACK,86
parent_class_DEBENTURE_ENTITLEMENT,4
parent_class_DIVIDEND,7
parent_class_RIGHTS,39
parent_class_SPLIT,5
treatment_status_RESOLVED_COMBINED,16
treatment_status_RESOLVED_DIVIDEND,5
treatment_status_RESOLVED_NO_DIRECT_HOLDER_ADJUSTMENT,87
treatment_status_RESOLVED_RIGHTS_ENTITLEMENT,37
treatment_status_UNRESOLVED_STRUCTURAL_EVENT,4
protected_non_target_treatment_rows,145
protected_non_target_rows_changed,0
accepted_non_target_rows_sha256,cf35ac4481c82d3da7dcfca58e01e605d747b1dfd44aaf320d974dfc2602721d
bonus_debenture_target_events,4
bonus_debenture_target_tranches,6
bonus_debenture_resolved_events,0
bonus_debenture_blocking_events,4
bonus_debenture_yield_candidates,0
bonus_debenture_price_observations,0
post_cutoff_price_or_return_observations_accessed,0
corporate_action_gate_passes,False
