symbol,company,series,face_value,purpose,ex_date,record_date,book_closure_start,book_closure_end,payment_date,remarks,source_file,source,purpose_normalized,is_dividend,is_bonus,is_split,is_consolidation,is_rights,is_structural,is_buyback,is_capital_reduction,is_meeting,is_interest,is_redemption,primary_class,dividend_amount,ratio_a,ratio_b,old_face_value_parsed,new_face_value_parsed,economic_event_count,multiple_event_types,needs_manual_review,repair_status,repair_reason,security_id_x,identity_match_method,is_nifty500_member_on_ex_date,event_id,effective_date_x,parent_event_class_x,treatment_status,cash_per_pre_event_share,share_multiplier,entitlement_value_per_pre_event_share,cash_unit_basis,valuation_date,valuation_method,is_mandatory,blocks_total_return,evidence_source,effective_date_y,security_id_y,parent_event_class_y,treatment_notes,event_mechanism,assumption_code,assumption_requires_approval,no_direct_adjustment_component,rights_new_shares_per_old_share,rights_subscription_price,previous_close,ex_date_close,market_symbol,market_isin,market_series,rights_entitlement_symbol,rights_entitlement_observed,rights_entitlement_first_seen,rights_entitlement_last_seen,treatment_row_id
NCC,NCC Limited,EQ,2.0,Rights 7 : 6 @ Premium Rs 18/- Per Share,2014-09-18,2014-09-19,,,,,corporate_actions_20140901_20140930.json,NSE corporate actions API,RIGHTS 7 : 6 @ PREMIUM RS 18/- PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,7.0,6.0,,,1,False,False,UNCHANGED,,NSE_AC850CBABC55,ACTIVE_DATE_MATCH,True,CA_ff8f4df10d1842e13215,2014-09-18,RIGHTS,RESOLVED_RIGHTS_ENTITLEMENT,0.0,1.0,27.757692307692306,NOT_APPLICABLE,2014-09-18,THEORETICAL_EX_RIGHTS_VALUE_FROM_CUM_RIGHTS_PREVIOUS_CLOSE,True,False,LOCAL_NSE_CA_API:corporate_actions_20140901_20140930.json,2014-09-18,NSE_AC850CBABC55,RIGHTS,Issue price is event face value plus the premium stated in the official NSE corporate-action record. The passive holder injects no subscription cash. The entitlement is credited at its ex-date theoretical value from terms known by then; no later RE price or immediate-sale proceeds are used.,RIGHTS_ENTITLEMENT,PASSIVE_HOLDER_DOES_NOT_SUBSCRIBE;ENTITLEMENT_VALUED_BY_NSE_TERP_METHOD,False,False,1.1666666666666667,20.0,71.55,46.9,NCC,INE868B01028,EQ,,False,,,CA_ff8f4df10d1842e13215_T1
FEL,Future Enterprises Limited,EQ,2.0,Rights 5:8 @ Premium Rs.101/- Per Equity Share,2014-11-18,2014-11-19,,,,,corporate_actions_20141101_20141130.json,NSE corporate actions API,RIGHTS 5:8 @ PREMIUM RS.101/- PER EQUITY SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,5.0,8.0,,,1,False,False,UNCHANGED,,NSE_EF0E9934D1DE,UNIQUE_SYMBOL_HISTORY,True,CA_a8061f58213143cd9a86,2014-11-18,RIGHTS,RESOLVED_RIGHTS_ENTITLEMENT,0.0,1.0,0.7692307692307693,NOT_APPLICABLE,2014-11-18,THEORETICAL_EX_RIGHTS_VALUE_FROM_CUM_RIGHTS_PREVIOUS_CLOSE,True,False,LOCAL_NSE_CA_API:corporate_actions_20141101_20141130.json,2014-11-18,NSE_EF0E9934D1DE,RIGHTS,Issue price is event face value plus the premium stated in the official NSE corporate-action record. The passive holder injects no subscription cash. The entitlement is credited at its ex-date theoretical value from terms known by then; no later RE price or immediate-sale proceeds are used.,RIGHTS_ENTITLEMENT,PASSIVE_HOLDER_DOES_NOT_SUBSCRIBE;ENTITLEMENT_VALUED_BY_NSE_TERP_METHOD,False,False,0.625,103.0,105.0,101.75,FRL,INE623B01027,EQ,,False,,,CA_a8061f58213143cd9a86_T1
CANFINHOME,Can Fin Homes Limited,EQ,2.0,Rights 3:10 @ Premium Rs 440/- Per Share,2015-01-23,2015-01-27,,,,,corporate_actions_20150101_20150131.json,NSE corporate actions API,RIGHTS 3:10 @ PREMIUM RS 440/- PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,3.0,10.0,,,1,False,False,UNCHANGED,,NSE_499FFD70F55B,ACTIVE_DATE_MATCH,True,CA_4b61a8f1ec5212bed358,2015-01-23,RIGHTS,RESOLVED_RIGHTS_ENTITLEMENT,0.0,1.0,58.49999999999999,NOT_APPLICABLE,2015-01-23,THEORETICAL_EX_RIGHTS_VALUE_FROM_CUM_RIGHTS_PREVIOUS_CLOSE,True,False,LOCAL_NSE_CA_API:corporate_actions_20150101_20150131.json,2015-01-23,NSE_499FFD70F55B,RIGHTS,Issue price is event face value plus the premium stated in the official NSE corporate-action record. The passive holder injects no subscription cash. The entitlement is credited at its ex-date theoretical value from terms known by then; no later RE price or immediate-sale proceeds are used.,RIGHTS_ENTITLEMENT,PASSIVE_HOLDER_DOES_NOT_SUBSCRIBE;ENTITLEMENT_VALUED_BY_NSE_TERP_METHOD,False,False,0.3,442.0,695.5,626.6,CANFINHOME,INE477A01012,EQ,,False,,,CA_4b61a8f1ec5212bed358_T1
SBT,State Bank of Travancore,EQ,10.0,Rights 1:5 @ Premium Rs 390/- Per Share,2015-03-03,2015-03-04,,,,,corporate_actions_20150301_20150331.json,NSE corporate actions API,RIGHTS 1:5 @ PREMIUM RS 390/- PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,1.0,5.0,,,1,False,False,UNCHANGED,,NSE_633BD53DAEC1,ACTIVE_DATE_MATCH,True,CA_a719b1c2c7638a55485a,2015-03-03,RIGHTS,RESOLVED_RIGHTS_ENTITLEMENT,0.0,1.0,27.483333333333334,NOT_APPLICABLE,2015-03-03,THEORETICAL_EX_RIGHTS_VALUE_FROM_CUM_RIGHTS_PREVIOUS_CLOSE,True,False,LOCAL_NSE_CA_API:corporate_actions_20150301_20150331.json,2015-03-03,NSE_633BD53DAEC1,RIGHTS,Issue price is event face value plus the premium stated in the official NSE corporate-action record. The passive holder injects no subscription cash. The entitlement is credited at its ex-date theoretical value from terms known by then; no later RE price or immediate-sale proceeds are used.,RIGHTS_ENTITLEMENT,PASSIVE_HOLDER_DOES_NOT_SUBSCRIBE;ENTITLEMENT_VALUED_BY_NSE_TERP_METHOD,False,False,0.2,400.0,564.9,519.5,SBT,INE654A01024,EQ,,False,,,CA_a719b1c2c7638a55485a_T1
IL&FSTRANS,IL&FS Transportation Networks Limited,EQ,10.0,Rights 1:3 @ Premium Rs.80/- Per Share,2015-10-07,2015-10-08,,,,,corporate_actions_20151001_20151031.json,NSE corporate actions API,RIGHTS 1:3 @ PREMIUM RS.80/- PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,1.0,3.0,,,1,False,False,UNCHANGED,,NSE_938AB0376CFC,ACTIVE_DATE_MATCH,True,CA_5e0c29fa08e0f9710340,2015-10-07,RIGHTS,RESOLVED_RIGHTS_ENTITLEMENT,0.0,1.0,2.4875000000000007,NOT_APPLICABLE,2015-10-07,THEORETICAL_EX_RIGHTS_VALUE_FROM_CUM_RIGHTS_PREVIOUS_CLOSE,True,False,LOCAL_NSE_CA_API:corporate_actions_20151001_20151031.json,2015-10-07,NSE_938AB0376CFC,RIGHTS,Issue price is event face value plus the premium stated in the official NSE corporate-action record. The passive holder injects no subscription cash. The entitlement is credited at its ex-date theoretical value from terms known by then; no later RE price or immediate-sale proceeds are used.,RIGHTS_ENTITLEMENT,PASSIVE_HOLDER_DOES_NOT_SUBSCRIBE;ENTITLEMENT_VALUED_BY_NSE_TERP_METHOD,False,False,0.3333333333333333,90.0,99.95,96.65,IL&FSTRANS,INE975G01012,EQ,,False,,,CA_5e0c29fa08e0f9710340_T1
SPARC,Sun Pharma Advanced Research Company Limited,EQ,1.0,Rights 5: 116 At Premium Rs 244/- Per Share,2016-03-16,2016-03-17,,,,,corporate_actions_20160301_20160331.json,NSE corporate actions API,RIGHTS 5: 116 AT PREMIUM RS 244/- PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,5.0,116.0,,,1,False,False,UNCHANGED,,NSE_2BB23E58EEE2,ACTIVE_DATE_MATCH,True,CA_74d6bb8939426d20fbdd,2016-03-16,RIGHTS,RESOLVED_RIGHTS_ENTITLEMENT,0.0,1.0,1.9793388429752057,NOT_APPLICABLE,2016-03-16,THEORETICAL_EX_RIGHTS_VALUE_FROM_CUM_RIGHTS_PREVIOUS_CLOSE,True,False,LOCAL_NSE_CA_API:corporate_actions_20160301_20160331.json,2016-03-16,NSE_2BB23E58EEE2,RIGHTS,Issue price is event face value plus the premium stated in the official NSE corporate-action record. The passive holder injects no subscription cash. The entitlement is credited at its ex-date theoretical value from terms known by then; no later RE price or immediate-sale proceeds are used.,RIGHTS_ENTITLEMENT,PASSIVE_HOLDER_DOES_NOT_SUBSCRIBE;ENTITLEMENT_VALUED_BY_NSE_TERP_METHOD,False,False,0.04310344827586207,245.0,292.9,290.7,SPARC,INE232I01014,EQ,,False,,,CA_74d6bb8939426d20fbdd_T1
SINTEX,Sintex Industries Limited,EQ,1.0,Dividend - Re 0.70/- Per Share/ Right 26:151,2016-08-08,2016-08-09,,,,,corporate_actions_20160801_20160831.json,NSE corporate actions API,DIVIDEND - RE 0.70/- PER SHARE/ RIGHT 26:151,True,False,False,False,True,False,False,False,False,False,False,RIGHTS,0.7,26.0,151.0,,,2,True,True,UNCHANGED,,NSE_7F1FE9599769,ACTIVE_DATE_MATCH,True,CA_1a7d62891f49bdca2944,2016-08-08,RIGHTS,RESOLVED_COMBINED,0.7,1.0,1.1751412429378532,GROSS_DECLARED_CASH_PER_PRE_EVENT_SHARE,2016-08-08,THEORETICAL_EX_RIGHTS_VALUE_FROM_CUM_RIGHTS_PREVIOUS_CLOSE,True,False,LOCAL_NSE_CA_API:corporate_actions_20160801_20160831.json;SINTEX_AR_2016_17,2016-08-08,NSE_7F1FE9599769,RIGHTS,Official report supplies the missing Rs 65 issue price; the same event also pays Rs 0.70 gross cash per old share. The passive holder injects no subscription cash. The entitlement is credited at its ex-date theoretical value from terms known by then; no later RE price or immediate-sale proceeds are used.,ORDINARY_DIVIDEND_PLUS_RIGHTS_ENTITLEMENT,PASSIVE_HOLDER_DOES_NOT_SUBSCRIBE;ENTITLEMENT_VALUED_BY_NSE_TERP_METHOD,False,False,0.17218543046357615,65.0,73.7,74.15,SINTEX,INE429C01035,EQ,,False,,,CA_1a7d62891f49bdca2944_T1
KTKBANK,The Karnataka Bank Limited,EQ,10.0,Rights 1:2 @ Premium Rs 60/- Per Share,2016-10-24,2016-10-25,,,,,corporate_actions_20161001_20161031.json,NSE corporate actions API,RIGHTS 1:2 @ PREMIUM RS 60/- PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,1.0,2.0,,,1,False,False,UNCHANGED,,NSE_833D2F2B9358,ACTIVE_DATE_MATCH,True,CA_bedba18aee89b2756dbe,2016-10-24,RIGHTS,RESOLVED_RIGHTS_ENTITLEMENT,0.0,1.0,29.26666666666667,NOT_APPLICABLE,2016-10-24,THEORETICAL_EX_RIGHTS_VALUE_FROM_CUM_RIGHTS_PREVIOUS_CLOSE,True,False,LOCAL_NSE_CA_API:corporate_actions_20161001_20161031.json,2016-10-24,NSE_833D2F2B9358,RIGHTS,Issue price is event face value plus the premium stated in the official NSE corporate-action record. The passive holder injects no subscription cash. The entitlement is credited at its ex-date theoretical value from terms known by then; no later RE price or immediate-sale proceeds are used.,RIGHTS_ENTITLEMENT,PASSIVE_HOLDER_DOES_NOT_SUBSCRIBE;ENTITLEMENT_VALUED_BY_NSE_TERP_METHOD,False,False,0.5,70.0,157.8,128.3,KTKBANK,INE614B01018,EQ,,False,,,CA_bedba18aee89b2756dbe_T1
SOUTHBANK,The South Indian Bank Limited,EQ,1.0,Rights 1:3 @ Premium Rs 13/- Per Share,2017-02-16,2017-02-17,,,,,corporate_actions_20170201_20170228.json,NSE corporate actions API,RIGHTS 1:3 @ PREMIUM RS 13/- PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,1.0,3.0,,,1,False,False,UNCHANGED,,NSE_A80DD1EFE223,ACTIVE_DATE_MATCH,True,CA_97f5b484a263823acb84,2017-02-16,RIGHTS,RESOLVED_RIGHTS_ENTITLEMENT,0.0,1.0,2.1375,NOT_APPLICABLE,2017-02-16,THEORETICAL_EX_RIGHTS_VALUE_FROM_CUM_RIGHTS_PREVIOUS_CLOSE,True,False,LOCAL_NSE_CA_API:corporate_actions_20170201_20170228.json,2017-02-16,NSE_A80DD1EFE223,RIGHTS,Issue price is event face value plus the premium stated in the official NSE corporate-action record. The passive holder injects no subscription cash. The entitlement is credited at its ex-date theoretical value from terms known by then; no later RE price or immediate-sale proceeds are used.,RIGHTS_ENTITLEMENT,PASSIVE_HOLDER_DOES_NOT_SUBSCRIBE;ENTITLEMENT_VALUED_BY_NSE_TERP_METHOD,False,False,0.3333333333333333,14.0,22.55,19.9,SOUTHBANK,INE683A01023,EQ,,False,,,CA_97f5b484a263823acb84_T1
CANBK,Canara Bank,EQ,2.0,Rights 1:10 @ Prem Rs 197/- Per Share,2017-02-17,2017-02-20,,,,,corporate_actions_20170201_20170228.json,NSE corporate actions API,RIGHTS 1:10 @ PREM RS 197/- PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,1.0,10.0,,,1,False,False,UNCHANGED,,NSE_A08F17915A97,ACTIVE_DATE_MATCH,True,CA_fc467634d750957e7fdc,2017-02-17,RIGHTS,RESOLVED_RIGHTS_ENTITLEMENT,0.0,1.0,8.822727272727274,NOT_APPLICABLE,2017-02-17,THEORETICAL_EX_RIGHTS_VALUE_FROM_CUM_RIGHTS_PREVIOUS_CLOSE,True,False,LOCAL_NSE_CA_API:corporate_actions_20170201_20170228.json,2017-02-17,NSE_A08F17915A97,RIGHTS,Issue price is event face value plus the premium stated in the official NSE corporate-action record. The passive holder injects no subscription cash. The entitlement is credited at its ex-date theoretical value from terms known by then; no later RE price or immediate-sale proceeds are used.,RIGHTS_ENTITLEMENT,PASSIVE_HOLDER_DOES_NOT_SUBSCRIBE;ENTITLEMENT_VALUED_BY_NSE_TERP_METHOD,False,False,0.1,199.0,296.05,291.9,CANBK,INE476A01014,EQ,,False,,,CA_fc467634d750957e7fdc_T1
