strategy,accounting_view,start_nav,end_nav,total_return,cagr,annualised_volatility,sharpe_0pct_cash,max_drawdown,drawdown_start_date,drawdown_trough_date,drawdown_recovery_date
MOM,zero_friction_reference,10000000.0,30366149.407615498,2.0366149407615497,0.14899495064618007,0.21766855446459382,0.7592234694749281,-0.3951668842870192,2020-02-20,2020-03-23,2020-09-03
MOM,matched_executable_before_tax,10000000.0,21827606.767466273,1.1827606767466272,0.10252742700519168,0.19647527253024605,0.6046966821974876,-0.3658054029812581,2018-01-11,2020-03-23,2020-09-14
MOM,executable_after_tax,10000000.0,19721080.071638945,0.9721080071638946,0.08862474271933651,0.20304359594810706,0.5281280768459532,-0.3831899820393342,2018-01-11,2020-03-23,2020-09-15
VM,zero_friction_reference,10000000.0,17406368.723336175,0.7406368723336174,0.07176163057058349,0.13703026142741287,0.5836169405472558,-0.32984510557311664,2020-02-20,2020-03-23,2021-03-02
VM,matched_executable_before_tax,10000000.0,15949709.849558005,0.5949709849558005,0.06011322961484167,0.13851280929362478,0.49864676321755574,-0.33580218300462683,2020-02-20,2020-03-23,2021-02-16
VM,executable_after_tax,10000000.0,14830213.830782963,0.48302138307829634,0.05051029099041737,0.1423169460533411,0.4241079809462475,-0.3441506189790875,2020-02-20,2020-03-23,2021-02-16
FIX,zero_friction_reference,10000000.0,20373569.553284984,1.0373569553284985,0.0930645844906981,0.1304952178500608,0.7592234694749274,-0.2561885743110133,2020-02-20,2020-03-23,2020-08-24
FIX,matched_executable_before_tax,10000000.0,18461097.807858035,0.8461097807858036,0.07967464080231723,0.13091736161883682,0.6614296891642575,-0.26146105910087125,2018-01-11,2020-03-23,2020-09-03
FIX,executable_after_tax,10000000.0,16939838.373482753,0.6939838373482752,0.06812693268032866,0.1350023429006988,0.5644603423848824,-0.2699633896353718,2018-01-11,2020-03-23,2020-09-14
FIXVOL,zero_friction_reference,10000000.0,21037247.19318171,1.103724719318171,0.09745470890742602,0.13703026142741284,0.7592234694749287,-0.26744010450577294,2020-02-20,2020-03-23,2020-08-24
FIXVOL,matched_executable_before_tax,10000000.0,18935497.525536686,0.8935497525536686,0.08310545662935853,0.13749325332093215,0.6597627422978676,-0.2739398481439713,2018-01-11,2020-03-23,2020-09-14
FIXVOL,executable_after_tax,10000000.0,17321595.746632706,0.7321595746632705,0.07110756036808463,0.1419433384692594,0.5636808956727872,-0.2831354214445947,2018-01-11,2020-03-23,2020-09-14
