date,strategy,after_tax_nav,after_tax_daily_return,tax_liability,tax_paid_before_close,daily_fees_and_impact,realised_equity_exposure,nav_status,matched_before_tax_nav,matched_cost_tax_reversed_nav,after_tax_return,matched_before_tax_return,matched_cost_tax_reversed_return,zero_friction_reference_nav,zero_friction_reference_return
2015-04-01,MOM,10208575.805290634,0.02085758052906339,0.0,0.0,28237.69470936847,0.9366948761887325,PRE_RIGHT_AUDITED,10208575.805290634,10236813.500000002,0.02085758052906339,0.02085758052906339,0.023681350000000156,10263832.781590512,0.02638327815905117
2015-04-06,MOM,10431948.978005078,0.021880933929949276,0.0,-0.0,1760.677285555976,0.9842672324844458,PRE_RIGHT_AUDITED,10431948.978005078,10461947.350000001,0.021880933929949276,0.021880933929949276,0.021992571223457436,10487830.323042927,0.021823966369969083
2015-04-07,MOM,10515834.44435235,0.008041207498631131,9074.176511324467,-0.0,1438.1071414025707,0.9453245201419905,PRE_RIGHT_AUDITED,10524908.620863674,10556345.100000001,0.008041207498631131,0.008911052292778221,0.009022961676441676,10586879.29993476,0.009444181860399636
2015-04-08,MOM,10673232.694221685,0.014967737529746783,12051.203049909387,-0.0,416.7235920785246,0.9384812209165869,PRE_RIGHT_AUDITED,10685283.897271594,10717137.1,0.014967737529746783,0.015237688248428638,0.015231786994155616,10765526.838256083,0.016874428550670784
2015-04-09,MOM,10698191.473893767,0.002338446128471894,18267.424936620246,-0.0,656.4484412097726,0.9274510251767556,PRE_RIGHT_AUDITED,10716458.898830388,10748968.550000003,0.002338446128471894,0.002917564180653587,0.0029701448906540584,10797731.484808762,0.0029914603378478066
2015-04-10,MOM,10742135.323893765,0.004107596139705683,18267.424936620246,-0.0,0.0,0.9277478080016933,PRE_RIGHT_AUDITED,10760402.748830386,10792912.4,0.004107596139705683,0.004100594274176972,0.004088192257293066,10844902.314981874,0.004368587072152819
2015-04-13,MOM,10721554.123893766,-0.0019159319240952266,18267.424936620246,-0.0,0.0,0.9276091119883382,PRE_RIGHT_AUDITED,10739821.548830386,10772331.200000001,-0.0019159319240952266,-0.001912679337419454,-0.0019069180993259716,10819573.75003004,-0.0023355272566026875
2015-04-15,MOM,10636658.573893765,-0.007918213070510438,18267.424936620246,-0.0,0.0,0.9270313305158913,PRE_RIGHT_AUDITED,10654925.998830386,10687435.65,-0.007918213070510438,-0.007904744935845476,-0.00788088932876485,10726787.099123098,-0.008575813895319473
2015-04-16,MOM,10486740.523893764,-0.014094468573801366,18267.424936620246,-0.0,0.0,0.9259881731482396,PRE_RIGHT_AUDITED,10505007.948830385,10537517.6,-0.014094468573801366,-0.014070304196993733,-0.014027504343382957,10564575.839522632,-0.0151220731894387
2015-04-17,MOM,10341823.623893766,-0.013819060333361888,18267.424936620246,-0.0,0.0,0.9249510674209755,PRE_RIGHT_AUDITED,10360091.048830386,10392600.700000001,-0.013819060333361888,-0.013795030018623922,-0.013752470505956627,10399598.267434064,-0.015616109401323741
