strategy,accounting_view,peak_date,trough_date,max_drawdown,recovery_date,vm_target_at_peak,vm_target_at_trough,vm_minimum_target_peak_to_trough,vm_below_full_at_peak,vm_target_reduced_by_trough
MOM,executable_after_tax,2018-01-11,2020-03-23,-0.3831899820393342,2020-09-15,0.6510432843918857,0.7929499870320708,0.5267650135091444,True,True
MOM,executable_after_tax,2015-08-05,2016-02-29,-0.28077927507274814,2017-04-25,0.5544325615714025,0.4654195742474453,0.4497093789639977,True,True
MOM,executable_after_tax,2022-01-17,2022-06-20,-0.28033498233330445,,0.5813369976177751,0.43411226687272975,0.43411226687272975,True,True
MOM,executable_after_tax,2015-04-10,2015-06-12,-0.12864229085530943,2015-07-16,0.5851184491496191,0.5475345197581487,0.5475345197581487,True,True
MOM,executable_after_tax,2021-10-18,2021-10-25,-0.07957446834893878,2021-12-09,0.6178011943256552,0.6178011943256552,0.6178011943256552,True,False
VM,executable_after_tax,2020-02-20,2020-03-23,-0.3441506189790875,2021-02-16,0.8581430741119546,0.7929499870320708,0.7929499870320708,True,True
VM,executable_after_tax,2018-01-11,2019-08-05,-0.20628725063574027,2020-02-12,0.6510432843918857,0.9143115948336621,0.5267650135091444,True,True
VM,executable_after_tax,2022-01-17,2023-03-28,-0.19051857103677616,,0.5813369976177751,0.6170928267933113,0.41949288457463824,True,True
VM,executable_after_tax,2015-08-05,2016-11-21,-0.16833307295752387,2017-04-24,0.5544325615714025,0.7710418565270404,0.4497093789639977,True,True
VM,executable_after_tax,2015-04-10,2015-06-12,-0.08029692019944823,2015-07-17,0.5851184491496191,0.5475345197581487,0.5475345197581487,True,True
FIX,executable_after_tax,2018-01-11,2020-03-23,-0.2699633896353718,2020-09-14,0.6510432843918857,0.7929499870320708,0.5267650135091444,True,True
FIX,executable_after_tax,2022-04-11,2022-06-20,-0.19433706261183636,,0.4681773298241215,0.43411226687272975,0.43411226687272975,True,True
FIX,executable_after_tax,2015-08-05,2016-02-29,-0.1867432580390328,2017-04-05,0.5544325615714025,0.4654195742474453,0.4497093789639977,True,True
FIX,executable_after_tax,2022-01-17,2022-02-24,-0.12283001785668313,2022-04-06,0.5813369976177751,0.5499000027576477,0.5499000027576477,True,True
FIX,executable_after_tax,2015-04-10,2015-06-12,-0.0850314737336264,2015-07-17,0.5851184491496191,0.5475345197581487,0.5475345197581487,True,True
FIXVOL,executable_after_tax,2018-01-11,2020-03-23,-0.2831354214445947,2020-09-14,0.6510432843918857,0.7929499870320708,0.5267650135091444,True,True
FIXVOL,executable_after_tax,2022-04-11,2022-06-20,-0.20312496268168645,,0.4681773298241215,0.43411226687272975,0.43411226687272975,True,True
FIXVOL,executable_after_tax,2015-08-05,2016-02-29,-0.19533326999652822,2017-04-05,0.5544325615714025,0.4654195742474453,0.4497093789639977,True,True
FIXVOL,executable_after_tax,2022-01-17,2022-02-24,-0.12852178531282232,2022-04-06,0.5813369976177751,0.5499000027576477,0.5499000027576477,True,True
FIXVOL,executable_after_tax,2015-04-10,2015-06-12,-0.08902903007058982,2015-07-17,0.5851184491496191,0.5475345197581487,0.5475345197581487,True,True
