source,path,development_rows,development_rows_sha256,maximum_value_date
MOM_nav_daily,results/accounts_development/frozen_corporate_action_scenario/MOM_nav_daily.parquet,1982,93c82c3a847e2748ef6d56b1bbbef93d462f56254aad9f736d9eb959cdfbfe33,2023-03-31
MOM_fills,results/accounts_development/frozen_corporate_action_scenario/MOM_fills.parquet,15346,d253237379de971d02466e01db3db8c8ae4fcde4492647a61d1653d63aedfa07,2023-03-08
MOM_positions,results/accounts_development/frozen_corporate_action_scenario/MOM_positions.parquet,117608,4ea3159b07232365ad1f5def169d480e282149987813251fa3e4dcfe24eba0fa,2023-03-31
MOM_cash_events,results/accounts_development/frozen_corporate_action_scenario/MOM_cash_events.parquet,20881,fe5460be8db52351eea88197c366ae08c48391eed0a5b9f086db50f9d9fbbfb0,2023-03-24
VM_nav_daily,results/accounts_development/frozen_corporate_action_scenario/VM_nav_daily.parquet,1982,340d0c37593bc029cf4b87ed156afc6c24774f69eb71adf58b60b292fcd1b083,2023-03-31
VM_fills,results/accounts_development/frozen_corporate_action_scenario/VM_fills.parquet,20834,acf90a8971768007ed79ae9415b4d4196a07fba2d72d2bfa3a0616a2a1211463,2023-03-08
VM_positions,results/accounts_development/frozen_corporate_action_scenario/VM_positions.parquet,117928,819dba85bab992e5805a03f541a4e2b69e749258b312ea3db85bc0cf2ba9cfbd,2023-03-31
VM_cash_events,results/accounts_development/frozen_corporate_action_scenario/VM_cash_events.parquet,31353,585e75fb22a1cf6518785c56c556c4d84ca5e90f99b63d146b0e087c0790a109,2023-03-24
FIX_nav_daily,results/controls_development/FIX/FIX_nav_daily.parquet,1982,3d7d95a2c0f569639d4508497b4da5e4498f7d54f59f4cbe469f4226f66ec139,2023-03-31
FIX_fills,results/controls_development/FIX/FIX_fills.parquet,21662,3321018d1b20e16e88791aeecaf73196917395d64e6fe8630d5d3f312ad9ab3e,2023-03-08
FIX_positions,results/controls_development/FIX/FIX_positions.parquet,117943,07c2f875ec440227c5f34b013b39f4c96030da0e63a5d206f77018c2b130498a,2023-03-31
FIX_cash_events,results/controls_development/FIX/FIX_cash_events.parquet,32720,7ee30042717e1b2fc0527bb872816487246f616324b9aa258e387e4fdde75e0e,2023-03-24
FIXVOL_nav_daily,results/controls_development/FIXVOL/FIXVOL_nav_daily.parquet,1982,b82084c4c5a50c277e6c48160a1a882ac89498b648ccbeb1997723da9b2c1bd8,2023-03-31
FIXVOL_fills,results/controls_development/FIXVOL/FIXVOL_fills.parquet,21715,c57ee42a834694ffdbd7494d72778f709a6bfa2101d761e1385eba4056442aeb,2023-03-08
FIXVOL_positions,results/controls_development/FIXVOL/FIXVOL_positions.parquet,117946,7783be587330bb1e66b207043af262f077ebbc08c618d0009b3e37258f9fba1d,2023-03-31
FIXVOL_cash_events,results/controls_development/FIXVOL/FIXVOL_cash_events.parquet,32790,8833c7547ff6385190c637cc8e761da9c912f23020f602f8013d8b27e11418b7,2023-03-24
calendar,data/processed/nse_trading_calendar_2013_2026.parquet,1982,0f4f881fe68f97d60f5ff879a30ea81289b1f6758360d21390a50e7efa6b167b,2023-03-31
tri,data/processed/nifty500_tri_2013_2026.parquet,1983,4dac61d5ca689d0b095481926a8a4cd65f4bd83ed84eaef4f1f049c6d88c9ee7,2023-03-31
mom_shadow,data/processed/primary_modelling_shadow_daily_returns.parquet,1982,17364727ca225e3e6dcf0163f916fd7d894379193b3dc67f343e07220088a90b,2023-03-31
vm_overlay,data/processed/volatility_overlay_development.parquet,96,d5de530442ad575fda0c46ce927954654e6035f1f8c170a12d0850399574929f,2023-02-28
vm_gross_reference,results/controls_development/vm_gross_reference_daily_returns.parquet,1982,ab4f6bf8421e700f9ebdf3d457f4acd141ddba876cfea034ec2c7acfe73171ce,2023-03-31
FIX_definition,results/controls_development/FIX/control_definition.json,1,b82606eb6fa640bfc6f0e1da89d02f6ab9bd1a76eb483d2dac313525e039fd1d,2023-03-31
FIXVOL_definition,results/controls_development/FIXVOL/control_definition.json,1,fca783c34b1ab80aab96421c666c6d53fa3a2cbba8cbc5baef4636e539063d06,2023-03-31
