strategy,nav_status,days
FIX,PASSIVE_LAPSE_SCENARIO,785
FIX,PASSIVE_LAPSE_UNPRICED_RIGHT_EXCLUDED,16
FIX,PRE_RIGHT_AUDITED,709
FIX,UNPRICED_FRACTIONAL_SPLIT_CLAIM_EXCLUDED,472
FIXVOL,PASSIVE_LAPSE_SCENARIO,785
FIXVOL,PASSIVE_LAPSE_UNPRICED_RIGHT_EXCLUDED,16
FIXVOL,PRE_RIGHT_AUDITED,709
FIXVOL,UNPRICED_FRACTIONAL_SPLIT_CLAIM_EXCLUDED,472
MOM,PASSIVE_LAPSE_SCENARIO,1257
MOM,PASSIVE_LAPSE_UNPRICED_RIGHT_EXCLUDED,16
MOM,PRE_RIGHT_AUDITED,709
VM,PASSIVE_LAPSE_SCENARIO,785
VM,PASSIVE_LAPSE_UNPRICED_RIGHT_EXCLUDED,16
VM,PRE_RIGHT_AUDITED,709
VM,UNPRICED_FRACTIONAL_SPLIT_CLAIM_EXCLUDED,472
