date,tri,tri_wealth_from_development_anchor
2015-04-01,10003.76,10117582.806573957
2015-04-06,10098.11,10213006.321112515
2015-04-07,10123.12,10238300.884955755
2015-04-08,10192.92,10308895.069532238
2015-04-09,10250.21,10366836.915297091
2015-04-10,10267.3,10384121.365360303
2015-04-13,10324.17,10441638.432364097
2015-04-15,10236.29,10352758.533501897
2015-04-16,10178.49,10294300.884955753
2015-04-17,10051.66,10166027.812895069
2015-04-20,9859.19,9971367.88874842
2015-04-21,9788.32,9899691.52970923
2015-04-22,9830.83,9942685.208596714
2015-04-23,9808.78,9920384.323640961
2015-04-24,9673.3,9783362.831858408
2015-04-27,9527.82,9636227.56005057
2015-04-28,9628.12,9737668.773704173
2015-04-29,9609.77,9719109.987357775
2015-04-30,9564.36,9673183.312262958
2015-05-04,9739.69,9850508.217446271
2015-05-05,9747.19,9858093.552465234
2015-05-06,9467.63,9575352.71807838
2015-05-07,9376.91,9483600.505689
2015-05-08,9538.39,9646917.825537294
2015-05-11,9694.5,9804804.04551201
2015-05-12,9482.52,9590412.13653603
2015-05-13,9611.51,9720869.785082174
2015-05-14,9634.7,9744323.640960809
2015-05-15,9677.61,9787721.871049305
2015-05-18,9796.46,9907924.14664981
2015-05-19,9794.77,9906214.917825537
2015-05-20,9844.0,9956005.056890013
2015-05-21,9836.48,9948399.494311
2015-05-22,9872.96,9985294.563843235
2015-05-25,9797.42,9908895.069532238
2015-05-26,9768.32,9879463.96965866
2015-05-27,9760.52,9871575.221238937
2015-05-28,9737.99,9848788.874841971
2015-05-29,9868.59,9980874.841972187
2015-06-01,9865.83,9978083.438685209
2015-06-02,9641.75,9751453.855878634
2015-06-03,9511.22,9619438.685208596
2015-06-04,9517.88,9626174.462705435
2015-06-05,9514.13,9622381.795195952
2015-06-08,9415.63,9522761.0619469
2015-06-09,9389.5,9496333.754740834
2015-06-10,9500.81,9608910.240202276
2015-06-11,9326.67,9432788.874841971
2015-06-12,9339.39,9445653.603034133
2015-06-15,9377.28,9483974.715549937
2015-06-16,9415.24,9522366.624525916
2015-06-17,9491.86,9599858.407079646
2015-06-18,9586.33,9695403.286978507
2015-06-19,9641.75,9751453.855878634
2015-06-22,9790.85,9902250.316055626
2015-06-23,9823.28,9935049.304677622
2015-06-24,9788.6,9899974.715549937
2015-06-25,9831.17,9943029.077117573
2015-06-26,9818.83,9930548.672566371
2015-06-29,9726.78,9837451.327433629
2015-06-30,9802.54,9914073.324905185
2015-07-01,9909.29,10022037.926675096
2015-07-02,9927.84,10040798.988621997
2015-07-03,9957.17,10070462.705436157
2015-07-06,10013.85,10127787.610619469
2015-07-07,10024.95,10139013.906447535
