event_id,evidence_role,source_url,title,organization,publication_or_event_date,retrieved_at_utc,extracted_fact,local_evidence_file,sha256
CA_bc661c41f226f8cadf0f,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-05-2019&to_date=31-05-2019,NSE corporate-action source record,NSE,2019-05-30,2026-09-14T16:49:52.788787+00:00,SCHEME OF ARRANGEMENT,data\raw\corporate_actions\corporate_actions_20190501_20190531.json,2d7ea9a82a1ee0c556b6be755e9fa9bd0496bd24fc4abde204e2773797dc332f
CA_bc661c41f226f8cadf0f,SUPPLEMENTAL_PRIMARY_RESEARCH,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/IM_IIFLSecurities.pdf,IIFL Securities information memorandum,NSE,2019,2026-09-16T22:22:22.432813+00:00,IIFL shareholders receive Securities and Wealth shares under demerger,,
CA_181cf68ab7289959453f,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-06-2018&to_date=30-06-2018,NSE corporate-action source record,NSE,2018-06-27,2026-09-14T16:49:42.898057+00:00,BONUS 1:1/ DIVIDEND- RS 5 PER SHARE,data\raw\corporate_actions\corporate_actions_20180601_20180630.json,a73d0e361e3620d431a77c27a3d43c2665fe3248225d69452843ecbc43ea95d4
CA_181cf68ab7289959453f,SUPPLEMENTAL_PRIMARY_RESEARCH,https://www.newindia.co.in/assets/docs/aboutus/annual-reports/Bilingual%20AR%202018-19.pdf,Annual Report 2018-19,The New India Assurance Company Limited,2019,2026-09-16T22:22:22.432813+00:00,One bonus equity share per existing equity share and Rs 5 final dividend on the existing share,,
CA_253391c466422f1c9423,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-09-2017&to_date=30-09-2017,NSE corporate-action source record,NSE,2017-09-05,2026-09-14T16:49:36.128035+00:00,SCHEME OF ARRANGEMENT,data\raw\corporate_actions\corporate_actions_20170901_20170930.json,6fd6d4a3b838e7972e4bbeffcd52f073b446fbcc2581b15cc5bc1f32f3aeb0b1
CA_253391c466422f1c9423,SUPPLEMENTAL_PRIMARY_RESEARCH,https://nsearchives.nseindia.com/corporate/RHFL_23082021191740_SE_intimation_AR_Notice.pdf,Reliance Home Finance annual filing,NSE,2021,2026-09-16T22:22:22.432813+00:00,Reliance Capital shareholders received one Reliance Home Finance share per share,,
CA_78c8a95e2472b7c4caa7,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-10-2018&to_date=31-10-2018,NSE corporate-action source record,NSE,2018-10-30,2026-09-14T16:49:46.072808+00:00,COMPOSITE SCHEME OF ARRANGEMENT,data\raw\corporate_actions\corporate_actions_20181001_20181031.json,171c715c41c3c1716977b5191db67ecc518bdffefff5e70e469f696c0cf1b09e
CA_78c8a95e2472b7c4caa7,SUPPLEMENTAL_PRIMARY_RESEARCH,https://www.cesc.co.in/storage/uploads/stock_exchange_intimation/NSE_PRESS_121018.pdf,CESC restructuring announcement,CESC Limited,2018-10-12,2026-09-16T22:22:22.432813+00:00,CESC scheme distributes Spencers and CESC Ventures shares,,
CA_7c4b422d9b821ca69ce7,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-07-2019&to_date=31-07-2019,NSE corporate-action source record,NSE,2019-07-03,2026-09-14T16:49:54.709304+00:00,SCHEME OF DEMERGER,data\raw\corporate_actions\corporate_actions_20190701_20190731.json,2e7d25956b6fea7d705252ca1055412459db85cd76a3f0c05248c16d31ebf377
CA_7c4b422d9b821ca69ce7,SUPPLEMENTAL_PRIMARY_RESEARCH,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/IM_AARTISURF.pdf,Aarti Surfactants information memorandum,NSE,2019,2026-09-16T22:22:22.432813+00:00,Aarti Industries demerged its surfactants business,,
