priority_group,event_id,security_id,symbol,event_date,event_type,previous_status,final_status,treatment,evidence_sources_checked,affected_scored_formations_before,affected_warmup_formations_before,affected_formations_after,changed_eligibility,changed_k,changed_own_winner_membership,missing_evidence
SCORED_WINNER_UNCERTAINTY,CA_bc661c41f226f8cadf0f,NSE_F96D3907BEE7,IIFL,2019-05-30,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-05-2019&to_date=31-05-2019;https://nsearchives.nseindia.com/corporates/offerdocument/scheme/IM_IIFLSecurities.pdf,8,0,8,False,False,False,Contemporaneous ex-date value for distributed unlisted shares
SCORED_WINNER_UNCERTAINTY,CA_253391c466422f1c9423,NSE_2B12B6998928,RELCAPITAL,2017-09-05,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-09-2017&to_date=30-09-2017;https://nsearchives.nseindia.com/corporate/RHFL_23082021191740_SE_intimation_AR_Notice.pdf,7,0,7,False,False,False,Contemporaneous ex-date value for then-unlisted RHFL
SCORED_WINNER_UNCERTAINTY,CA_78c8a95e2472b7c4caa7,NSE_9FB7052822E7,CESC,2018-10-30,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-10-2018&to_date=31-10-2018;https://www.cesc.co.in/storage/uploads/stock_exchange_intimation/NSE_PRESS_121018.pdf,7,0,7,False,False,False,Contemporaneous ex-date values for new distributed shares
SCORED_WINNER_UNCERTAINTY,CA_7c4b422d9b821ca69ce7,NSE_81E1BA306A07,AARTIIND,2019-07-03,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-07-2019&to_date=31-07-2019;https://nsearchives.nseindia.com/corporates/offerdocument/scheme/IM_AARTISURF.pdf,7,0,7,False,False,False,Contemporaneous ex-date value for unlisted Aarti Surfactants
SCORED_WINNER_UNCERTAINTY,CA_a547b59a77462e2625dd,NSE_F10717A1FD65,COX&KINGS,2018-10-25,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-10-2018&to_date=31-10-2018;https://nsearchives.nseindia.com/corporate/CKFSL_29052019202546_BMOutcomeNew_157.pdf,7,0,7,False,False,False,Contemporaneous ex-date value for distributed unlisted share
SCORED_WINNER_UNCERTAINTY,CA_df384ef3fc428b287dca,NSE_72AFBEE07E5D,STAR,2018-04-06,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-04-2018&to_date=30-04-2018;https://nsearchives.nseindia.com/corporates/offerdocument/scheme/SEQUENT_08082017_100512__1_.pdf,7,0,7,False,True,False,Contemporaneous ex-date value for new Solara share
SCORED_WINNER_UNCERTAINTY,CA_73d0e9f8b8e4a8fdb881,NSE_DCA00C31EBFD,BALKRISIND,2015-03-24,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-03-2015&to_date=31-03-2015;https://nsearchives.nseindia.com/corporates/offerdocument/scheme/scheme_NIRVIKARA_IM.pdf,6,0,6,False,False,False,Contemporaneous ex-date value for unlisted Nirvikara shares
SCORED_WINNER_UNCERTAINTY,CA_93e91333c57773c4c322,NSE_FE37750EBD83,ABB,2019-12-20,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-12-2019&to_date=31-12-2019;https://nsearchives.nseindia.com/corporates/offerdocument/scheme/IM_POWERINDIA.pdf,6,0,6,False,False,False,Contemporaneous ex-date value for new power-grid company shares
SCORED_WINNER_UNCERTAINTY,CA_d4350a4891573655ee29,NSE_F96D3907BEE7,IIFL,2017-10-17,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-10-2017&to_date=31-10-2017;https://www.bseindia.com/downloads/SPDJ_ANN/MediaReleasePDF/597349_mediarelease-changestos%26pbseindices-20171011.pdf,6,0,6,False,False,False,Contemporaneous ex-date value for then-unlisted 5Paisa
SCORED_WINNER_UNCERTAINTY,CA_d68d9be194519be0bb03,NSE_812A4A064978,CGPOWER,2016-03-15,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-03-2016&to_date=31-03-2016;https://nsearchives.nseindia.com/corporates/offerdocument/scheme/CGCEL_Information_Memorandum.pdf,6,0,6,False,True,False,Contemporaneous ex-date value for new consumer company shares
