symbol,company,series,face_value,purpose,ex_date,record_date,book_closure_start,book_closure_end,payment_date,remarks,source_file,source,purpose_normalized,is_dividend,is_bonus,is_split,is_consolidation,is_rights,is_structural,is_buyback,is_capital_reduction,is_meeting,is_interest,is_redemption,primary_class,dividend_amount,ratio_a,ratio_b,old_face_value_parsed,new_face_value_parsed,economic_event_count,multiple_event_types,needs_manual_review,repair_status,repair_reason
ASHOKA,Ashoka Buildcon Limited,EQ,5.0,Bonus 1:2 And Face Value Split Rs.10/- To Rs.5/-,2013-07-03,2013-07-04,,,,,corporate_actions_20130701_20130731.json,NSE corporate actions API,BONUS 1:2 AND FACE VALUE SPLIT RS.10/- TO RS.5/-,False,True,True,False,False,False,False,False,False,False,False,SPLIT,,1.0,2.0,10.0,5.0,2,True,True,REPARSED,Parsed dotted face values when the phrase omits the word 'from'.
ZEEL,Zee Entertainment Enterprises Limited,EQ,1.0,Bonus Preference Shares 21:1,2014-03-03,2014-03-04,,,,,corporate_actions_20140301_20140331.json,NSE corporate actions API,BONUS PREFERENCE SHARES 21:1,False,False,False,False,False,True,False,False,False,False,False,PREFERENCE_SHARE_BONUS,,21.0,1.0,,,1,False,True,RECLASSIFIED,Preference-share entitlement is not an ordinary-equity bonus.
JBMA,JBM Auto Limited,EQ,1.0,Bonus 1:1 And Face Value Split Rs.10/- To Rs.5/- Per Share,2014-10-08,2014-10-09,,,,,corporate_actions_20141001_20141031.json,NSE corporate actions API,BONUS 1:1 AND FACE VALUE SPLIT RS.10/- TO RS.5/- PER SHARE,False,True,True,False,False,False,False,False,False,False,False,SPLIT,,1.0,1.0,10.0,5.0,2,True,True,REPARSED,Parsed dotted face values when the phrase omits the word 'from'.
BLUEDART,Blue Dart Express Limited,EQ,10.0,Scheme Of Arrangement - Issue Of Bonus Debentures,2014-11-17,2014-11-18,,,,,corporate_actions_20141101_20141130.json,NSE corporate actions API,SCHEME OF ARRANGEMENT - ISSUE OF BONUS DEBENTURES,False,False,False,False,False,True,False,False,False,False,False,DEBENTURE_ENTITLEMENT,,,,,,1,False,True,RECLASSIFIED,A debenture entitlement is not an ordinary-equity bonus.
SBIN,State Bank of India,EQ,1.0,Face Value Split Rs.10/- To Re.1/- Per Share,2014-11-20,2014-11-21,,,,,corporate_actions_20141101_20141130.json,NSE corporate actions API,FACE VALUE SPLIT RS.10/- TO RE.1/- PER SHARE,False,False,True,False,False,False,False,False,False,False,False,SPLIT,,,,10.0,1.0,1,False,False,REPARSED,Parsed dotted face values when the phrase omits the word 'from'.
NTPC,NTPC Limited,EQ,10.0,Scheme Of Arrangement - Bonus Debentures 1:1,2015-03-20,2015-03-23,,,,,corporate_actions_20150301_20150331.json,NSE corporate actions API,SCHEME OF ARRANGEMENT - BONUS DEBENTURES 1:1,False,False,False,False,False,True,False,False,False,False,False,DEBENTURE_ENTITLEMENT,,1.0,1.0,,,1,False,True,RECLASSIFIED,A debenture entitlement is not an ordinary-equity bonus.
BRITANNIA,Britannia Industries Limited,EQ,1.0,Scheme Of Arangement- Bonus - 1 Debenture For 1 Equity Share Held,2019-08-22,2019-08-23,,,,,corporate_actions_20190801_20190831.json,NSE corporate actions API,SCHEME OF ARANGEMENT- BONUS - 1 DEBENTURE FOR 1 EQUITY SHARE HELD,False,False,False,False,False,True,False,False,False,False,False,DEBENTURE_ENTITLEMENT,,,,,,1,False,True,RECLASSIFIED,A debenture entitlement is not an ordinary-equity bonus.
GENESYS,Genesys International Corporation Limited,EQ,5.0,Annual General Meeting/Dividend - Rs.0125 Per Share,2019-09-18,,2019-09-20,2019-09-26,,,corporate_actions_20190901_20190930.json,NSE corporate actions API,ANNUAL GENERAL MEETING/DIVIDEND - RS.0125 PER SHARE,True,False,False,False,False,False,False,False,True,False,False,DIVIDEND,0.125,,,,,1,False,False,REPARSED,Preserved the decimal point in compact Rs.0xxx notation.
JKTYRE,JK Tyre & Industries Limited,EQ,2.0,Dividend - Rs 0 .70 Per Share,2020-09-14,,2020-09-16,2020-09-22,,,corporate_actions_20200901_20200930.json,NSE corporate actions API,DIVIDEND - RS 0 .70 PER SHARE,True,False,False,False,False,False,False,False,False,False,False,DIVIDEND,0.7,,,,,1,False,False,REPARSED,Normalized whitespace inside a decimal dividend amount.
BRITANNIA,Britannia Industries Limited,EQ,1.0,Scheme Of Arangement- Bonus - 1 Debenture For 1 Equity Share Held,2021-05-25,2021-05-27,,,,,corporate_actions_20210501_20210531.json,NSE corporate actions API,SCHEME OF ARANGEMENT- BONUS - 1 DEBENTURE FOR 1 EQUITY SHARE HELD,False,False,False,False,False,True,False,False,False,False,False,DEBENTURE_ENTITLEMENT,,,,,,1,False,True,RECLASSIFIED,A debenture entitlement is not an ordinary-equity bonus.
