symbol,company,series,face_value,purpose,ex_date,record_date,book_closure_start,book_closure_end,payment_date,remarks,source_file,source,purpose_normalized,is_dividend,is_bonus,is_split,is_consolidation,is_rights,is_structural,is_buyback,is_capital_reduction,is_meeting,is_interest,is_redemption,primary_class,dividend_amount,ratio_a,ratio_b,old_face_value_parsed,new_face_value_parsed,economic_event_count,multiple_event_types,needs_manual_review,repair_status,repair_reason,security_id,identity_match_method,is_nifty500_member_on_ex_date
TATASTLBSL,Tata Steel Bsl Limited,EQ,2.0,Right Issue 1:15 @ Premium Of Rs 333 Per Share,2013-01-15,2013-01-16,,,,,corporate_actions_20130101_20130131.json,NSE corporate actions API,RIGHT ISSUE 1:15 @ PREMIUM OF RS 333 PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,1.0,15.0,,,1,False,False,UNCHANGED,,NSE_8212B1829EDC,UNIQUE_SYMBOL_HISTORY,False
BAJFINANCE,Bajaj Finance Limited,EQ,1.0,Rights 3:19 @ Premium Rs 1090 Per Share,2013-01-23,2013-01-25,,,,,corporate_actions_20130101_20130131.json,NSE corporate actions API,RIGHTS 3:19 @ PREMIUM RS 1090 PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,3.0,19.0,,,1,False,False,UNCHANGED,,NSE_509E811DE5D8,ACTIVE_DATE_MATCH,False
20MICRONS,20 Microns Limited,EQ,5.0,Face Value Split Rs 10 To Rs 5,2013-01-28,2013-01-29,,,,,corporate_actions_20130101_20130131.json,NSE corporate actions API,FACE VALUE SPLIT RS 10 TO RS 5,False,False,True,False,False,False,False,False,False,False,False,SPLIT,,,,,,1,False,True,UNCHANGED,,NSE_23626880CE03,ACTIVE_DATE_MATCH,False
SANDESH,The Sandesh Limited,EQ,10.0,Buyback- Tender Offer,2013-01-31,2013-02-01,,,,,corporate_actions_20130101_20130131.json,NSE corporate actions API,BUYBACK- TENDER OFFER,False,False,False,False,False,False,True,False,False,False,False,BUYBACK,,,,,,1,False,False,UNCHANGED,,NSE_BE55CCA75701,ACTIVE_DATE_MATCH,False
ALOKTEXT,Alok Industries Limited,EQ,10.0,Rights - 2:3@ Par Rs 10 Per Share,2013-02-15,2013-02-19,,,,,corporate_actions_20130201_20130228.json,NSE corporate actions API,RIGHTS - 2:3@ PAR RS 10 PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,2.0,3.0,,,1,False,False,UNCHANGED,,NSE_F9F670EF6794,ACTIVE_DATE_MATCH,False
M&MFIN,Mahindra & Mahindra Financial Services Limited,EQ,2.0,Face Value Split Rs 10 To Rs 2,2013-02-15,2013-02-18,,,,,corporate_actions_20130201_20130228.json,NSE corporate actions API,FACE VALUE SPLIT RS 10 TO RS 2,False,False,True,False,False,False,False,False,False,False,False,SPLIT,,,,,,1,False,True,UNCHANGED,,NSE_57BCD151AF77,ACTIVE_DATE_MATCH,False
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,EQ,10.0,Rights 1:5 @ Premium Rs.120 Per Share,2013-03-05,2013-03-06,,,,,corporate_actions_20130301_20130331.json,NSE corporate actions API,RIGHTS 1:5 @ PREMIUM RS.120 PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,1.0,5.0,,,1,False,False,UNCHANGED,,,NO_OBSERVED_SYMBOL,False
ORIENTPPR,Orient Paper & Industries Limited,EQ,1.0,Scheme Of Arrangement,2013-03-07,2013-03-09,,,,,corporate_actions_20130301_20130331.json,NSE corporate actions API,SCHEME OF ARRANGEMENT,False,False,False,False,False,True,False,False,False,False,False,STRUCTURAL,,,,,,1,False,True,UNCHANGED,,NSE_D264BCACFEAD,ACTIVE_DATE_MATCH,False
STAN,Standard Chartered PLC,DR,,Dividend,2013-03-14,2013-03-15,,,,,corporate_actions_20130301_20130331.json,NSE corporate actions API,DIVIDEND,True,False,False,False,False,False,False,False,False,False,False,DIVIDEND,,,,,,1,False,True,UNCHANGED,,,NO_OBSERVED_SYMBOL,False
PARRYSUGAR,Parrys Sugar Industries Limited,EQ,10.0,Scheme Of Arrangement,2013-03-21,2013-03-22,,,,,corporate_actions_20130301_20130331.json,NSE corporate actions API,SCHEME OF ARRANGEMENT,False,False,False,False,False,True,False,False,False,False,False,STRUCTURAL,,,,,,1,False,True,UNCHANGED,,NSE_994D498FBB34,ACTIVE_DATE_MATCH,False
RASOYPR,Rasoya Proteins Limited,EQ,1.0,Bonus 2:1 / Face Value Split From Rs. 5/- To Re. 1/-,2013-03-21,2013-03-22,,,,,corporate_actions_20130301_20130331.json,NSE corporate actions API,BONUS 2:1 / FACE VALUE SPLIT FROM RS. 5/- TO RE. 1/-,False,True,True,False,False,False,False,False,False,False,False,SPLIT,,2.0,1.0,5.0,1.0,2,True,True,UNCHANGED,,NSE_7110B3E95EA1,ACTIVE_DATE_MATCH,False
WIPRO,Wipro Limited,EQ,2.0,Scheme Of Arrangement,2013-04-09,2013-04-11,,,,,corporate_actions_20130401_20130430.json,NSE corporate actions API,SCHEME OF ARRANGEMENT,False,False,False,False,False,True,False,False,False,False,False,STRUCTURAL,,,,,,1,False,True,UNCHANGED,,NSE_060294DF8B9D,ACTIVE_DATE_MATCH,False
FEL,Future Enterprises Limited,EQ,2.0,Scheme Of Arrangement,2013-04-17,2013-04-18,,,,,corporate_actions_20130401_20130430.json,NSE corporate actions API,SCHEME OF ARRANGEMENT,False,False,False,False,False,True,False,False,False,False,False,STRUCTURAL,,,,,,1,False,True,UNCHANGED,,NSE_EF0E9934D1DE,UNIQUE_SYMBOL_HISTORY,False
FELDVR,Future Enterprises Limited,EQ,2.0,Scheme Of Arrangement,2013-04-17,2013-04-18,,,,,corporate_actions_20130401_20130430.json,NSE corporate actions API,SCHEME OF ARRANGEMENT,False,False,False,False,False,True,False,False,False,False,False,STRUCTURAL,,,,,,1,False,True,UNCHANGED,,NSE_FEB436988103,UNIQUE_SYMBOL_HISTORY,False
KESORAMIND,Kesoram Industries Limited,EQ,10.0,Rights 7:5@Premium Rs.55 Per Share/Annual General Meeting / Dividend Re.1/- Per Equity Share (Purpose Revised),2013-05-15,2013-05-16,,,,,corporate_actions_20130501_20130531.json,NSE corporate actions API,RIGHTS 7:5@PREMIUM RS.55 PER SHARE/ANNUAL GENERAL MEETING / DIVIDEND RE.1/- PER EQUITY SHARE (PURPOSE REVISED),True,False,False,False,True,False,False,False,True,False,False,RIGHTS,55.0,7.0,5.0,,,2,True,True,UNCHANGED,,NSE_4723627B4BA6,ACTIVE_DATE_MATCH,False
FEL,Future Enterprises Limited,EQ,2.0,Scheme Of Arrangement,2013-06-21,2013-06-24,,,,,corporate_actions_20130601_20130630.json,NSE corporate actions API,SCHEME OF ARRANGEMENT,False,False,False,False,False,True,False,False,False,False,False,STRUCTURAL,,,,,,1,False,True,UNCHANGED,,NSE_EF0E9934D1DE,UNIQUE_SYMBOL_HISTORY,False
FELDVR,Future Enterprises Limited,EQ,2.0,Scheme Of Arrangement,2013-06-21,2013-06-24,,,,,corporate_actions_20130601_20130630.json,NSE corporate actions API,SCHEME OF ARRANGEMENT,False,False,False,False,False,True,False,False,False,False,False,STRUCTURAL,,,,,,1,False,True,UNCHANGED,,NSE_FEB436988103,UNIQUE_SYMBOL_HISTORY,False
EMAMILTD,Emami Limited,EQ,1.0,Bonus 1:2 And Dividend Rs.8/- Per Share,2013-06-26,2013-06-27,,,,,corporate_actions_20130601_20130630.json,NSE corporate actions API,BONUS 1:2 AND DIVIDEND RS.8/- PER SHARE,True,True,False,False,False,False,False,False,False,False,False,BONUS,8.0,1.0,2.0,,,2,True,True,UNCHANGED,,NSE_AF3172BFD228,ACTIVE_DATE_MATCH,False
ASHOKA,Ashoka Buildcon Limited,EQ,5.0,Bonus 1:2 And Face Value Split Rs.10/- To Rs.5/-,2013-07-03,2013-07-04,,,,,corporate_actions_20130701_20130731.json,NSE corporate actions API,BONUS 1:2 AND FACE VALUE SPLIT RS.10/- TO RS.5/-,False,True,True,False,False,False,False,False,False,False,False,SPLIT,,1.0,2.0,10.0,5.0,2,True,True,REPARSED,Parsed dotted face values when the phrase omits the word 'from'.,NSE_7271BD099C26,ACTIVE_DATE_MATCH,False
SHILPAMED,Shilpa Medicare Limited,EQ,1.0,Annual General Meeting / Dividend - Rs 1.30/- Per Share / Bonus 1:2,2013-07-16,,2013-07-18,2013-07-19,,,corporate_actions_20130701_20130731.json,NSE corporate actions API,ANNUAL GENERAL MEETING / DIVIDEND - RS 1.30/- PER SHARE / BONUS 1:2,True,True,False,False,False,False,False,False,True,False,False,BONUS,1.3,1.0,2.0,,,2,True,True,UNCHANGED,,NSE_66EF9E74F5E3,ACTIVE_DATE_MATCH,False
JINDALPOLY,Jindal Poly Films Limited,EQ,10.0,Scheme Of Demerger,2013-07-17,2013-07-18,,,,,corporate_actions_20130701_20130731.json,NSE corporate actions API,SCHEME OF DEMERGER,False,False,False,False,False,True,False,False,False,False,False,STRUCTURAL,,,,,,1,False,True,UNCHANGED,,NSE_3E5680388E4E,ACTIVE_DATE_MATCH,False
CENTURYPLY,Century Plyboards (India) Limited,EQ,1.0,Scheme Of Arrangement,2013-07-18,2013-07-19,,,,,corporate_actions_20130701_20130731.json,NSE corporate actions API,SCHEME OF ARRANGEMENT,False,False,False,False,False,True,False,False,False,False,False,STRUCTURAL,,,,,,1,False,True,UNCHANGED,,NSE_0C54BB903E03,ACTIVE_DATE_MATCH,False
RELMEDIA,Reliance MediaWorks Limited,EQ,5.0,Rights 13:4 @ Premium Rs.35 Per Share,2013-07-23,2013-07-24,,,,,corporate_actions_20130701_20130731.json,NSE corporate actions API,RIGHTS 13:4 @ PREMIUM RS.35 PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,13.0,4.0,,,1,False,False,UNCHANGED,,NSE_C86EC9F51A86,ACTIVE_DATE_MATCH,False
ASAHIINDIA,Asahi India Glass Limited,EQ,1.0,Rights 13:25 @ Premium Rs 29/- Per Share,2013-07-26,,2013-07-30,2013-07-30,,,corporate_actions_20130701_20130731.json,NSE corporate actions API,RIGHTS 13:25 @ PREMIUM RS 29/- PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,13.0,25.0,,,1,False,False,UNCHANGED,,NSE_502982CDBAAD,ACTIVE_DATE_MATCH,False
ASIANPAINT,Asian Paints Limited,EQ,1.0,Face Value Split Rs 10 To Re 1,2013-07-30,2013-07-31,,,,,corporate_actions_20130701_20130731.json,NSE corporate actions API,FACE VALUE SPLIT RS 10 TO RE 1,False,False,True,False,False,False,False,False,False,False,False,SPLIT,,,,,,1,False,True,UNCHANGED,,NSE_18632E719904,ACTIVE_DATE_MATCH,False
KOKUYOCMLN,Kokuyo Camlin Limited,EQ,1.0,Rights 14:29 @ Premium Rs.32/- Per Share,2013-08-01,2013-08-02,,,,,corporate_actions_20130801_20130831.json,NSE corporate actions API,RIGHTS 14:29 @ PREMIUM RS.32/- PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,14.0,29.0,,,1,False,False,UNCHANGED,,NSE_8C2153D5AAED,ACTIVE_DATE_MATCH,False
STAN,Standard Chartered PLC,DR,,Interim Dividend,2013-08-14,2013-08-16,,,,,corporate_actions_20130801_20130831.json,NSE corporate actions API,INTERIM DIVIDEND,True,False,False,False,False,False,False,False,False,False,False,DIVIDEND,,,,,,1,False,True,UNCHANGED,,,NO_OBSERVED_SYMBOL,False
CCL,CCL Products (India) Limited,EQ,2.0,Bonus 1:1 And Face Value Split From Rs.10/- To Rs.2/-,2013-08-19,2013-08-20,,,,,corporate_actions_20130801_20130831.json,NSE corporate actions API,BONUS 1:1 AND FACE VALUE SPLIT FROM RS.10/- TO RS.2/-,False,True,True,False,False,False,False,False,False,False,False,SPLIT,,1.0,1.0,10.0,2.0,2,True,True,UNCHANGED,,NSE_4CD9919938EF,ACTIVE_DATE_MATCH,False
GODREJPROP,Godrej Properties Limited,EQ,5.0,Rights 8:29 @ Premium Rs.315/- Per Equity Share,2013-08-19,2013-08-20,,,,,corporate_actions_20130801_20130831.json,NSE corporate actions API,RIGHTS 8:29 @ PREMIUM RS.315/- PER EQUITY SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,8.0,29.0,,,1,False,False,UNCHANGED,,NSE_E5CCB4E0101D,ACTIVE_DATE_MATCH,False
UNIENTER,Uniphos Enterprises Limited,EQ,2.0,Rights 173:100 @ Premium Rs.15/- Per Share,2013-09-18,2013-09-19,,,,,corporate_actions_20130901_20130930.json,NSE corporate actions API,RIGHTS 173:100 @ PREMIUM RS.15/- PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,173.0,100.0,,,1,False,False,UNCHANGED,,NSE_88000CE98449,ACTIVE_DATE_MATCH,False
MARICO,Marico Limited,EQ,1.0,Scheme Of Arrangement And First Interim Dividend,2013-11-01,2013-11-05,,,,,corporate_actions_20131101_20131130.json,NSE corporate actions API,SCHEME OF ARRANGEMENT AND FIRST INTERIM DIVIDEND,True,False,False,False,False,True,False,False,False,False,False,STRUCTURAL,,,,,,2,True,True,UNCHANGED,,NSE_3FA872F937F6,ACTIVE_DATE_MATCH,False
GENUSPOWER,Genus Power Infrastructures Limited,EQ,1.0,Scheme Of Arrangement,2014-01-09,2014-01-11,,,,,corporate_actions_20140101_20140131.json,NSE corporate actions API,SCHEME OF ARRANGEMENT,False,False,False,False,False,True,False,False,False,False,False,STRUCTURAL,,,,,,1,False,True,UNCHANGED,,NSE_D58BF345F619,ACTIVE_DATE_MATCH,False
COROENGG,Coromandel Engineering Company Limited,EQ,10.0,Rights 91:10 @ Premium Rs.10/- Per Share,2014-01-13,2014-01-15,,,,,corporate_actions_20140101_20140131.json,NSE corporate actions API,RIGHTS 91:10 @ PREMIUM RS.10/- PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,91.0,10.0,,,1,False,False,UNCHANGED,,NSE_D5043E5A57F6,ACTIVE_DATE_MATCH,False
MUKANDLTD,Mukand Limited,EQ,10.0,Rights 1:1 @ Premium Rs.11/- Per Equity Share,2014-02-10,2014-02-11,,,,,corporate_actions_20140201_20140228.json,NSE corporate actions API,RIGHTS 1:1 @ PREMIUM RS.11/- PER EQUITY SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,1.0,1.0,,,1,False,False,UNCHANGED,,NSE_83C644D7456B,ACTIVE_DATE_MATCH,False
WHEELS,Wheels India Limited,EQ,10.0,Rights 51:20 @ Premium Rs.390/- Per Equity Share,2014-02-13,2014-02-14,,,,,corporate_actions_20140201_20140228.json,NSE corporate actions API,RIGHTS 51:20 @ PREMIUM RS.390/- PER EQUITY SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,51.0,20.0,,,1,False,False,UNCHANGED,,NSE_AE2862139B09,ACTIVE_DATE_MATCH,False
WELCORP,Welspun Corp Limited,EQ,5.0,Scheme Of Arrangement,2014-02-18,2014-02-20,,,,,corporate_actions_20140201_20140228.json,NSE corporate actions API,SCHEME OF ARRANGEMENT,False,False,False,False,False,True,False,False,False,False,False,STRUCTURAL,,,,,,1,False,True,UNCHANGED,,NSE_DD6A0E2BA440,ACTIVE_DATE_MATCH,False
SHARONBIO,Sharon Bio-Medicine Limited,EQ,2.0,Bonus 1:1 / Face Value Split From 10/- To Face Value 2/-,2014-02-20,2014-02-21,,,,,corporate_actions_20140201_20140228.json,NSE corporate actions API,BONUS 1:1 / FACE VALUE SPLIT FROM 10/- TO FACE VALUE 2/-,False,True,True,False,False,False,False,False,False,False,False,SPLIT,,1.0,1.0,10.0,2.0,2,True,True,UNCHANGED,,NSE_D495CF61024C,ACTIVE_DATE_MATCH,False
ZEEL,Zee Entertainment Enterprises Limited,EQ,1.0,Bonus Preference Shares 21:1,2014-03-03,2014-03-04,,,,,corporate_actions_20140301_20140331.json,NSE corporate actions API,BONUS PREFERENCE SHARES 21:1,False,False,False,False,False,True,False,False,False,False,False,PREFERENCE_SHARE_BONUS,,21.0,1.0,,,1,False,True,RECLASSIFIED,Preference-share entitlement is not an ordinary-equity bonus.,NSE_0144F0CB1BA0,ACTIVE_DATE_MATCH,False
EASUNREYRL,Easun Reyrolle Limited,EQ,2.0,Rights 12:25 @ Premium Rs.57/- Per Equity Share,2014-03-13,2014-03-17,,,,,corporate_actions_20140301_20140331.json,NSE corporate actions API,RIGHTS 12:25 @ PREMIUM RS.57/- PER EQUITY SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,12.0,25.0,,,1,False,False,UNCHANGED,,NSE_29BA27FC095C,ACTIVE_DATE_MATCH,False
IL&FSTRANS,IL&FS Transportation Networks Limited,EQ,10.0,Rights 27:100 @ Premium Rs.90/- Per Equity Share,2014-03-13,2014-03-14,,,,,corporate_actions_20140301_20140331.json,NSE corporate actions API,RIGHTS 27:100 @ PREMIUM RS.90/- PER EQUITY SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,27.0,100.0,,,1,False,False,UNCHANGED,,NSE_938AB0376CFC,ACTIVE_DATE_MATCH,False
STAN,Standard Chartered PLC,DR,,Final Dividend,2014-03-13,2014-03-14,,,,,corporate_actions_20140301_20140331.json,NSE corporate actions API,FINAL DIVIDEND,True,False,False,False,False,False,False,False,False,False,False,DIVIDEND,,,,,,1,False,True,UNCHANGED,,,NO_OBSERVED_SYMBOL,False
TATAPOWER,Tata Power Company Limited,EQ,1.0,Rights 7:50 @ Premium Rs.59/- Per Equity Share,2014-03-19,2014-03-20,,,,,corporate_actions_20140301_20140331.json,NSE corporate actions API,RIGHTS 7:50 @ PREMIUM RS.59/- PER EQUITY SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,7.0,50.0,,,1,False,False,UNCHANGED,,NSE_53A37C11E6D9,ACTIVE_DATE_MATCH,False
RAJTV,Raj Television Network Limited,EQ,5.0,Bonus 1:1 / Face Value Split From Rs.10/- To Rs.5/-,2014-03-25,2014-03-26,,,,,corporate_actions_20140301_20140331.json,NSE corporate actions API,BONUS 1:1 / FACE VALUE SPLIT FROM RS.10/- TO RS.5/-,False,True,True,False,False,False,False,False,False,False,False,SPLIT,,1.0,1.0,10.0,5.0,2,True,True,UNCHANGED,,NSE_AF1487EA4B1C,ACTIVE_DATE_MATCH,False
RAMCOSYS,Ramco Systems Limited,EQ,10.0,Rights 1:2 @ Premium Rs.145/- Per Equity Share,2014-04-22,2014-04-23,,,,,corporate_actions_20140401_20140430.json,NSE corporate actions API,RIGHTS 1:2 @ PREMIUM RS.145/- PER EQUITY SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,1.0,2.0,,,1,False,False,UNCHANGED,,NSE_D701BCB8CF79,ACTIVE_DATE_MATCH,False
GMBREW,GM Breweries Limited,EQ,10.0,Dividend Rs 2.50/- Per Share / Bonus 1 : 4,2014-05-16,,2014-05-20,2014-05-22,,,corporate_actions_20140501_20140531.json,NSE corporate actions API,DIVIDEND RS 2.50/- PER SHARE / BONUS 1 : 4,True,True,False,False,False,False,False,False,False,False,False,BONUS,2.5,1.0,4.0,,,2,True,True,UNCHANGED,,NSE_046B72FA7590,ACTIVE_DATE_MATCH,False
PGIL,Pearl Global Industries Limited,EQ,5.0,Scheme Of Arrangement,2014-05-30,2014-06-02,,,,,corporate_actions_20140501_20140531.json,NSE corporate actions API,SCHEME OF ARRANGEMENT,False,False,False,False,False,True,False,False,False,False,False,STRUCTURAL,,,,,,1,False,True,UNCHANGED,,NSE_3BD2F02D3E98,ACTIVE_DATE_MATCH,False
DEEPAKNTR,Deepak Nitrite Limited,EQ,2.0,Bonus 1 : 1 / Face Value Split From Rs 10/- Each To Rs 2/- Each,2014-06-20,2014-06-23,,,,,corporate_actions_20140601_20140630.json,NSE corporate actions API,BONUS 1 : 1 / FACE VALUE SPLIT FROM RS 10/- EACH TO RS 2/- EACH,False,True,True,False,False,False,False,False,False,False,False,SPLIT,,1.0,1.0,10.0,2.0,2,True,True,UNCHANGED,,NSE_8A358CA8F00D,ACTIVE_DATE_MATCH,False
LGBBROSLTD,LG Balakrishnan & Bros Limited,EQ,10.0,Annual General Meeting / Final Dividend - Rs 7/- Per Share / Bonus 1 : 1,2014-07-04,,2014-07-08,2014-07-09,,,corporate_actions_20140701_20140731.json,NSE corporate actions API,ANNUAL GENERAL MEETING / FINAL DIVIDEND - RS 7/- PER SHARE / BONUS 1 : 1,True,True,False,False,False,False,False,False,True,False,False,BONUS,7.0,1.0,1.0,,,2,True,True,UNCHANGED,,NSE_50647847C4A3,ACTIVE_DATE_MATCH,False
SHRENUJ,Shrenuj & Company Limited,EQ,2.0,Annual General Meeting / Dividend - Re 0.60/- Per Share / Bonus 1 : 1,2014-07-15,,2014-07-17,2014-07-17,,,corporate_actions_20140701_20140731.json,NSE corporate actions API,ANNUAL GENERAL MEETING / DIVIDEND - RE 0.60/- PER SHARE / BONUS 1 : 1,True,True,False,False,False,False,False,False,True,False,False,BONUS,0.6,1.0,1.0,,,2,True,True,UNCHANGED,,NSE_9B813D17D74B,ACTIVE_DATE_MATCH,False
LAKSHVILAS,Lakshmi Vilas Bank Limited,EQ,10.0,Dividend Re1/- Per Share + Rights Issue 5:6,2014-07-25,2014-07-28,,,,,corporate_actions_20140701_20140731.json,NSE corporate actions API,DIVIDEND RE1/- PER SHARE + RIGHTS ISSUE 5:6,True,False,False,False,True,False,False,False,False,False,False,RIGHTS,1.0,5.0,6.0,,,2,True,True,UNCHANGED,,NSE_0E88CB8DDD57,ACTIVE_DATE_MATCH,False
NEULANDLAB,Neuland Laboratories Limited,EQ,10.0,Rights Issue 4 : 25 @ Premium Rs 194/- Per Equity Share,2014-08-13,2014-08-14,,,,,corporate_actions_20140801_20140831.json,NSE corporate actions API,RIGHTS ISSUE 4 : 25 @ PREMIUM RS 194/- PER EQUITY SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,4.0,25.0,,,1,False,False,UNCHANGED,,NSE_7DC490F5BFB1,ACTIVE_DATE_MATCH,False
STAN,Standard Chartered PLC,DR,,Interim Dividend,2014-08-13,2014-08-14,,,,,corporate_actions_20140801_20140831.json,NSE corporate actions API,INTERIM DIVIDEND,True,False,False,False,False,False,False,False,False,False,False,DIVIDEND,,,,,,1,False,True,UNCHANGED,,,NO_OBSERVED_SYMBOL,False
MANINFRA,Man Infraconstruction Limited,EQ,2.0,Annual General Meeting / Dividend - Rs 1.35/- Per Share / Face Value Split - From Rs 10/- Per Share To Rs 2/- Per Share,2014-08-28,,2014-09-02,2014-09-05,,,corporate_actions_20140801_20140831.json,NSE corporate actions API,ANNUAL GENERAL MEETING / DIVIDEND - RS 1.35/- PER SHARE / FACE VALUE SPLIT - FROM RS 10/- PER SHARE TO RS 2/- PER SHARE,True,False,True,False,False,False,False,False,True,False,False,SPLIT,1.35,,,10.0,2.0,2,True,True,UNCHANGED,,NSE_79E6C5F02193,ACTIVE_DATE_MATCH,True
DVL,Dhunseri Ventures Limited,EQ,10.0,Scheme Of Arrangement,2014-09-18,2014-09-19,,,,,corporate_actions_20140901_20140930.json,NSE corporate actions API,SCHEME OF ARRANGEMENT,False,False,False,False,False,True,False,False,False,False,False,STRUCTURAL,,,,,,1,False,True,UNCHANGED,,NSE_DB8AB0AB2994,UNIQUE_SYMBOL_HISTORY,False
NCC,NCC Limited,EQ,2.0,Rights 7 : 6 @ Premium Rs 18/- Per Share,2014-09-18,2014-09-19,,,,,corporate_actions_20140901_20140930.json,NSE corporate actions API,RIGHTS 7 : 6 @ PREMIUM RS 18/- PER SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,7.0,6.0,,,1,False,False,UNCHANGED,,NSE_AC850CBABC55,ACTIVE_DATE_MATCH,True
ONIDA,Onida Electronics Limited,EQ,1.0,Rights 5:13 @Premium Rs.5,2014-09-18,,2014-09-22,2014-09-22,,,corporate_actions_20140901_20140930.json,NSE corporate actions API,RIGHTS 5:13 @PREMIUM RS.5,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,5.0,13.0,,,1,False,False,UNCHANGED,,,NO_OBSERVED_SYMBOL,False
SUDARSCHEM,Sudarshan Chemical Industries Limited,EQ,2.0,Bonus 1 : 1 / Face Value Split From Rs 10/- To Rs 2/- Per Share,2014-09-30,2014-10-01,,,,,corporate_actions_20140901_20140930.json,NSE corporate actions API,BONUS 1 : 1 / FACE VALUE SPLIT FROM RS 10/- TO RS 2/- PER SHARE,False,True,True,False,False,False,False,False,False,False,False,SPLIT,,1.0,1.0,10.0,2.0,2,True,True,UNCHANGED,,NSE_8407496D15F8,ACTIVE_DATE_MATCH,False
JBMA,JBM Auto Limited,EQ,1.0,Bonus 1:1 And Face Value Split Rs.10/- To Rs.5/- Per Share,2014-10-08,2014-10-09,,,,,corporate_actions_20141001_20141031.json,NSE corporate actions API,BONUS 1:1 AND FACE VALUE SPLIT RS.10/- TO RS.5/- PER SHARE,False,True,True,False,False,False,False,False,False,False,False,SPLIT,,1.0,1.0,10.0,5.0,2,True,True,REPARSED,Parsed dotted face values when the phrase omits the word 'from'.,NSE_1846247E74B4,ACTIVE_DATE_MATCH,False
POLARIS,POLARIS CONSULTING & SERVICES LIMITED,EQ,5.0,Scheme Of Arrangement Cum Demerger,2014-10-09,2014-10-10,,,,,corporate_actions_20141001_20141031.json,NSE corporate actions API,SCHEME OF ARRANGEMENT CUM DEMERGER,False,False,False,False,False,True,False,False,False,False,False,STRUCTURAL,,,,,,1,False,True,UNCHANGED,,NSE_A787B7252904,ACTIVE_DATE_MATCH,False
BLUEDART,Blue Dart Express Limited,EQ,10.0,Scheme Of Arrangement - Issue Of Bonus Debentures,2014-11-17,2014-11-18,,,,,corporate_actions_20141101_20141130.json,NSE corporate actions API,SCHEME OF ARRANGEMENT - ISSUE OF BONUS DEBENTURES,False,False,False,False,False,True,False,False,False,False,False,DEBENTURE_ENTITLEMENT,,,,,,1,False,True,RECLASSIFIED,A debenture entitlement is not an ordinary-equity bonus.,NSE_1789CF98709C,ACTIVE_DATE_MATCH,True
FEL,Future Enterprises Limited,EQ,2.0,Rights 5:8 @ Premium Rs.101/- Per Equity Share,2014-11-18,2014-11-19,,,,,corporate_actions_20141101_20141130.json,NSE corporate actions API,RIGHTS 5:8 @ PREMIUM RS.101/- PER EQUITY SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,5.0,8.0,,,1,False,False,UNCHANGED,,NSE_EF0E9934D1DE,UNIQUE_SYMBOL_HISTORY,True
FELDVR,Future Enterprises Limited,EQ,2.0,Rights 5:8 @ Premium Rs 48.25/- Per Equity Share,2014-11-18,2014-11-19,,,,,corporate_actions_20141101_20141130.json,NSE corporate actions API,RIGHTS 5:8 @ PREMIUM RS 48.25/- PER EQUITY SHARE,False,False,False,False,True,False,False,False,False,False,False,RIGHTS,,5.0,8.0,,,1,False,False,UNCHANGED,,NSE_FEB436988103,UNIQUE_SYMBOL_HISTORY,False
GREENPLY,Greenply Industries Limited,EQ,1.0,Scheme Of Demerger,2014-11-26,2014-11-27,,,,,corporate_actions_20141101_20141130.json,NSE corporate actions API,SCHEME OF DEMERGER,False,False,False,False,False,True,False,False,False,False,False,STRUCTURAL,,,,,,1,False,True,UNCHANGED,,NSE_E33BF28052EC,ACTIVE_DATE_MATCH,False
