series,classification,is_eligible_common_equity,security_series_groups,observations
AC,OTHER_SERIES,False,1,1
BE,RIGHTS_ENTITLEMENT,False,74,567
BE,TRADE_FOR_TRADE_EQUITY,True,1566,302490
BE,UNRESOLVED_BE_BZ,False,11,2363
BL,OTHER_SERIES,False,626,2005
BT,OTHER_SERIES,False,3,3
BZ,TRADE_FOR_TRADE_EQUITY,True,260,43607
BZ,UNRESOLVED_BE_BZ,False,1,537
D1,OTHER_SERIES,False,2,464
DR,OTHER_SERIES,False,1,1842
E1,OTHER_SERIES,False,33,3302
E2,OTHER_SERIES,False,2,149
E3,OTHER_SERIES,False,1,325
EQ,FULLY_PAID_EQUITY,True,3086,3814029
GB,OTHER_SERIES,False,65,44862
GS,OTHER_SERIES,False,103,6847
H5,OTHER_SERIES,False,1,1
H6,OTHER_SERIES,False,1,7
HA,OTHER_SERIES,False,1,1
HB,OTHER_SERIES,False,2,8
HC,OTHER_SERIES,False,1,20
HE,OTHER_SERIES,False,1,1
ID,OTHER_SERIES,False,1,3
IL,OTHER_SERIES,False,49,1032
IT,OTHER_SERIES,False,12,746
IV,OTHER_SERIES,False,8,3450
M1,OTHER_SERIES,False,1,1
MF,OTHER_SERIES,False,241,8890
N0,OTHER_SERIES,False,2,65
N1,OTHER_SERIES,False,48,16929
N2,OTHER_SERIES,False,49,25010
N3,OTHER_SERIES,False,46,15437
N4,OTHER_SERIES,False,43,19858
N5,OTHER_SERIES,False,37,16853
N6,OTHER_SERIES,False,41,25925
N7,OTHER_SERIES,False,33,9565
N8,OTHER_SERIES,False,25,13792
N9,OTHER_SERIES,False,23,10169
NB,OTHER_SERIES,False,27,6889
NC,OTHER_SERIES,False,22,6415
ND,OTHER_SERIES,False,21,6913
NE,OTHER_SERIES,False,19,9022
NF,OTHER_SERIES,False,18,5710
NG,OTHER_SERIES,False,16,3597
NH,OTHER_SERIES,False,17,4738
NI,OTHER_SERIES,False,12,3989
NJ,OTHER_SERIES,False,16,5544
NK,OTHER_SERIES,False,13,2923
NL,OTHER_SERIES,False,11,5186
NM,OTHER_SERIES,False,11,2115
NN,OTHER_SERIES,False,10,2953
NO,OTHER_SERIES,False,12,4423
NP,OTHER_SERIES,False,7,2694
NQ,OTHER_SERIES,False,8,2354
NR,OTHER_SERIES,False,7,1987
NS,OTHER_SERIES,False,8,2708
NT,OTHER_SERIES,False,7,803
NU,OTHER_SERIES,False,8,2315
NV,OTHER_SERIES,False,5,1085
NW,OTHER_SERIES,False,6,1807
NX,OTHER_SERIES,False,6,2050
NY,OTHER_SERIES,False,7,1841
NZ,OTHER_SERIES,False,4,1252
P1,OTHER_SERIES,False,6,2112
P2,OTHER_SERIES,False,3,3100
Q1,OTHER_SERIES,False,2,318
Q2,OTHER_SERIES,False,1,36
RR,OTHER_SERIES,False,3,2180
SG,OTHER_SERIES,False,35,109
SM,OTHER_SERIES,False,320,106719
SO,OTHER_SERIES,False,1,1
ST,OTHER_SERIES,False,191,2196
SZ,OTHER_SERIES,False,13,253
TB,OTHER_SERIES,False,127,1127
W1,OTHER_SERIES,False,3,356
W2,OTHER_SERIES,False,2,636
W3,OTHER_SERIES,False,1,654
X1,OTHER_SERIES,False,2,316
X2,OTHER_SERIES,False,1,11
Y1,OTHER_SERIES,False,6,2034
Y2,OTHER_SERIES,False,4,785
Y3,OTHER_SERIES,False,6,1508
Y4,OTHER_SERIES,False,4,249
Y5,OTHER_SERIES,False,6,1062
Y6,OTHER_SERIES,False,5,859
Y7,OTHER_SERIES,False,4,1364
Y8,OTHER_SERIES,False,4,1101
Y9,OTHER_SERIES,False,4,2128
YA,OTHER_SERIES,False,4,722
YB,OTHER_SERIES,False,3,1040
YC,OTHER_SERIES,False,3,282
YD,OTHER_SERIES,False,2,179
YG,OTHER_SERIES,False,3,654
YH,OTHER_SERIES,False,3,1102
YI,OTHER_SERIES,False,4,857
YJ,OTHER_SERIES,False,2,736
YK,OTHER_SERIES,False,4,1088
YL,OTHER_SERIES,False,3,886
YM,OTHER_SERIES,False,3,603
YN,OTHER_SERIES,False,4,680
YO,OTHER_SERIES,False,3,765
YP,OTHER_SERIES,False,3,387
