as_of_date,official_count,previous_mapped_count,previous_unmapped_count,symmetric_difference_count
2014-08-28,500,493,20,175
2014-08-31,500,493,20,175
2014-09-30,500,490,20,180
2014-10-31,500,490,20,180
2014-11-30,500,490,20,178
2014-12-31,500,490,20,178
2015-01-31,500,490,20,178
2015-02-28,500,490,20,174
2015-03-31,500,482,20,180
2015-04-30,500,482,20,180
2015-05-31,500,482,20,182
2015-06-30,500,482,20,180
2015-07-31,500,482,20,180
2015-08-31,500,482,20,180
2015-09-30,500,479,20,191
2015-10-31,500,480,20,192
2015-11-30,500,480,20,192
2015-12-31,500,480,20,192
2016-01-31,500,481,20,193
2016-02-29,500,481,20,193
2016-03-31,500,481,20,193
2016-04-30,501,481,20,84
2016-05-31,501,481,20,84
2016-06-30,501,481,20,84
2016-07-31,501,481,20,84
2016-08-31,501,481,20,84
2016-09-30,501,481,20,38
2016-10-31,501,481,20,38
2016-11-30,501,481,20,36
2016-12-31,501,481,20,36
2017-01-31,501,481,20,36
2017-02-28,501,481,20,36
2017-03-31,501,482,20,33
2017-04-30,501,482,20,33
2017-05-31,501,482,20,33
2017-06-30,501,482,20,33
2017-07-31,501,482,20,33
2017-08-31,501,482,20,33
2017-09-30,501,483,20,32
2017-10-31,501,483,20,32
2017-11-30,501,483,20,32
2017-12-31,501,483,20,32
2018-01-31,501,483,20,32
2018-02-28,501,482,20,31
2018-03-31,501,482,20,31
2018-04-30,501,483,20,28
2018-05-31,501,483,20,28
2018-06-30,501,483,20,28
2018-07-31,501,483,20,28
2018-08-31,501,483,20,28
2018-09-30,501,482,20,27
2018-10-31,501,482,20,27
2018-11-30,501,482,20,27
2018-12-31,501,482,20,27
2019-01-31,501,482,20,27
2019-02-28,501,482,20,27
2019-03-31,501,483,20,26
2019-04-30,501,483,20,26
2019-05-31,501,483,20,26
2019-06-30,501,483,20,26
2019-07-31,501,483,20,26
2019-08-31,501,483,20,26
2019-09-30,501,484,20,23
2019-10-31,501,484,20,23
2019-11-30,501,484,20,23
2019-12-31,501,484,20,23
2020-01-31,501,484,20,23
2020-02-29,501,484,20,23
2020-03-31,501,484,20,23
2020-04-30,501,484,20,23
2020-05-31,501,484,20,23
2020-06-30,501,483,20,22
2020-07-31,501,483,20,22
2020-08-31,501,483,20,22
2020-09-30,501,482,20,21
2020-10-31,501,482,20,21
2020-11-30,501,482,20,21
2020-12-31,501,482,20,21
2021-01-31,501,482,20,21
2021-02-28,501,482,20,21
2021-03-31,501,480,20,21
2021-04-30,501,480,20,21
2021-05-31,501,480,20,21
2021-06-30,501,480,20,21
2021-07-31,501,480,20,21
2021-08-31,501,480,20,21
2021-09-30,501,481,18,20
2021-10-31,501,482,17,19
2021-11-30,501,482,17,19
2021-12-31,501,482,17,19
2022-01-31,501,482,17,19
2022-02-28,501,482,17,19
2022-03-31,501,482,18,19
2022-04-30,501,482,18,19
2022-05-31,501,481,19,20
2022-06-30,501,481,19,20
2022-07-31,501,481,19,20
2022-08-31,501,481,19,20
2022-09-30,501,481,19,20
2022-10-31,501,481,19,20
2022-11-30,501,481,20,20
2022-12-31,501,481,20,20
2023-01-31,501,481,20,20
2023-02-28,501,481,21,20
2023-03-31,501,481,21,20
