valid_from,valid_to,side,security_id,symbol
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_0711207C900A,GITANJALI
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_092A1C3253B4,TATAMOTORS
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_0C8E43FADDB8,IVRCLINFRA
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_0F72F66469D6,GRAPHITE
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_15523813BD4A,NOIDATOLL
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_18BAEEDF7BCF,INGVYSYABK
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_1FE8B4643571,GEOJITFSL
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_2216670637F8,WELSPUNIND
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_22A49E238B39,GMRINFRA
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_2B12B6998928,RELCAPITAL
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_2EF7833DA8D3,HEG
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_3087CF0E8810,TDPOWERSYS
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_329ABD1F5CCD,JSL
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_3604A340ECD7,KSK
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_3CC9204EE206,GEOMETRIC
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_400E6C0FE473,PRAKASH
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_403ED77BEF36,TREEHOUSE
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_436838D37F74,GUJRATGAS
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_4C7DD340FFE0,OPTOCIRCUI
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_502982CDBAAD,ASAHIINDIA
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_5602EE99E050,CENTENKA
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_5813C47C6758,HEXAWARE
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_5D0160460CD9,GHCL
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_5E4BFA7651A2,AJRINFRA
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_633BD53DAEC1,SBT
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_63AB3F8FE7C5,MERCATOR
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_6486648C9FB1,ESSDEE
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_65DD43BDBE2D,CASTEXTECH
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_675CFCEE5D02,GABRIEL
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_70031FDFB6EF,FLEXITUFF
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_7336A438D402,ELECTCAST
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_78493707FA85,ENIL
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_7A24E610012A,SWARAJENG
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_7E9F9084BD7D,JUBLPHARMA
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_7F8B1EBDE62B,PATELENG
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_81E6A1C5A552,VESUVIUS
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_83E296865792,ATFL
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_851A827BCF83,NAVNETEDUL
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_8B1A9BBDE5E6,PRSMJOHNSN
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_8BBC0680BDBA,NAVA
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_8E2A665067A2,PENINLAND
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_94DBF4CE7AC2,MTEDUCARE
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_96586AD2DEEB,TBZ
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_978A4180C4F3,SUPREMEINF
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_9A67203EFED3,USHAMART
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_9AE82A200CBD,NIITLTD
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_9B813D17D74B,SHRENUJ
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_9E4C0423BFF8,GUJALKALI
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_9E788BED7AEF,KALPATPOWR
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_9F5985EF710B,GTLINFRA
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_A1950E96A064,PURVA
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_AA00EC8A4A3D,SUPPETRO
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_B0F020774F39,DHANI
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_B3E526664FC0,AMARAJABAT
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_B46CD836B94A,AUTOAXLES
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_B88435B10855,ELGIEQUIP
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_B8C8A459A862,DHANBANK
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_BAF1627773E0,VIDEOIND
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_BBC622D344B2,VAIBHAVGBL
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_BE6B81B4D2AE,UTTAMSTL
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_BE847AB99029,JYOTISTRUC
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_C0628B35007C,ESABINDIA
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_C23A48F8DAF4,SBBJ
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_C43FB1E82A75,63MOONS
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_C4988FC46272,CAIRN
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_C558FE982959,HEUBACHIND
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_C60D64EC58FE,ARVIND
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_C9730FDF32DB,ABGSHIP
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_CC1A452E363C,TATAINVEST
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_D00C1130DAE7,JTEKTINDIA
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_D3148EEB7BF0,IBULHSGFIN
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_D3F406024851,GIPCL
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_D448CCCD5389,GNFC
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_D45E2178880F,MAHSEAMLES
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_D484E901E05E,RANBAXY
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_D57CF4D8191A,PAISALO
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_DCA00C31EBFD,BALKRISIND
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_E102D7DE4C2C,GRUH
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_E2CB5EC37279,PARSVNATH
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_E5B9AB42956F,BINDALAGRO
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_E6BC41F4E8C3,KKCL
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_E9019530042D,SHANTIGEAR
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_E9CD94ECB13B,MAHSCOOTER
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_EBAC40911065,KCP
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_EEAD76022193,HERITGFOOD
2014-08-28,2014-09-19,OFFICIAL_ONLY,NSE_EFD7B6E7FD96,FMGOETZE
