effective_date,action,symbol,security_id,application_status,source_file
2014-09-19,EXCLUDE,ADANIPOWER,NSE_961E02880D58,APPLIED,ind_prs20082014.pdf
2014-09-19,EXCLUDE,APTECHT,NSE_B1E9367C5B99,APPLIED,ind_prs20082014.pdf
2014-09-19,EXCLUDE,COREEDUTEC,NSE_1C6C6783C7E2,APPLIED,ind_prs20082014.pdf
2014-09-19,EXCLUDE,ERAINFRA,NSE_2E631416E138,APPLIED,ind_prs20082014.pdf
2014-09-19,EXCLUDE,GTOFFSHORE,NSE_364A9E7B44C1,APPLIED,ind_prs20082014.pdf
2014-09-19,EXCLUDE,INDIAGLYCO,NSE_652D0FF5C575,APPLIED,ind_prs20082014.pdf
2014-09-19,EXCLUDE,INDRAMEDCO,NSE_D105ECB9BB5E,APPLIED,ind_prs20082014.pdf
2014-09-19,EXCLUDE,INFINITE,NSE_A419303521D6,APPLIED,ind_prs20082014.pdf
2014-09-19,EXCLUDE,MANINFRA,NSE_79E6C5F02193,APPLIED,ind_prs20082014.pdf
2014-09-19,EXCLUDE,MCDOWELL-N,NSE_7BD208D47A49,APPLIED,ind_prs20082014.pdf
2014-09-19,EXCLUDE,ORBITCORP,NSE_3AFC08334F23,APPLIED,ind_prs20082014.pdf
2014-09-19,EXCLUDE,POLARIS,NSE_A787B7252904,APPLIED,ind_prs20082014.pdf
2014-09-19,EXCLUDE,SKUMARSYNF,NSE_824DBB53889B,APPLIED,ind_prs20082014.pdf
2014-09-19,EXCLUDE,TINPLATE,NSE_74672BDAB0C4,APPLIED,ind_prs20082014.pdf
2014-09-19,EXCLUDE,WSTCSTPAPR,NSE_5BF7C734A16F,APPLIED,ind_prs20082014.pdf
2014-09-19,INCLUDE,AJANTPHARM,NSE_790EA781FCF2,APPLIED,ind_prs20082014.pdf
2014-09-19,INCLUDE,APARINDS,NSE_05F316A71726,APPLIED,ind_prs20082014.pdf
2014-09-19,INCLUDE,APLLTD,NSE_4D6B580AA864,APPLIED,ind_prs20082014.pdf
2014-09-19,INCLUDE,ASHOKA,NSE_7271BD099C26,APPLIED,ind_prs20082014.pdf
2014-09-19,INCLUDE,ASTRAL,NSE_27ED7EAB3326,APPLIED,ind_prs20082014.pdf
2014-09-19,INCLUDE,CENTURYPLY,NSE_0C54BB903E03,APPLIED,ind_prs20082014.pdf
2014-09-19,INCLUDE,KITEX,NSE_9A051282CA4A,APPLIED,ind_prs20082014.pdf
2014-09-19,INCLUDE,NITINFIRE,NSE_3B67FE1904B0,APPLIED,ind_prs20082014.pdf
2014-09-19,INCLUDE,NOCIL,NSE_B02D9BEB0D0A,APPLIED,ind_prs20082014.pdf
2014-09-19,INCLUDE,RATNAMANI,NSE_55FFE606B7E2,APPLIED,ind_prs20082014.pdf
2014-09-19,INCLUDE,REPCOHOME,NSE_2EAE81E9FD97,APPLIED,ind_prs20082014.pdf
2014-09-19,INCLUDE,TVTODAY,NSE_1BF63B49C19E,APPLIED,ind_prs20082014.pdf
2014-09-19,INCLUDE,WABAG,NSE_0636AF8D6821,APPLIED,ind_prs20082014.pdf
2014-09-19,INCLUDE,WELCORP,NSE_DD6A0E2BA440,APPLIED,ind_prs20082014.pdf
2014-09-19,INCLUDE,WHEELS,NSE_AE2862139B09,APPLIED,ind_prs20082014.pdf
2014-11-28,EXCLUDE,RANBAXY,NSE_D484E901E05E,APPLIED,ind_prs18112014.pdf
2014-11-28,INCLUDE,TI,NSE_30E8FCA5619B,APPLIED,ind_prs18112014.pdf
2015-02-02,EXCLUDE,ARVIND,NSE_C60D64EC58FE,APPLIED,ind_prs23012015.pdf
2015-02-02,EXCLUDE,GUJRATGAS,NSE_436838D37F74,APPLIED,ind_prs21012015.pdf
2015-02-02,EXCLUDE,INGVYSYABK,NSE_18BAEEDF7BCF,APPLIED,ind_prs21012015.pdf
2015-02-02,INCLUDE,DYNAMATECH,NSE_C449D23376D8,APPLIED,ind_prs21012015.pdf
2015-02-02,INCLUDE,LAOPALA,NSE_5C11B50967B3,APPLIED,ind_prs23012015.pdf
2015-02-02,INCLUDE,MBLINFRA,NSE_40F417DAB497,APPLIED,ind_prs21012015.pdf
2015-03-24,EXCLUDE,BALKRISIND,NSE_DCA00C31EBFD,APPLIED,ind_prs18032015_2.pdf
2015-03-24,INCLUDE,ITDCEM,NSE_7F8DECDBEDC8,APPLIED,ind_prs18032015_2.pdf
2015-03-27,EXCLUDE,CMC,NSE_FC570F474E2F,APPLIED,ind_prs18032015_2.pdf
2015-03-27,EXCLUDE,DCW,NSE_76C1B622359D,APPLIED,ind_prs20022015.pdf
2015-03-27,EXCLUDE,EDUCOMP,NSE_4BCDA2331B3B,APPLIED,ind_prs20022015.pdf
2015-03-27,EXCLUDE,ELDERPHARM,NSE_22269AA0FB3D,APPLIED,ind_prs20022015.pdf
2015-03-27,EXCLUDE,HUBTOWN,NSE_51509B72C100,APPLIED,ind_prs20022015.pdf
2015-03-27,EXCLUDE,IL&FSENGG,NSE_256CD40487EB,APPLIED,ind_prs20022015.pdf
2015-03-27,EXCLUDE,IMFA,NSE_25EEBCFD7004,APPLIED,ind_prs20022015.pdf
2015-03-27,EXCLUDE,LOVABLE,NSE_7CDA5DAD8C0C,APPLIED,ind_prs20022015.pdf
2015-03-27,EXCLUDE,MASTEK,NSE_71E0266D5F31,APPLIED,ind_prs18032015_2.pdf
2015-03-27,EXCLUDE,PFOCUS,NSE_0D4C56FAB9A2,APPLIED,ind_prs20022015.pdf
2015-03-27,EXCLUDE,RAJTV,NSE_AF1487EA4B1C,APPLIED,ind_prs20022015.pdf
2015-03-27,EXCLUDE,REIAGROLTD,NSE_F08DF88997C8,APPLIED,ind_prs20022015.pdf
2015-03-27,EXCLUDE,SHASUNPHAR,NSE_86E36E8E07A0,APPLIED,ind_prs18032015_2.pdf
2015-03-27,EXCLUDE,TI,NSE_30E8FCA5619B,APPLIED,ind_prs20022015.pdf
2015-03-27,EXCLUDE,VENKEYS,NSE_F6D9EDF646AC,APPLIED,ind_prs20022015.pdf
2015-03-27,INCLUDE,FCEL,NSE_F111BB4114FB,APPLIED,ind_prs20022015.pdf
2015-03-27,INCLUDE,GULFOILLUB,NSE_D1A2AB285CE4,APPLIED,ind_prs20022015.pdf
2015-03-27,INCLUDE,IFBIND,NSE_697267629832,APPLIED,ind_prs20022015.pdf
2015-03-27,INCLUDE,JKCEMENT,NSE_E4C7D1FEF3D3,APPLIED,ind_prs20022015.pdf
2015-03-27,INCLUDE,KNRCON,NSE_AE25FA292E6D,APPLIED,ind_prs20022015.pdf
2015-03-27,INCLUDE,KPRMILL,NSE_03C46C5018D2,APPLIED,ind_prs20022015.pdf
2015-03-27,INCLUDE,LGBBROSLTD,NSE_50647847C4A3,APPLIED,ind_prs20022015.pdf
2015-03-27,INCLUDE,MARKSANS,NSE_ED601A410747,APPLIED,ind_prs20022015.pdf
2015-03-27,INCLUDE,MAYURUNIQ,NSE_E8494F35C12B,APPLIED,ind_prs18032015_2.pdf
2015-03-27,INCLUDE,MCDOWELL-N,NSE_7BD208D47A49,APPLIED,ind_prs20022015.pdf
2015-03-27,INCLUDE,MUNJALSHOW,NSE_7E6BEA8882F4,APPLIED,ind_prs18032015_2.pdf
2015-03-27,INCLUDE,NDTV,NSE_BB7D75A98B81,APPLIED,ind_prs20022015.pdf
2015-03-27,INCLUDE,PENIND,NSE_A21D36A1385B,APPLIED,ind_prs20022015.pdf
2015-03-27,INCLUDE,SUVEN,NSE_3BC23EE3CDD9,APPLIED,ind_prs18032015_2.pdf
2015-03-27,INCLUDE,VINATIORGA,NSE_FD70F2989DA1,APPLIED,ind_prs20022015.pdf
2015-05-29,EXCLUDE,ADANIENT,NSE_42CD50DCCBD6,APPLIED,ind_prs29042015.pdf
2015-05-29,EXCLUDE,IDFC,NSE_1671B749B56F,APPLIED,ind_prs29042015.pdf
2015-05-29,INCLUDE,NATCOPHARM,NSE_F2F6AF4ED925,APPLIED,ind_prs29042015.pdf
2015-05-29,INCLUDE,VIVIDHA,NSE_22FC8142A6A2,APPLIED,ind_prs29042015.pdf
2015-06-15,EXCLUDE,JSL,NSE_329ABD1F5CCD,APPLIED,ind_prs05062015.pdf
2015-06-15,INCLUDE,CEATLTD,NSE_C7F339E43E8B,APPLIED,ind_prs05062015.pdf
2015-09-28,EXCLUDE,ANSALAPI,NSE_63D6527C95C7,APPLIED,ind_prs12082015.pdf
2015-09-28,EXCLUDE,BGRENERGY,NSE_D0ABB9249124,APPLIED,ind_prs12082015.pdf
2015-09-28,EXCLUDE,CROMPGREAV,NSE_812A4A064978,APPLIED,ind_prs24082015.pdf
2015-09-28,EXCLUDE,GAMMONIND,NSE_3677464F31DF,APPLIED,ind_prs12082015.pdf
2015-09-28,EXCLUDE,GUJNRECOKE,NSE_82022647EC12,APPLIED,ind_prs12082015.pdf
2015-09-28,EXCLUDE,HINDOILEXP,NSE_221B7F10DD50,APPLIED,ind_prs12082015.pdf
2015-09-28,EXCLUDE,HOTELEELA,NSE_2067B53F47F0,APPLIED,ind_prs12082015.pdf
2015-09-28,EXCLUDE,IFBIND,NSE_697267629832,APPLIED,ind_prs12082015.pdf
2015-09-28,EXCLUDE,KESORAMIND,NSE_4723627B4BA6,APPLIED,ind_prs12082015.pdf
2015-09-28,EXCLUDE,MANGCHEFER,NSE_49220DD0F0D1,APPLIED,ind_prs12082015.pdf
