source_file,publication_date,effective_date_candidates,contains_nifty500_text,parsed_event_rows,parse_error
ind_prs01062015.pdf,2015-06-01,2015-06-08,False,0,
ind_prs01082018.pdf,2018-08-01,2018-08-08,True,2,
ind_prs01092022.pdf,2022-09-01,2022-09-30,True,36,
ind_prs02072020_1.pdf,2020-07-02,2020-07-09;2020-07-31,True,2,
ind_prs02112018.pdf,2018-11-02,,False,0,
ind_prs03012017.pdf,2017-01-03,2017-01-10,False,0,
ind_prs03112017.pdf,2017-11-03,2017-11-13,True,4,
ind_prs04112015.pdf,2015-11-04,2015-11-13,False,0,
ind_prs04112015_1.pdf,2015-11-04,2015-12-07,False,0,
ind_prs05042022.pdf,2022-04-05,2022-05-04,True,2,
ind_prs05042022_1.pdf,2022-04-05,2022-04-12,True,2,
ind_prs05062015.pdf,2015-06-05,2015-06-15,True,2,
ind_prs06032018.pdf,2018-03-06,2018-03-13;2018-04-02,True,2,
ind_prs06032023.pdf,2023-03-06,2023-03-31,True,0,
ind_prs06042022.pdf,2022-04-06,2022-04-07,True,2,
ind_prs06052005.pdf,2015-05-06,,True,0,
ind_prs06122022.pdf,2022-12-06,2022-12-30,True,6,
ind_prs07032017.pdf,2017-03-07,2017-03-16;2017-03-31,True,6,
ind_prs07092020.pdf,2020-09-07,2020-09-14;2020-09-25,True,10,
ind_prs07122015.pdf,2015-12-07,2015-12-14,True,4,
ind_prs08012018.pdf,2018-01-08,2018-02-05,True,8,
ind_prs08032018.pdf,2018-03-08,2018-04-02,False,0,
ind_prs08032022.pdf,2022-03-08,2022-03-31,False,0,
ind_prs08042019.pdf,2019-04-08,2019-04-15,True,2,
ind_prs08122021.pdf,2021-12-08,2021-12-31,True,0,
ind_prs09012020.pdf,2020-01-09,2020-01-16,True,2,
ind_prs09022023_1.pdf,2023-02-09,2023-02-17,True,2,
ind_prs09052017.pdf,2017-05-09,2017-05-26,False,0,
ind_prs10032021.pdf,2021-03-10,2021-03-31,False,0,
ind_prs10062020.pdf,2020-06-10,2020-06-26,True,50,
ind_prs10092018.pdf,2018-09-10,2018-09-28,False,0,
ind_prs10112017.pdf,2017-11-10,2017-11-20,True,2,
ind_prs11012016.pdf,2016-01-11,2016-01-18,True,2,
ind_prs11072022.pdf,2022-07-11,2022-08-08,True,6,
ind_prs11122020.pdf,2020-12-11,2021-01-01,True,0,
ind_prs12032020.pdf,2020-03-12,2020-03-27,True,2,
ind_prs12082015.pdf,2015-08-12,2015-09-28,True,40,
ind_prs12082016.pdf,2016-08-12,2016-09-30,True,50,
ind_prs13032019.pdf,2019-03-13,2019-03-29,False,0,
ind_prs13062019.pdf,2019-06-13,2019-06-28,True,4,
ind_prs13092017.pdf,2017-09-13,2017-09-29,False,0,
ind_prs14122018.pdf,2018-12-14,2018-12-28,True,10,
ind_prs15062017.pdf,2017-06-15,2017-06-23,True,2,
ind_prs15062018.pdf,2018-06-15,2018-06-29,False,0,
ind_prs15062021.pdf,2021-06-15,2021-06-30,True,2,
ind_prs15062022.pdf,2022-06-15,2022-06-30,True,0,
ind_prs15092021.pdf,2021-09-15,2021-09-30,True,44,
ind_prs16012017.pdf,2017-01-16,2017-01-23,True,8,
ind_prs16022017.pdf,2017-02-16,2017-03-31,True,50,
ind_prs16092022.pdf,2022-09-16,2022-09-30,True,2,
ind_prs16102017.pdf,2017-10-16,2017-10-30,True,2,
ind_prs16122019.pdf,2019-12-16,2019-12-27,True,14,
ind_prs17022023_1.pdf,2023-02-17,2023-03-31,True,40,
ind_prs17092019.pdf,2019-09-17,2019-09-27,True,2,
ind_prs17092019_1.pdf,2019-09-17,2019-09-24,True,2,
ind_prs17102016.pdf,2016-10-17,2016-10-24;2016-11-15,True,2,
ind_prs18022020.pdf,2020-02-18,2020-03-27,True,40,
ind_prs18032015_2.pdf,2015-03-18,2015-03-24;2015-03-27,True,8,
ind_prs18072016.pdf,2016-07-18,2016-07-25,False,0,
ind_prs18092015.pdf,2015-09-18,2015-10-19,True,2,
ind_prs18112014.pdf,2014-11-18,2014-11-28,True,2,
ind_prs18112020.pdf,2020-11-18,2020-11-25,True,2,
ind_prs18122017.pdf,2017-12-18,2017-12-29,False,0,
ind_prs18122019.pdf,2019-12-18,2019-12-26,True,6,
ind_prs19032020.pdf,2020-03-19,2020-03-19;2020-03-27,True,0,
ind_prs19122019.pdf,2019-12-19,2019-12-27,True,4,
ind_prs20022015.pdf,2015-02-20,2015-02-20;2015-03-27,True,32,
ind_prs20062018.pdf,2018-06-20,2018-06-29,True,2,
ind_prs20082014.pdf,2014-08-20,2014-09-19,True,30,
ind_prs20082020.pdf,2020-08-20,2020-09-25,True,34,
ind_prs20092021.pdf,2021-09-20,2021-09-30,False,0,
ind_prs20102022.pdf,2022-10-20,2022-10-25,False,0,
ind_prs20102022_1.pdf,2022-10-20,2022-10-31,True,0,
ind_prs21012015.pdf,2015-01-21,2015-02-02,True,4,
ind_prs21012019.pdf,2019-01-21,2019-01-28,True,4,
ind_prs21022018.pdf,2018-02-21,2018-04-02,True,50,
