security_id,published_symbol,membership_from,membership_to,listing_or_first_observed_date,date_evidence,days_membership_precedes_reference,status
NSE_00202FB0EFF6,TATAELXSI,2014-08-28,,2003-09-17,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_00ABAEDCEC72,SBICARD,2020-07-31,,2020-03-16,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_0144F0CB1BA0,ZEEL,2014-08-28,,1998-09-09,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_015311D97283,PIIND,2014-08-28,,2011-06-15,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_015669CF831E,IPCALAB,2014-08-28,,1995-02-08,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_015D3C811935,SNOWMAN,2016-04-01,2018-04-02,2014-09-12,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_016878F56F2B,MANDHANA,2014-08-28,2015-12-14,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_01C6D9F0E3F6,DELHIVERY,2022-08-08,,2022-05-24,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_021F12AAAD79,SIMPLEXINF,2014-08-28,2017-03-31,2004-03-09,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_0359BC4768A2,HDIL,2014-08-28,2018-09-28,2007-07-24,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_03B0BD5CB55C,HGS,2021-09-30,,2007-06-19,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_03BC3A91CD0A,AFFLE,2019-12-26,,2019-08-08,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_03C46C5018D2,KPRMILL,2015-03-27,2020-09-25,2007-08-28,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_03C46C5018D2,KPRMILL,2021-03-31,,2007-08-28,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_04670D8A7F6D,DREDGECORP,2014-08-28,2019-03-29,2004-01-15,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_046B9E4F246F,NEYVELILIG,2014-08-28,,2000-08-23,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_047E313EDDCF,BERGEPAINT,2014-08-28,,1999-11-24,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_04884AF9E2CC,CADILAHC,2014-08-28,,2000-04-18,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_05F316A71726,APARINDS,2014-09-19,2018-04-02,2004-07-12,CURRENT_NSE_EQUITY_MASTER,0,PASS
