as_of_date,symbol,security_name,industry,source_file,source_page,security_id,identity_match_method,identity_candidate_count
2014-08-28,3MINDIA,3M India Ltd.,TRADING,cnx500_Aug2014.pdf,1,NSE_253019276C6A,ACTIVE_DATE_MATCH,1
2014-08-28,AARTIIND,Aarti Industries Ltd.,CHEMICALS - SPECIALITY,cnx500_Aug2014.pdf,1,NSE_81E1BA306A07,ACTIVE_DATE_MATCH,1
2014-08-28,ABAN,Aban Offshore Ltd.,OIL EXPLORATION/PRODUCTION,cnx500_Aug2014.pdf,1,NSE_0B222906F7FD,ACTIVE_DATE_MATCH,1
2014-08-28,ABB,ABB India Ltd.,ELECTRICAL EQUIPMENT,cnx500_Aug2014.pdf,1,NSE_FE37750EBD83,ACTIVE_DATE_MATCH,1
2014-08-28,ABGSHIP,ABG Shipyard Ltd.,SHIPPING,cnx500_Aug2014.pdf,1,NSE_C9730FDF32DB,ACTIVE_DATE_MATCH,1
2014-08-28,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,cnx500_Aug2014.pdf,1,NSE_D9A959B5F435,ACTIVE_DATE_MATCH,1
2014-08-28,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,cnx500_Aug2014.pdf,1,NSE_C54F12602AF9,ACTIVE_DATE_MATCH,1
2014-08-28,ADANIENT,Adani Enterprises Ltd.,TRADING,cnx500_Aug2014.pdf,1,NSE_42CD50DCCBD6,ACTIVE_DATE_MATCH,1
2014-08-28,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,cnx500_Aug2014.pdf,1,NSE_D7198FEB3064,ACTIVE_DATE_MATCH,1
2014-08-28,ADANIPOWER,Adani Power Ltd.,POWER,cnx500_Aug2014.pdf,1,NSE_961E02880D58,ACTIVE_DATE_MATCH,1
2014-08-28,ADVANTA,Advanta Ltd.,FOOD AND FOOD PROCESSING,cnx500_Aug2014.pdf,1,NSE_B821A8B7C241,ACTIVE_DATE_MATCH,1
2014-08-28,AIAENG,AIA Engineering Ltd.,ELECTRICAL EQUIPMENT,cnx500_Aug2014.pdf,1,NSE_3A49C1557F52,ACTIVE_DATE_MATCH,1
2014-08-28,AIL,Alstom India Ltd.,ELECTRICAL EQUIPMENT,cnx500_Aug2014.pdf,1,NSE_ED9F5F2D6407,ACTIVE_DATE_MATCH,1
2014-08-28,AKZOINDIA,Akzo Nobel India Ltd.,PAINTS,cnx500_Aug2014.pdf,1,NSE_72BEDE1400BF,ACTIVE_DATE_MATCH,1
2014-08-28,ALBK,Allahabad Bank,BANKS,cnx500_Aug2014.pdf,1,NSE_5115B10A6732,ACTIVE_DATE_MATCH,1
2014-08-28,ALLCARGO,Allcargo Logistics Ltd.,TRAVEL AND TRANSPORT,cnx500_Aug2014.pdf,1,NSE_6E8A4A1EA4BA,ACTIVE_DATE_MATCH,1
2014-08-28,ALOKTEXT,Alok Industries Ltd.,TEXTILE PRODUCTS,cnx500_Aug2014.pdf,1,NSE_F9F670EF6794,ACTIVE_DATE_MATCH,1
2014-08-28,ALSTOMT&D,Alstom T&D India Ltd.,ELECTRICAL EQUIPMENT,cnx500_Aug2014.pdf,1,NSE_7EEBEDF17992,ACTIVE_DATE_MATCH,1
2014-08-28,AMARAJABAT,Amara Raja Batteries Ltd.,AUTO ANCILLARIES,cnx500_Aug2014.pdf,1,NSE_B3E526664FC0,ACTIVE_DATE_MATCH,1
2014-08-28,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,cnx500_Aug2014.pdf,1,NSE_7A5F58E72CA0,ACTIVE_DATE_MATCH,1
2014-08-28,AMTEKAUTO,Amtek Auto Ltd.,AUTO ANCILLARIES,cnx500_Aug2014.pdf,1,NSE_DA8CD7DBA4AA,ACTIVE_DATE_MATCH,1
2014-08-28,AMTEKINDIA,Amtek India Ltd.,AUTO ANCILLARIES,cnx500_Aug2014.pdf,1,NSE_65DD43BDBE2D,ACTIVE_DATE_MATCH,1
2014-08-28,ANANTRAJ,Anant Raj Ltd.,CONSTRUCTION,cnx500_Aug2014.pdf,1,NSE_3E94CB7D547E,ACTIVE_DATE_MATCH,1
2014-08-28,ANDHRABANK,Andhra Bank,BANKS,cnx500_Aug2014.pdf,1,NSE_684233BD76FF,ACTIVE_DATE_MATCH,1
2014-08-28,ANSALAPI,Ansal Properties & Infrastructure Ltd.,CONSTRUCTION,cnx500_Aug2014.pdf,1,NSE_63D6527C95C7,ACTIVE_DATE_MATCH,1
2014-08-28,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,cnx500_Aug2014.pdf,1,NSE_7155254152AB,ACTIVE_DATE_MATCH,1
2014-08-28,APOLLOTYRE,Apollo Tyres Ltd.,TYRES,cnx500_Aug2014.pdf,1,NSE_158A5A0513EB,ACTIVE_DATE_MATCH,1
2014-08-28,APTECHT,Aptech Ltd.,COMPUTERS - SOFTWARE,cnx500_Aug2014.pdf,2,NSE_B1E9367C5B99,ACTIVE_DATE_MATCH,1
2014-08-28,ARVIND,Arvind Ltd.,TEXTILE PRODUCTS,cnx500_Aug2014.pdf,2,NSE_C60D64EC58FE,ACTIVE_DATE_MATCH,1
2014-08-28,ASAHIINDIA,Asahi India Glass Ltd.,AUTO ANCILLARIES,cnx500_Aug2014.pdf,2,NSE_502982CDBAAD,ACTIVE_DATE_MATCH,1
2014-08-28,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,cnx500_Aug2014.pdf,2,NSE_54AEFF95FAC0,ACTIVE_DATE_MATCH,1
2014-08-28,ASIANPAINT,Asian Paints Ltd.,PAINTS,cnx500_Aug2014.pdf,2,NSE_18632E719904,ACTIVE_DATE_MATCH,1
2014-08-28,ASTRAZEN,AstraZenca Pharma India Ltd.,PHARMACEUTICALS,cnx500_Aug2014.pdf,2,NSE_B6937CCD326A,ACTIVE_DATE_MATCH,1
2014-08-28,ATFL,Agro Tech Foods Ltd.,SOLVENT EXTRACTION,cnx500_Aug2014.pdf,2,NSE_83E296865792,ACTIVE_DATE_MATCH,1
2014-08-28,ATUL,Atul Ltd.,CHEMICALS - SPECIALITY,cnx500_Aug2014.pdf,2,NSE_5A7F81BD0EAE,ACTIVE_DATE_MATCH,1
2014-08-28,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,cnx500_Aug2014.pdf,2,NSE_974D64708E19,ACTIVE_DATE_MATCH,1
2014-08-28,AUTOAXLES,Automotive Axles Ltd.,AUTO ANCILLARIES,cnx500_Aug2014.pdf,2,NSE_B46CD836B94A,ACTIVE_DATE_MATCH,1
2014-08-28,AXISBANK,Axis Bank Ltd.,BANKS,cnx500_Aug2014.pdf,2,NSE_E0C737A5E1C0,ACTIVE_DATE_MATCH,1
2014-08-28,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,cnx500_Aug2014.pdf,2,NSE_F36C11989984,ACTIVE_DATE_MATCH,1
2014-08-28,BAJAJCORP,Bajaj Corp Ltd.,PERSONAL CARE,cnx500_Aug2014.pdf,2,NSE_F495F6B08158,ACTIVE_DATE_MATCH,1
2014-08-28,BAJAJELEC,Bajaj Electricals Ltd,CONSUMER DURABLES,cnx500_Aug2014.pdf,2,NSE_E058EC23D204,ACTIVE_DATE_MATCH,1
2014-08-28,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,cnx500_Aug2014.pdf,2,NSE_FD4A93ADA75B,ACTIVE_DATE_MATCH,1
2014-08-28,BAJAJHIND,Bajaj Hindusthan Ltd.,SUGAR,cnx500_Aug2014.pdf,2,NSE_5C9D4FE8FB14,ACTIVE_DATE_MATCH,1
2014-08-28,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,cnx500_Aug2014.pdf,2,NSE_DEE4CBD1AD4C,ACTIVE_DATE_MATCH,1
