measure,value
source_unresolved_events,173
source_blocking_events,39
source_blocking_observations,216
accepted_britannia_exception_events_out_of_scope,1
accepted_britannia_exception_observations_out_of_scope,9
unresolved_events_examined_in_scope,38
affected_observations,207
scored_affected_observations,152
warmup_affected_observations,55
class_IMMATERIAL_TO_WINNER_SET,0
class_POSSIBLY_MATERIAL,0
class_MATERIAL_WARMUP_ONLY,55
class_REQUIRES_EVENT_RESEARCH,0
class_CANNOT_BOUND,152
unique_events_requiring_scored_research,31
unique_events_requiring_eventual_research_including_warmup,38
unknown_identity_events_outside_formation_audit,4
maximum_value_date_read,2023-03-31
