priority_order,event_id,security_id,symbol,event_date,event_type,affected_formations,affected_scored_formations,first_affected_formation,last_affected_formation,possibly_material_scored_formations,warmup_only_formations,cannot_bound_formations,best_case_additional_return_required,event_materiality_class,needs_further_research,priority_group
1,CA_bc661c41f226f8cadf0f,NSE_F96D3907BEE7,IIFL,2019-05-30,STRUCTURAL,8,8,2019-09-30,2020-04-30,8,0,8,0.9619345142385551,CANNOT_BOUND,True,SCORED_WINNER_UNCERTAINTY
2,CA_181cf68ab7289959453f,NSE_4885044E479D,NIACL,2018-06-27,BONUS,7,7,2018-11-30,2019-05-31,7,0,7,1.1598587517122858,CANNOT_BOUND,True,SCORED_WINNER_UNCERTAINTY
3,CA_253391c466422f1c9423,NSE_2B12B6998928,RELCAPITAL,2017-09-05,STRUCTURAL,7,7,2018-02-28,2018-08-31,7,0,7,0.6995634269680401,CANNOT_BOUND,True,SCORED_WINNER_UNCERTAINTY
4,CA_78c8a95e2472b7c4caa7,NSE_9FB7052822E7,CESC,2018-10-30,STRUCTURAL,7,7,2019-03-29,2019-09-30,7,0,7,0.3240548030420729,CANNOT_BOUND,True,SCORED_WINNER_UNCERTAINTY
5,CA_7c4b422d9b821ca69ce7,NSE_81E1BA306A07,AARTIIND,2019-07-03,STRUCTURAL,7,7,2019-12-31,2020-06-30,7,0,7,0.05992336621912564,CANNOT_BOUND,True,SCORED_WINNER_UNCERTAINTY
6,CA_a547b59a77462e2625dd,NSE_F10717A1FD65,COX&KINGS,2018-10-25,STRUCTURAL,7,7,2019-03-29,2019-09-30,7,0,7,1.1079132430718133,CANNOT_BOUND,True,SCORED_WINNER_UNCERTAINTY
7,CA_df384ef3fc428b287dca,NSE_72AFBEE07E5D,STAR,2018-04-06,STRUCTURAL,7,7,2018-09-28,2019-03-29,7,0,7,0.8239129773941085,CANNOT_BOUND,True,SCORED_WINNER_UNCERTAINTY
8,CA_73d0e9f8b8e4a8fdb881,NSE_DCA00C31EBFD,BALKRISIND,2015-03-24,STRUCTURAL,6,6,2015-09-30,2016-02-29,6,0,6,0.3582434140576982,CANNOT_BOUND,True,SCORED_WINNER_UNCERTAINTY
9,CA_93e91333c57773c4c322,NSE_FE37750EBD83,ABB,2019-12-20,STRUCTURAL,6,6,2020-06-30,2020-11-27,6,0,6,1.0384698261310699,CANNOT_BOUND,True,SCORED_WINNER_UNCERTAINTY
10,CA_a16871c5bd0f20ab80ae,NSE_806E57D11FFC,TATACHEM,2020-03-04,STRUCTURAL,6,6,2020-09-30,2021-02-26,6,0,6,0.5063029657915653,CANNOT_BOUND,True,SCORED_WINNER_UNCERTAINTY
