formation_date,security_id,published_symbol,signal_exclusion_reason,additional_exclusion_reasons,complete_lookback_months
2014-08-28,NSE_0144F0CB1BA0,ZEEL,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-08-28,NSE_0A3EDCE50A32,CASTROLIND,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,4.0
2014-08-28,NSE_0E88CB8DDD57,LAKSHVILAS,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-08-28,NSE_3087CF0E8810,TDPOWERSYS,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,9.0
2014-08-28,NSE_3FA872F937F6,MARICO,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-08-28,NSE_53A37C11E6D9,TATAPOWER,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-08-28,NSE_938AB0376CFC,IL&FSTRANS,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-08-28,NSE_EFD7B6E7FD96,FMGOETZE,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,9.0
2014-09-30,NSE_0144F0CB1BA0,ZEEL,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-09-30,NSE_0A3EDCE50A32,CASTROLIND,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,5.0
2014-09-30,NSE_0E88CB8DDD57,LAKSHVILAS,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-09-30,NSE_3087CF0E8810,TDPOWERSYS,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,9.0
2014-09-30,NSE_3FA872F937F6,MARICO,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-09-30,NSE_53A37C11E6D9,TATAPOWER,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-09-30,NSE_938AB0376CFC,IL&FSTRANS,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-09-30,NSE_AE2862139B09,WHEELS,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-09-30,NSE_DD6A0E2BA440,WELCORP,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-09-30,NSE_EFD7B6E7FD96,FMGOETZE,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-10-31,NSE_0144F0CB1BA0,ZEEL,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-10-31,NSE_0A3EDCE50A32,CASTROLIND,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,6.0
2014-10-31,NSE_0E88CB8DDD57,LAKSHVILAS,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-10-31,NSE_3087CF0E8810,TDPOWERSYS,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,9.0
2014-10-31,NSE_3FA872F937F6,MARICO,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-10-31,NSE_53A37C11E6D9,TATAPOWER,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-10-31,NSE_938AB0376CFC,IL&FSTRANS,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-10-31,NSE_AE2862139B09,WHEELS,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-10-31,NSE_DD6A0E2BA440,WELCORP,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-11-28,NSE_0144F0CB1BA0,ZEEL,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2014-11-28,NSE_0A3EDCE50A32,CASTROLIND,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,7.0
2014-11-28,NSE_0E88CB8DDD57,LAKSHVILAS,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
