formation_date,holding_month,scored,official_members,eligible,winners,missing_formation_observations
2014-08-28,2014-09,False,500,492,50,0
2014-09-30,2014-10,False,500,490,49,0
2014-10-31,2014-11,False,500,491,50,0
2014-11-28,2014-12,False,500,492,50,0
2014-12-31,2015-01,False,500,492,50,0
2015-01-30,2015-02,False,500,492,50,0
2015-02-28,2015-03,False,500,493,50,0
2015-03-31,2015-04,True,500,496,50,0
2015-04-30,2015-05,True,500,496,50,0
2015-05-29,2015-06,True,500,497,50,0
2015-06-30,2015-07,True,500,497,50,0
2015-07-31,2015-08,True,500,499,50,0
2015-08-31,2015-09,True,500,500,50,0
2015-09-30,2015-10,True,500,495,50,0
2015-10-30,2015-11,True,500,494,50,0
2015-11-30,2015-12,True,500,494,50,0
2015-12-31,2016-01,True,500,492,50,0
2016-01-29,2016-02,True,500,493,50,0
2016-02-29,2016-03,True,500,492,50,0
2016-03-31,2016-04,True,500,493,50,0
2016-04-29,2016-05,True,501,490,49,0
2016-05-31,2016-06,True,501,492,50,0
2016-06-30,2016-07,True,501,493,50,0
2016-07-29,2016-08,True,501,495,50,0
2016-08-31,2016-09,True,501,496,50,0
2016-09-30,2016-10,True,501,488,49,0
2016-10-30,2016-11,True,501,489,49,0
2016-11-30,2016-12,True,501,491,50,0
2016-12-30,2017-01,True,501,493,50,0
2017-01-31,2017-02,True,501,492,50,0
2017-02-28,2017-03,True,501,492,50,0
2017-03-31,2017-04,True,501,484,49,0
2017-04-28,2017-05,True,501,486,49,0
2017-05-31,2017-06,True,501,487,49,0
2017-06-30,2017-07,True,501,486,49,0
2017-07-31,2017-08,True,501,490,49,0
2017-08-31,2017-09,True,501,493,50,0
2017-09-29,2017-10,True,501,492,50,0
2017-10-31,2017-11,True,501,492,50,0
2017-11-30,2017-12,True,501,492,50,0
2017-12-29,2018-01,True,501,495,50,0
2018-01-31,2018-02,True,501,495,50,0
2018-02-28,2018-03,True,501,493,50,0
2018-03-28,2018-04,True,501,493,50,0
2018-04-30,2018-05,True,501,478,48,0
2018-05-31,2018-06,True,501,479,48,0
2018-06-29,2018-07,True,501,479,48,0
2018-07-31,2018-08,True,501,481,49,0
2018-08-31,2018-09,True,501,484,49,0
2018-09-28,2018-10,True,501,479,48,0
2018-10-31,2018-11,True,501,485,49,0
2018-11-30,2018-12,True,501,491,50,0
2018-12-31,2019-01,True,501,488,49,0
2019-01-31,2019-02,True,501,488,49,0
2019-02-28,2019-03,True,501,491,50,0
2019-03-29,2019-04,True,501,485,49,0
2019-04-30,2019-05,True,501,488,49,0
2019-05-31,2019-06,True,501,490,49,0
2019-06-28,2019-07,True,501,489,49,0
2019-07-31,2019-08,True,501,493,50,0
2019-08-30,2019-09,True,501,495,50,0
2019-09-30,2019-10,True,501,486,49,0
2019-10-31,2019-11,True,501,489,49,0
2019-11-29,2019-12,True,501,490,49,0
2019-12-31,2020-01,True,501,484,49,0
2020-01-31,2020-02,True,501,486,49,0
2020-02-28,2020-03,True,501,487,49,0
2020-03-31,2020-04,True,501,487,49,0
2020-04-30,2020-05,True,501,491,50,0
2020-05-29,2020-06,True,501,492,50,0
2020-06-30,2020-07,True,501,485,49,0
2020-07-31,2020-08,True,501,486,49,0
2020-08-31,2020-09,True,501,491,50,0
2020-09-30,2020-10,True,501,490,49,0
2020-10-30,2020-11,True,501,493,50,0
2020-11-27,2020-12,True,501,493,50,0
2020-12-31,2021-01,True,501,496,50,0
2021-01-29,2021-02,True,501,497,50,0
2021-02-26,2021-03,True,501,498,50,0
2021-03-31,2021-04,True,501,491,50,0
2021-04-30,2021-05,True,501,490,49,0
2021-05-31,2021-06,True,501,490,49,0
2021-06-30,2021-07,True,501,488,49,0
2021-07-30,2021-08,True,501,489,49,0
2021-08-31,2021-09,True,501,490,49,0
2021-09-30,2021-10,True,501,480,48,0
2021-10-29,2021-11,True,501,485,49,0
2021-11-30,2021-12,True,501,487,49,0
2021-12-31,2022-01,True,501,488,49,0
2022-01-31,2022-02,True,501,489,49,0
2022-02-28,2022-03,True,501,493,50,0
2022-03-31,2022-04,True,501,475,48,0
2022-04-29,2022-05,True,501,476,48,0
2022-05-31,2022-06,True,501,476,48,0
2022-06-30,2022-07,True,501,479,48,0
2022-07-29,2022-08,True,501,483,49,0
2022-08-30,2022-09,True,501,484,49,0
2022-09-30,2022-10,True,501,480,48,0
2022-10-31,2022-11,True,501,480,48,0
2022-11-30,2022-12,True,501,486,49,0
2022-12-30,2023-01,True,501,487,49,0
2023-01-31,2023-02,True,501,488,49,0
2023-02-28,2023-03,True,501,490,49,0
