event_id,security_id,event_date,affected_monthly_feature,formation_date,membership_at_formation,final_signal_availability_changed,otherwise_eligible_except_event,would_otherwise_be_winner,required_event_month_return_to_win,event_reason
CA_d4d74757b017afa68416,NSE_8212B1829EDC,2013-01-15,2013-01,,False,False,False,NO_APPLICABLE_FORMATION,,TREATMENT_NOT_ACCEPTED
CA_556d087774c4d45e1d2b,NSE_509E811DE5D8,2013-01-23,2013-01,,False,False,False,NO_APPLICABLE_FORMATION,,TREATMENT_NOT_ACCEPTED
CA_2aeea12f45950f5d73f2,NSE_F9F670EF6794,2013-02-15,2013-02,,False,False,False,NO_APPLICABLE_FORMATION,,TREATMENT_NOT_ACCEPTED
CA_f4fc609caff6cf3e9608,NSE_57BCD151AF77,2013-02-15,2013-02,,False,False,False,NO_APPLICABLE_FORMATION,,ORDINARY_ACTION_PARSE_UNVERIFIED
CA_bf7b5803b168dc67168d,NSE_7110B3E95EA1,2013-03-21,2013-03,,False,False,False,NO_APPLICABLE_FORMATION,,ORDINARY_ACTION_PARSE_UNVERIFIED
CA_58f43283502dc6785fef,NSE_060294DF8B9D,2013-04-09,2013-04,,False,False,False,NO_APPLICABLE_FORMATION,,TREATMENT_NOT_ACCEPTED
CA_edc08b450e023942bc68,NSE_EF0E9934D1DE,2013-04-17,2013-04,,False,False,False,NO_APPLICABLE_FORMATION,,TREATMENT_NOT_ACCEPTED
CA_4a5f83169b2846a3e4b6,NSE_4723627B4BA6,2013-05-15,2013-05,,False,False,False,NO_APPLICABLE_FORMATION,,TREATMENT_NOT_ACCEPTED
CA_ea39612437ecb463784b,NSE_EF0E9934D1DE,2013-06-21,2013-06,,False,False,False,NO_APPLICABLE_FORMATION,,TREATMENT_NOT_ACCEPTED
CA_5056c436816c80ce2704,NSE_AF3172BFD228,2013-06-26,2013-06,,False,False,False,NO_APPLICABLE_FORMATION,,ORDINARY_ACTION_PARSE_UNVERIFIED
CA_88133d36dbe6dc8d9404,NSE_7271BD099C26,2013-07-03,2013-07,,False,False,False,NO_APPLICABLE_FORMATION,,ORDINARY_ACTION_PARSE_UNVERIFIED
CA_06497a156b3a612c46f4,NSE_66EF9E74F5E3,2013-07-16,2013-07,,False,False,False,NO_APPLICABLE_FORMATION,,ORDINARY_ACTION_PARSE_UNVERIFIED
CA_a459dbd932929024acda,NSE_3E5680388E4E,2013-07-17,2013-07,,False,False,False,NO_APPLICABLE_FORMATION,,TREATMENT_NOT_ACCEPTED
CA_62527c5d757a946b5cd4,NSE_0C54BB903E03,2013-07-18,2013-07,,False,False,False,NO_APPLICABLE_FORMATION,,TREATMENT_NOT_ACCEPTED
CA_4fcd56556358610beca6,NSE_502982CDBAAD,2013-07-26,2013-07,,False,False,False,NO_APPLICABLE_FORMATION,,TREATMENT_NOT_ACCEPTED
CA_92f7e3db048f0f14e3b4,NSE_18632E719904,2013-07-30,2013-07,,False,False,False,NO_APPLICABLE_FORMATION,,ORDINARY_ACTION_PARSE_UNVERIFIED
CA_71d41301316dc5419d84,NSE_4CD9919938EF,2013-08-19,2013-08,,False,False,False,NO_APPLICABLE_FORMATION,,ORDINARY_ACTION_PARSE_UNVERIFIED
CA_b0f04524e8253a77dc4d,NSE_E5CCB4E0101D,2013-08-19,2013-08,,False,False,False,NO_APPLICABLE_FORMATION,,TREATMENT_NOT_ACCEPTED
CA_861a50d01604fad49369,NSE_1846247E74B4,2013-08-29,2013-08,,False,False,False,NO_APPLICABLE_FORMATION,,MARKET_OR_PREVIOUS_SESSION_UNAVAILABLE
CA_5618f440ea0037b0bd5a,NSE_8407496D15F8,2013-09-05,2013-09,2014-08-28,False,False,False,NOT_OFFICIAL_MEMBER,,MARKET_OR_PREVIOUS_SESSION_UNAVAILABLE
CA_8eb472a330ec170f7b1d,NSE_E7891F352261,2013-09-19,2013-09,2014-08-28,False,False,False,NOT_OFFICIAL_MEMBER,,MARKET_OR_PREVIOUS_SESSION_UNAVAILABLE
