formation_date,primary_n,sensitivity_n,primary_k,sensitivity_k,winner_entries,winner_exits,restored_signal_symbols,restored_event_winners
2014-08-28,492,497,50,50,,,ZEEL;LAKSHVILAS;MARICO;TATAPOWER;IL&FSTRANS,
2014-09-30,490,497,49,50,JKTYRE,,ZEEL;LAKSHVILAS;MARICO;TATAPOWER;IL&FSTRANS;WHEELS;WELCORP,
2014-10-31,491,498,50,50,,,ZEEL;LAKSHVILAS;MARICO;TATAPOWER;IL&FSTRANS;WHEELS;WELCORP,
2014-11-28,492,498,50,50,,,ZEEL;LAKSHVILAS;TATAPOWER;IL&FSTRANS;WHEELS;WELCORP,
2014-12-31,492,498,50,50,,,ZEEL;LAKSHVILAS;TATAPOWER;IL&FSTRANS;WHEELS;WELCORP,
2015-01-30,492,498,50,50,,,ZEEL;LAKSHVILAS;TATAPOWER;IL&FSTRANS;WHEELS;WELCORP,
2015-02-28,493,497,50,50,,,ZEEL;LAKSHVILAS;TATAPOWER;IL&FSTRANS,
2015-03-31,496,497,50,50,,,LAKSHVILAS,
2015-04-30,496,497,50,50,,,LAKSHVILAS,
2015-05-29,497,498,50,50,,,LAKSHVILAS,
2015-06-30,497,498,50,50,,,LAKSHVILAS,
2015-07-31,499,499,50,50,,,,
2015-08-31,500,500,50,50,,,,
2015-09-30,495,496,50,50,,,BALKRISIND,
2015-10-30,494,495,50,50,,,BALKRISIND,
2015-11-30,494,495,50,50,,,BALKRISIND,
2015-12-31,492,494,50,50,,,ARVIND;BALKRISIND,
2016-01-29,493,495,50,50,,,ARVIND;BALKRISIND,
2016-02-29,492,494,50,50,,,ARVIND;BALKRISIND,
2016-03-31,493,494,50,50,,,ARVIND,
2016-04-29,490,492,49,50,SRF,,ADANIENT;ARVIND,
2016-05-31,492,493,50,50,,,ADANIENT,
2016-06-30,493,493,50,50,,,,
2016-07-29,495,495,50,50,,,,
2016-08-31,496,496,50,50,,,,
2016-09-30,488,491,49,50,SOMANYCERA,,IDFC;CROMPGREAV;MFSL,
2016-10-30,489,491,49,50,BALKRISIND,,CROMPGREAV;MFSL,
2016-11-30,491,493,50,50,,,CROMPGREAV;MFSL,
2016-12-30,493,495,50,50,,,CROMPGREAV;MFSL,
2017-01-31,492,493,50,50,,,CROMPGREAV,
2017-02-28,492,493,50,50,,,CROMPGREAV,
2017-03-31,484,484,49,49,,,,
2017-04-28,486,486,49,49,,,,
2017-05-31,487,487,49,49,,,,
2017-06-30,486,486,49,49,,,,
2017-07-31,490,490,49,49,,,,
2017-08-31,493,493,50,50,,,,
2017-09-29,492,492,50,50,,,,
2017-10-31,492,492,50,50,,,,
2017-11-30,492,492,50,50,,,,
2017-12-29,495,495,50,50,,,,
2018-01-31,495,495,50,50,,,,
2018-02-28,493,494,50,50,,,RELCAPITAL,
2018-03-28,493,494,50,50,,,RELCAPITAL,
2018-04-30,478,481,48,49,PAGEIND,,RELCAPITAL;GRASIM;IIFL,
2018-05-31,479,482,48,49,BALKRISIND,,RELCAPITAL;GRASIM;IIFL,
2018-06-29,479,483,48,49,LAXMIMACH,,RELCAPITAL;GRASIM;FRETAIL;IIFL,
2018-07-31,481,484,49,49,,,RELCAPITAL;FRETAIL;IIFL,
2018-08-31,484,487,49,49,,,RELCAPITAL;FRETAIL;IIFL,
2018-09-28,479,484,48,49,BRITANNIA,,GAYAPROJ;STAR;SUNDARMFIN;FRETAIL;IIFL,
2018-10-31,485,489,49,49,,,GAYAPROJ;STAR;SUNDARMFIN;FRETAIL,
2018-11-30,491,494,50,50,,,GAYAPROJ;STAR;SUNDARMFIN,
2018-12-31,488,491,49,50,DABUR,,GAYAPROJ;STAR;SUNDARMFIN,
2019-01-31,488,490,49,49,,,STAR;SUNDARMFIN,
2019-02-28,491,492,50,50,,,STAR,
2019-03-29,485,488,49,49,,,STAR;CESC;COX&KINGS,
2019-04-30,488,490,49,49,,,CESC;COX&KINGS,
2019-05-31,490,492,49,50,INDIGO,,CESC;COX&KINGS,
2019-06-28,489,491,49,50,IGL,,CESC;COX&KINGS,
2019-07-31,493,495,50,50,,,CESC;COX&KINGS,
2019-08-30,495,497,50,50,,,CESC;COX&KINGS,
2019-09-30,486,490,49,49,,,BSOFT;CESC;COX&KINGS;IIFL,
2019-10-31,489,491,49,50,ABBOTINDIA,,BSOFT;IIFL,
2019-11-29,490,492,49,50,ORIENTELEC,,BSOFT;IIFL,
2019-12-31,484,487,49,49,,,BSOFT;AARTIIND;IIFL,
2020-01-31,486,488,49,49,,,AARTIIND;IIFL,
2020-02-28,487,489,49,49,,,AARTIIND;IIFL,
2020-03-31,487,489,49,49,,,AARTIIND;IIFL,
2020-04-30,491,493,50,50,,,AARTIIND;IIFL,
2020-05-29,492,493,50,50,,,AARTIIND,
2020-06-30,485,488,49,49,,,AARTIIND;TATACOMM;ABB,
2020-07-31,486,488,49,49,,,TATACOMM;ABB,
2020-08-31,491,493,50,50,TATACOMM,GARFIBRES,TATACOMM;ABB,TATACOMM
2020-09-30,490,491,49,50,RALLIS,,ABB,
2020-10-30,493,494,50,50,,,ABB,
2020-11-27,493,494,50,50,,,ABB,
2020-12-31,496,496,50,50,,,,
2021-01-29,497,497,50,50,,,,
2021-02-26,498,498,50,50,,,,
2021-03-31,491,491,50,50,,,,
2021-04-30,490,490,49,49,,,,
2021-05-31,490,490,49,49,,,,
2021-06-30,488,488,49,49,,,,
2021-07-30,489,489,49,49,,,,
2021-08-31,490,490,49,49,,,,
2021-09-30,480,481,48,49,SUPPETRO,,JUBLPHARMA,
2021-10-29,485,486,49,49,,,JUBLPHARMA,
2021-11-30,487,488,49,49,,,JUBLPHARMA,
2021-12-31,488,489,49,49,,,JUBLPHARMA,
2022-01-31,489,490,49,49,,,JUBLPHARMA,
2022-02-28,493,493,50,50,,,,
2022-03-31,475,475,48,48,,,,
2022-04-29,476,476,48,48,,,,
2022-05-31,476,476,48,48,,,,
2022-06-30,479,479,48,48,,,,
2022-07-29,483,483,49,49,,,,
2022-08-30,484,484,49,49,,,,
2022-09-30,480,481,48,49,SOLARINDS,,MOTHERSON,
2022-10-31,480,481,48,49,ASAHIINDIA,,MOTHERSON,
2022-11-30,486,487,49,49,,,MOTHERSON,
2022-12-30,487,489,49,49,,,MOTHERSON;BEML,
2023-01-31,488,489,49,49,,,BEML,
2023-02-28,490,491,49,50,HUDCO,,BEML,
