security_id,date,symbol,event_ids,held_before_event,pre_event_weight,materiality_status,reason,first_affected_risk_window_end,last_affected_risk_window_end,affected_monthly_formations
NSE_8407496D15F8,2014-09-30,SUDARSCHEM,CA_8d931be6e8294f897529,False,0.0,NOT_HELD,ORDINARY_ACTION_PARSE_UNVERIFIED,,,
NSE_1846247E74B4,2014-10-08,JBMA,CA_3432097b522ad3df4a38,False,0.0,NOT_HELD,ORDINARY_ACTION_PARSE_UNVERIFIED,,,
NSE_A787B7252904,2014-10-09,POLARIS,CA_86c24bc61ce401233144,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_1789CF98709C,2014-11-17,BLUEDART,CA_faa277a19bfa2ac115cc,False,0.0,NOT_HELD,ACCEPTED_STRICT_RETURN_EXCEPTION,,,
NSE_D92A46834C0F,2015-01-05,MINDACORP,CA_649d1a91c6704b6cc989,False,0.0,NOT_HELD,ORDINARY_ACTION_PARSE_UNVERIFIED,,,
NSE_B3968699E9E2,2015-01-16,INTELLECT,CA_22cfc3b9a81fe7f57ff6,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_148E052CEC64,2015-03-23,GRANULES,CA_46f159e1e6f12e1e79cb,False,0.0,NOT_HELD,ORDINARY_ACTION_PARSE_UNVERIFIED,,,
NSE_DCA00C31EBFD,2015-03-24,BALKRISIND,CA_73d0e9f8b8e4a8fdb881,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_D8A31493DD0A,2015-04-06,TATAMTRDVR,CA_916df9023b5865eabede,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_C60D64EC58FE,2015-05-28,ARVIND,CA_ee115bb800808115f870,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_42CD50DCCBD6,2015-06-03,ADANIENT,CA_8d241ef7b6f51f1aae85,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_71E0266D5F31,2015-06-12,MASTEK,CA_e90a53f3da415ef42ae8,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_EC27C1265F27,2015-08-03,BAYERCROP,CA_e55059d9cb22496269b8,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_1671B749B56F,2015-09-29,IDFC,CA_459e414d3b71cfec6676;CA_6e65f1f070c79719ea69;CA_7287367d0d3ab252fb21;CA_7fff13b3128fa831178b;CA_9748c044a432c07eae8a;CA_9b94d0d6784fccc6c6f0;CA_a3bb8578d375a947c2b3;CA_a61682fef95fbe7aed84;CA_b4f80bbd69424f6b183a;CA_d2da918a2e1d1a015e22;CA_de9806670c7649a3e8cf;CA_e583c5277bfb87e79410;CA_e683a8a93f0015fe52fe;CA_fb9bbe6d8818ab95b335,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_1671B749B56F,2015-10-01,IDFC,CA_9a44748e33a9e6bfc8f7,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_329ABD1F5CCD,2015-11-19,JSL,CA_da7d9673a7e339e185ee,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_812A4A064978,2016-03-15,CROMPGREAV,CA_d68d9be194519be0bb03,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_D5AEC8D4EBC0,2016-08-25,JINDALSAW,CA_01b53b51cb7beb6a2915,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_B7616A734F2C,2016-08-26,TCI,CA_b0eba0f7b5242fea8f4c,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_7F1FE9599769,2017-05-25,SINTEX,CA_7ec71406640cdb5cfb4f,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_E7891F352261,2017-07-05,CGCL,CA_8ade75260802ef97916a,False,0.0,NOT_HELD,ORDINARY_ACTION_PARSE_UNVERIFIED,,,
NSE_951F0DE091F9,2017-07-19,GRASIM,CA_9712390351bb6336e11a,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_2D9667E60569,2017-09-20,POLYMED,CA_4f7a48e1d73308995871;CA_e2fa7d92a3245c9d524c,False,0.0,NOT_HELD,POSSIBLE_DUPLICATE_ECONOMIC_RECORD,,,
NSE_F96D3907BEE7,2017-10-17,IIFL,CA_d4350a4891573655ee29,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_E987DDA51421,2017-11-29,FRETAIL,CA_73f2fd7856e2a8f125ac,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_6B14B0471978,2018-01-18,AARTIDRUGS,CA_97dcc52d47ab7bf189d9,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_1EDC5AB6BDE5,2018-01-30,GAYAPROJ,CA_26c975868bc50d05ca8c,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_C9C5A501D2C2,2018-03-22,ALEMBICLTD,CA_e8ab3b19871a658e8ec8,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,,,
NSE_42CD50DCCBD6,2018-04-05,ADANIENT,CA_09d4133ad6ad9024fa83,True,0.01891351555442489,SHADOW_DAILY_RETURN_BLOCKER,TREATMENT_NOT_ACCEPTED,2018-04-05,2018-10-05,2018-04-30;2018-05-31;2018-06-29;2018-07-31;2018-08-31;2018-09-28
NSE_4FB8019524D0,2015-03-20,NTPC,CA_df82d8fc43ad7e21c2a8,False,0.0,NOT_HELD,ACCEPTED_STRICT_RETURN_EXCEPTION,,,
NSE_444C594AB9B7,2019-08-22,BRITANNIA,CA_52dafdfb28d9f35d7326,,,NOT_ASSESSABLE_AFTER_FIRST_BLOCKER,ACCEPTED_STRICT_RETURN_EXCEPTION,,,
NSE_444C594AB9B7,2021-05-25,BRITANNIA,CA_9d29c825ee80b650567a,,,NOT_ASSESSABLE_AFTER_FIRST_BLOCKER,ACCEPTED_STRICT_RETURN_EXCEPTION,,,
