primary_class,application_status,events
BONUS,APPLIED_TO_RETURN,178
BONUS,NOT_SIGNAL_RELEVANT,121
BONUS,RETURN_UNAVAILABLE_EXPLICIT,8
BUYBACK,NOT_SIGNAL_RELEVANT,37
BUYBACK,NO_DIRECT_ADJUSTMENT_REQUIRED,88
BUYBACK,RETURN_UNAVAILABLE_EXPLICIT,20
CAPITAL_REDUCTION,NOT_SIGNAL_RELEVANT,2
CAPITAL_REDUCTION,RETURN_UNAVAILABLE_EXPLICIT,1
DEBENTURE_ENTITLEMENT,RETURN_UNAVAILABLE_EXPLICIT,4
DIVIDEND,APPLIED_TO_RETURN,6993
DIVIDEND,NOT_SIGNAL_RELEVANT,4637
DIVIDEND,NO_DIRECT_ADJUSTMENT_REQUIRED,1
DIVIDEND,RETURN_UNAVAILABLE_EXPLICIT,18
PREFERENCE_SHARE_BONUS,RETURN_UNAVAILABLE_EXPLICIT,1
RIGHTS,APPLIED_TO_RETURN,39
RIGHTS,NOT_SIGNAL_RELEVANT,88
RIGHTS,RETURN_UNAVAILABLE_EXPLICIT,23
SPLIT,APPLIED_TO_RETURN,105
SPLIT,NOT_SIGNAL_RELEVANT,154
SPLIT,RETURN_UNAVAILABLE_EXPLICIT,13
STRUCTURAL,APPLIED_TO_RETURN,2
STRUCTURAL,NOT_SIGNAL_RELEVANT,48
STRUCTURAL,RETURN_UNAVAILABLE_EXPLICIT,77
