event_id,security_id,symbol,series,ex_date,primary_class,purpose_normalized,source_file,repair_status,parsed_amount_or_ratio,membership_status,identity_candidate_count,identity_mapping_method,treatment_reviewed_for_in_universe_event,accepted_status,accepted_evidence,previous_close,ex_date_close,calculated_price_return,application_status,application_reason,cash_effect,share_effect,entitlement_effect,calculated_total_return
CA_fb90fa9dfd5bf26feda9,NSE_D495CF61024C,SHARONBIO,EQ,2013-01-03,DIVIDEND,DIVIDEND OF RS 1.80/- PER SHARE,corporate_actions_20130101_20130131.json,UNCHANGED,1.8,NOT_SIGNAL_RELEVANT,1,DATED_ALIAS,False,,,,,,NOT_SIGNAL_RELEVANT,NO_RELEVANT_DATED_SECURITY,0.0,1.0,0.0,
CA_95931a276be9d2101202,NSE_E23C017F1051,VISESHINFO,EQ,2013-01-03,SPLIT,FACE VALUE SPLIT FROM RS 10 TO RE 1,corporate_actions_20130101_20130131.json,UNCHANGED,10.0:1.0,NOT_SIGNAL_RELEVANT,1,DATED_ALIAS,False,,,,,,NOT_SIGNAL_RELEVANT,NO_RELEVANT_DATED_SECURITY,0.0,1.0,0.0,
CA_6abe1584a7d22d263f6d,NSE_40FBDF32DB5C,NELCO,EQ,2013-01-04,DIVIDEND,ANNUAL GENERAL MEETING/DIVIDEND RE 0.50 PER SHARE,corporate_actions_20130101_20130131.json,UNCHANGED,0.5,NOT_SIGNAL_RELEVANT,1,DATED_ALIAS,False,,,,,,NOT_SIGNAL_RELEVANT,NO_RELEVANT_DATED_SECURITY,0.0,1.0,0.0,
CA_d4d74757b017afa68416,NSE_8212B1829EDC,TATASTLBSL,EQ,2013-01-15,RIGHTS,RIGHT ISSUE 1:15 @ PREMIUM OF RS 333 PER SHARE,corporate_actions_20130101_20130131.json,UNCHANGED,,PRE_MEMBERSHIP,0,UNIQUE_ACCEPTED_ALIAS_WITH_EX_DATE_PANEL_ID,False,,,438.85,429.05,-0.02233109262846078,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_36d67287e688d008e144,NSE_6E385AB3FF62,SIEMENS,EQ,2013-01-16,DIVIDEND,ANNUAL GENERAL MEETING / DIVIDEND RS. 6/- PER SHARE,corporate_actions_20130101_20130131.json,UNCHANGED,6.0,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,661.15,655.2,-0.008999470619375227,APPLIED_TO_RETURN,UNAMBIGUOUS_PARSED_ORDINARY_ACTION,6.0,1.0,0.0,7.562580352415971e-05
CA_e87f936181b83d4705c5,NSE_B290E9D77A5B,CHEMFALKAL,EQ,2013-01-17,DIVIDEND,INTERIM DIVIDEND RS.5.00 PER SHARE,corporate_actions_20130101_20130131.json,UNCHANGED,5.0,NOT_SIGNAL_RELEVANT,1,DATED_ALIAS,False,,,,,,NOT_SIGNAL_RELEVANT,NO_RELEVANT_DATED_SECURITY,0.0,1.0,0.0,
CA_e3da126110c8c8bbd2c9,NSE_D3E18AD37B1B,MPHASIS,EQ,2013-01-17,DIVIDEND,ANNUAL GENERAL MEETING/DIVIDEND RS.17 PER SHARE,corporate_actions_20130101_20130131.json,UNCHANGED,17.0,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,399.85,383.45,-0.04101538076778799,APPLIED_TO_RETURN,UNAMBIGUOUS_PARSED_ORDINARY_ACTION,17.0,1.0,0.0,0.0015005627110165065
CA_169a18fbdb1c29fec692,NSE_512CE7D98A26,RSSOFTWARE,EQ,2013-01-17,DIVIDEND,INTERIM DIVIDEND RS.1.50 PER SHARE,corporate_actions_20130101_20130131.json,UNCHANGED,1.5,NOT_SIGNAL_RELEVANT,1,DATED_ALIAS,False,,,,,,NOT_SIGNAL_RELEVANT,NO_RELEVANT_DATED_SECURITY,0.0,1.0,0.0,
CA_6dab62d1e6f40d8645eb,NSE_E50226C18398,HCLTECH,EQ,2013-01-21,DIVIDEND,INTERIM DIVIDEND OF RS 2/- PER EQUITY SHARE (PURPOSE REVISED),corporate_actions_20130101_20130131.json,UNCHANGED,2.0,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,705.65,715.2,0.01353362148373849,APPLIED_TO_RETURN,UNAMBIGUOUS_PARSED_ORDINARY_ACTION,2.0,1.0,0.0,0.016367887763055533
CA_156592eab824e87f5d94,NSE_9A148867D142,VARUNSHIP,EQ,2013-01-22,DIVIDEND,ANNUAL GENERAL MEETING/DIVIDEND RE 0.50 PER SHARE,corporate_actions_20130101_20130131.json,UNCHANGED,0.5,NOT_SIGNAL_RELEVANT,1,DATED_ALIAS,False,,,,,,NOT_SIGNAL_RELEVANT,NO_RELEVANT_DATED_SECURITY,0.0,1.0,0.0,
