primary_class,application_status,membership_status,events
BONUS,APPLIED_TO_RETURN,IN_MEMBERSHIP,131
BONUS,APPLIED_TO_RETURN,OUTSIDE_MEMBERSHIP,13
BONUS,APPLIED_TO_RETURN,PRE_MEMBERSHIP,34
BONUS,NOT_SIGNAL_RELEVANT,NOT_SIGNAL_RELEVANT,121
BONUS,RETURN_UNAVAILABLE_EXPLICIT,IN_MEMBERSHIP,5
BONUS,RETURN_UNAVAILABLE_EXPLICIT,OUTSIDE_MEMBERSHIP,1
BONUS,RETURN_UNAVAILABLE_EXPLICIT,PRE_MEMBERSHIP,2
BUYBACK,NOT_SIGNAL_RELEVANT,NOT_SIGNAL_RELEVANT,37
BUYBACK,NO_DIRECT_ADJUSTMENT_REQUIRED,IN_MEMBERSHIP,86
BUYBACK,NO_DIRECT_ADJUSTMENT_REQUIRED,OUTSIDE_MEMBERSHIP,1
BUYBACK,NO_DIRECT_ADJUSTMENT_REQUIRED,PRE_MEMBERSHIP,1
BUYBACK,RETURN_UNAVAILABLE_EXPLICIT,OUTSIDE_MEMBERSHIP,10
BUYBACK,RETURN_UNAVAILABLE_EXPLICIT,POSSIBLE_MEMBER_IDENTITY_UNRESOLVED,2
BUYBACK,RETURN_UNAVAILABLE_EXPLICIT,PRE_MEMBERSHIP,8
CAPITAL_REDUCTION,NOT_SIGNAL_RELEVANT,NOT_SIGNAL_RELEVANT,2
CAPITAL_REDUCTION,RETURN_UNAVAILABLE_EXPLICIT,POSSIBLE_MEMBER_IDENTITY_UNRESOLVED,1
DEBENTURE_ENTITLEMENT,RETURN_UNAVAILABLE_EXPLICIT,IN_MEMBERSHIP,4
DIVIDEND,APPLIED_TO_RETURN,IN_MEMBERSHIP,4572
DIVIDEND,APPLIED_TO_RETURN,OUTSIDE_MEMBERSHIP,723
DIVIDEND,APPLIED_TO_RETURN,PRE_MEMBERSHIP,1698
DIVIDEND,NOT_SIGNAL_RELEVANT,IN_MEMBERSHIP,2
DIVIDEND,NOT_SIGNAL_RELEVANT,NOT_SIGNAL_RELEVANT,4635
DIVIDEND,NO_DIRECT_ADJUSTMENT_REQUIRED,IN_MEMBERSHIP,1
DIVIDEND,RETURN_UNAVAILABLE_EXPLICIT,IN_MEMBERSHIP,3
DIVIDEND,RETURN_UNAVAILABLE_EXPLICIT,OUTSIDE_MEMBERSHIP,4
DIVIDEND,RETURN_UNAVAILABLE_EXPLICIT,POSSIBLE_MEMBER_IDENTITY_UNRESOLVED,1
DIVIDEND,RETURN_UNAVAILABLE_EXPLICIT,PRE_MEMBERSHIP,10
PREFERENCE_SHARE_BONUS,RETURN_UNAVAILABLE_EXPLICIT,PRE_MEMBERSHIP,1
RIGHTS,APPLIED_TO_RETURN,IN_MEMBERSHIP,39
RIGHTS,NOT_SIGNAL_RELEVANT,NOT_SIGNAL_RELEVANT,88
RIGHTS,RETURN_UNAVAILABLE_EXPLICIT,OUTSIDE_MEMBERSHIP,11
RIGHTS,RETURN_UNAVAILABLE_EXPLICIT,PRE_MEMBERSHIP,12
SPLIT,APPLIED_TO_RETURN,IN_MEMBERSHIP,71
SPLIT,APPLIED_TO_RETURN,OUTSIDE_MEMBERSHIP,4
SPLIT,APPLIED_TO_RETURN,PRE_MEMBERSHIP,30
SPLIT,NOT_SIGNAL_RELEVANT,NOT_SIGNAL_RELEVANT,154
SPLIT,RETURN_UNAVAILABLE_EXPLICIT,IN_MEMBERSHIP,3
SPLIT,RETURN_UNAVAILABLE_EXPLICIT,PRE_MEMBERSHIP,10
STRUCTURAL,APPLIED_TO_RETURN,OUTSIDE_MEMBERSHIP,2
STRUCTURAL,NOT_SIGNAL_RELEVANT,NOT_SIGNAL_RELEVANT,48
STRUCTURAL,RETURN_UNAVAILABLE_EXPLICIT,OUTSIDE_MEMBERSHIP,64
STRUCTURAL,RETURN_UNAVAILABLE_EXPLICIT,PRE_MEMBERSHIP,13
