application_reason,membership_status,events
ACCEPTED_NO_DIRECT_ADJUSTMENT,IN_MEMBERSHIP,87
ACCEPTED_STRICT_RETURN_EXCEPTION,IN_MEMBERSHIP,4
ACCEPTED_TREATMENT,IN_MEMBERSHIP,58
COINCIDENT_UNRESOLVED_ACTION,IN_MEMBERSHIP,1
COINCIDENT_UNRESOLVED_ACTION,OUTSIDE_MEMBERSHIP,3
DUPLICATE_SOURCE_RECORD,IN_MEMBERSHIP,2
MANUAL_COMBINED_BONUS_DIVIDEND,PRE_MEMBERSHIP,3
MANUAL_COMBINED_SPLIT_BONUS,PRE_MEMBERSHIP,1
MANUAL_LISTED_SHARE_DISTRIBUTION,OUTSIDE_MEMBERSHIP,2
MANUAL_OPTIONAL_TENDER_NO_PARTICIPATION,OUTSIDE_MEMBERSHIP,1
MANUAL_OPTIONAL_TENDER_NO_PARTICIPATION,PRE_MEMBERSHIP,1
MARKET_OR_PREVIOUS_SESSION_UNAVAILABLE,PRE_MEMBERSHIP,6
MULTIPLE_ACTION_UNITS_UNVERIFIED,IN_MEMBERSHIP,10
MULTIPLE_ACTION_UNITS_UNVERIFIED,OUTSIDE_MEMBERSHIP,2
NO_RELEVANT_DATED_SECURITY,NOT_SIGNAL_RELEVANT,5085
ORDINARY_ACTION_PARSE_UNVERIFIED,PRE_MEMBERSHIP,14
POSSIBLE_DUPLICATE_ECONOMIC_RECORD,PRE_MEMBERSHIP,2
POSSIBLE_MEMBER_IDENTITY_UNRESOLVED,POSSIBLE_MEMBER_IDENTITY_UNRESOLVED,4
TREATMENT_NOT_ACCEPTED,OUTSIDE_MEMBERSHIP,85
TREATMENT_NOT_ACCEPTED,PRE_MEMBERSHIP,34
UNAMBIGUOUS_PARSED_ORDINARY_ACTION,IN_MEMBERSHIP,4755
UNAMBIGUOUS_PARSED_ORDINARY_ACTION,OUTSIDE_MEMBERSHIP,740
UNAMBIGUOUS_PARSED_ORDINARY_ACTION,PRE_MEMBERSHIP,1758
