metric,value
economic_action_rows,12658
applied_events,7317
no_direct_events,89
unavailable_events,165
not_signal_relevant_events,5087
pre_membership_applied,1762
in_membership_applied,4813
corrected_return_rows,1810466
old_adjusted_return_rows,58
adjusted_return_rows,7312
old_unavailable_return_rows,2223
unavailable_return_rows,2348
old_vs_corrected_return_difference_rows,7379
old_vs_corrected_difference_in_membership,4756
maximum_value_date_read,2023-03-31
old_panel_sha256,c35dfbfa2a500143e4ed617dfac35d9c974fd08afe4bc502d8f008a03ea76473
stock_total_returns_sha256,86b0781e433daaaf2baa17d74d776bcc04f2be9b5db58aac7013211fe2c95bb7
research_panel_v2_sha256,4834090ccf6bd850dc86b68e8b776db83608848f8036dabc319d28bfe5a268e2
