event_id,security_id,symbol,series,ex_date,primary_class,purpose_normalized,source_file,repair_status,parsed_amount_or_ratio,membership_status,identity_candidate_count,identity_mapping_method,treatment_reviewed_for_in_universe_event,accepted_status,accepted_evidence,previous_close,ex_date_close,calculated_price_return,application_status,application_reason,cash_effect,share_effect,entitlement_effect,calculated_total_return
CA_d4d74757b017afa68416,NSE_8212B1829EDC,TATASTLBSL,EQ,2013-01-15,RIGHTS,RIGHT ISSUE 1:15 @ PREMIUM OF RS 333 PER SHARE,corporate_actions_20130101_20130131.json,UNCHANGED,,PRE_MEMBERSHIP,0,UNIQUE_ACCEPTED_ALIAS_WITH_EX_DATE_PANEL_ID,False,,,438.85,429.05,-0.02233109262846078,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_556d087774c4d45e1d2b,NSE_509E811DE5D8,BAJFINANCE,EQ,2013-01-23,RIGHTS,RIGHTS 3:19 @ PREMIUM RS 1090 PER SHARE,corporate_actions_20130101_20130131.json,UNCHANGED,,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,1389.55,1320.1,-0.049980209420316,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_2aeea12f45950f5d73f2,NSE_F9F670EF6794,ALOKTEXT,EQ,2013-02-15,RIGHTS,RIGHTS - 2:3@ PAR RS 10 PER SHARE,corporate_actions_20130201_20130228.json,UNCHANGED,,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,10.05,9.95,-0.009950248756219082,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_f4fc609caff6cf3e9608,NSE_57BCD151AF77,M&MFIN,EQ,2013-02-15,SPLIT,FACE VALUE SPLIT RS 10 TO RS 2,corporate_actions_20130201_20130228.json,UNCHANGED,,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,1009.1,201.8,-0.8000198196412645,RETURN_UNAVAILABLE_EXPLICIT,ORDINARY_ACTION_PARSE_UNVERIFIED,0.0,1.0,0.0,
CA_bf7b5803b168dc67168d,NSE_7110B3E95EA1,RASOYPR,EQ,2013-03-21,SPLIT,BONUS 2:1 / FACE VALUE SPLIT FROM RS. 5/- TO RE. 1/-,corporate_actions_20130301_20130331.json,UNCHANGED,5.0:1.0,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,115.7,8.45,-0.9269662921348315,RETURN_UNAVAILABLE_EXPLICIT,ORDINARY_ACTION_PARSE_UNVERIFIED,0.0,1.0,0.0,
CA_58f43283502dc6785fef,NSE_060294DF8B9D,WIPRO,EQ,2013-04-09,STRUCTURAL,SCHEME OF ARRANGEMENT,corporate_actions_20130401_20130430.json,UNCHANGED,,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,448.8,393.7,-0.12277183600713015,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_edc08b450e023942bc68,NSE_EF0E9934D1DE,FEL,EQ,2013-04-17,STRUCTURAL,SCHEME OF ARRANGEMENT,corporate_actions_20130401_20130430.json,UNCHANGED,,PRE_MEMBERSHIP,0,UNIQUE_ACCEPTED_ALIAS_WITH_EX_DATE_PANEL_ID,False,,,160.0,145.45,-0.09093750000000012,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_4a5f83169b2846a3e4b6,NSE_4723627B4BA6,KESORAMIND,EQ,2013-05-15,RIGHTS,RIGHTS 7:5@PREMIUM RS.55 PER SHARE/ANNUAL GENERAL MEETING / DIVIDEND RE.1/- PER EQUITY SHARE (PURPOSE REVISED),corporate_actions_20130501_20130531.json,UNCHANGED,,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,101.55,79.85,-0.2136878385032004,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_ea39612437ecb463784b,NSE_EF0E9934D1DE,FEL,EQ,2013-06-21,STRUCTURAL,SCHEME OF ARRANGEMENT,corporate_actions_20130601_20130630.json,UNCHANGED,,PRE_MEMBERSHIP,0,UNIQUE_ACCEPTED_ALIAS_WITH_EX_DATE_PANEL_ID,False,,,147.0,98.6,-0.3292517006802721,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_5056c436816c80ce2704,NSE_AF3172BFD228,EMAMILTD,EQ,2013-06-26,BONUS,BONUS 1:2 AND DIVIDEND RS.8/- PER SHARE,corporate_actions_20130601_20130630.json,UNCHANGED,1.0:2.0,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,686.35,443.9,-0.35324542871712683,RETURN_UNAVAILABLE_EXPLICIT,ORDINARY_ACTION_PARSE_UNVERIFIED,0.0,1.0,0.0,
CA_88133d36dbe6dc8d9404,NSE_7271BD099C26,ASHOKA,EQ,2013-07-03,SPLIT,BONUS 1:2 AND FACE VALUE SPLIT RS.10/- TO RS.5/-,corporate_actions_20130701_20130731.json,REPARSED,10.0:5.0,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,187.8,63.0,-0.6645367412140575,RETURN_UNAVAILABLE_EXPLICIT,ORDINARY_ACTION_PARSE_UNVERIFIED,0.0,1.0,0.0,
CA_06497a156b3a612c46f4,NSE_66EF9E74F5E3,SHILPAMED,EQ,2013-07-16,BONUS,ANNUAL GENERAL MEETING / DIVIDEND - RS 1.30/- PER SHARE / BONUS 1:2,corporate_actions_20130701_20130731.json,UNCHANGED,1.0:2.0,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,279.4,188.2,-0.3264137437365784,RETURN_UNAVAILABLE_EXPLICIT,ORDINARY_ACTION_PARSE_UNVERIFIED,0.0,1.0,0.0,
CA_a459dbd932929024acda,NSE_3E5680388E4E,JINDALPOLY,EQ,2013-07-17,STRUCTURAL,SCHEME OF DEMERGER,corporate_actions_20130701_20130731.json,UNCHANGED,,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,151.3,146.55,-0.03139458030403175,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
