measure,value
formation_rows,103
valid_risk_formations,96
valid_scored_formations,96
scored_exposure_below_one,95
first_scored_formation,2015-03-31
valid_shadow_returns_by_first_scored_formation,142
first_scored_window_start,2014-09-23
first_scored_sigma_hat,0.2050866797558713
first_scored_exposure,0.5851184491496191
exposure_below_one,95
min_exposure,0.33601787318696613
median_exposure,0.5809165788924191
mean_exposure,0.5995134123578113
max_sigma_hat,0.3571238602930801
modelled_day_risk_windows,16
modelled_security_days,3
modelled_corporate_action_dates,3
modelling_shadow_daily_rows,2124
modelling_shadow_valid_returns,2124
first_modelled_shadow_date,2014-09-01
last_valid_shadow_date,2023-03-31
first_blocker_after_assumption,
modelling_shadow_reaches_cutoff,True
max_value_date_read,2023-03-31
