formation_date,holding_month,is_scored,risk_window_start,risk_window_end,shadow_returns_used,sum_squared_daily_returns,sigma_hat_sq,sigma_hat,volatility_target,exposure,cash_fraction,exposure_capped,risk_estimate_available,risk_status,modelling_shadow_used,modelling_assumption_in_window,modelling_days_in_window,contains_modelled_ADANIENT_day,source_data_max_date,risk_exclusion_reason
2014-08-28,2014-09,False,2014-02-24,2014-08-28,0,,,,0.12,0.0,1.0,False,False,INSUFFICIENT_SHADOW_HISTORY,False,False,0,False,,INSUFFICIENT_SHADOW_HISTORY
2014-09-30,2014-10,False,2014-03-27,2014-09-30,22,,,,0.12,0.0,1.0,False,False,INSUFFICIENT_SHADOW_HISTORY,False,False,0,False,2014-09-30,INSUFFICIENT_SHADOW_HISTORY
2014-10-31,2014-11,False,2014-04-28,2014-10-31,40,,,,0.12,0.0,1.0,False,False,INSUFFICIENT_SHADOW_HISTORY,False,False,0,False,2014-10-31,INSUFFICIENT_SHADOW_HISTORY
2014-11-28,2014-12,False,2014-05-23,2014-11-28,58,,,,0.12,0.0,1.0,False,False,INSUFFICIENT_SHADOW_HISTORY,False,False,0,False,2014-11-28,INSUFFICIENT_SHADOW_HISTORY
2014-12-31,2015-01,False,2014-06-24,2014-12-31,80,,,,0.12,0.0,1.0,False,False,INSUFFICIENT_SHADOW_HISTORY,False,False,0,False,2014-12-31,INSUFFICIENT_SHADOW_HISTORY
2015-01-30,2015-02,False,2014-07-23,2015-01-30,101,,,,0.12,0.0,1.0,False,False,INSUFFICIENT_SHADOW_HISTORY,False,False,0,False,2015-01-30,INSUFFICIENT_SHADOW_HISTORY
2015-02-28,2015-03,False,2014-08-22,2015-02-28,121,,,,0.12,0.0,1.0,False,False,INSUFFICIENT_SHADOW_HISTORY,False,False,0,False,2015-02-28,INSUFFICIENT_SHADOW_HISTORY
2015-03-31,2015-04,True,2014-09-23,2015-03-31,126,0.021030273106643658,0.042060546213287316,0.2050866797558713,0.12,0.5851184491496191,0.4148815508503809,False,True,VALID,True,False,0,False,2015-03-31,
2015-04-30,2015-05,True,2014-10-27,2015-04-30,126,0.021428806267642365,0.04285761253528473,0.2070208021800822,0.12,0.5796518936083292,0.42034810639167075,False,True,VALID,True,False,0,False,2015-04-30,
2015-05-29,2015-06,True,2014-11-26,2015-05-29,126,0.02401648729236533,0.04803297458473066,0.2191642639317155,0.12,0.5475345197581487,0.4524654802418513,False,True,VALID,True,False,0,False,2015-05-29,
2015-06-30,2015-07,True,2014-12-29,2015-06-30,126,0.023657849970293462,0.047315699940586924,0.21752172291655592,0.12,0.5516690397217638,0.44833096027823616,False,True,VALID,True,False,0,False,2015-06-30,
2015-07-31,2015-08,True,2015-01-30,2015-07-31,126,0.023422596661456456,0.04684519332291291,0.21643750442775142,0.12,0.5544325615714025,0.4455674384285975,False,True,VALID,True,False,0,False,2015-07-31,
2015-08-31,2015-09,True,2015-03-02,2015-08-31,126,0.0356015253829399,0.0712030507658798,0.2668389978355484,0.12,0.4497093789639977,0.5502906210360023,False,True,VALID,True,False,0,False,2015-08-31,
2015-09-30,2015-10,True,2015-03-31,2015-09-30,126,0.03553183060528755,0.0710636612105751,0.2665776832568231,0.12,0.4501502096272291,0.5498497903727708,False,True,VALID,True,False,0,False,2015-09-30,
2015-10-30,2015-11,True,2015-05-04,2015-10-30,126,0.03031430197624232,0.06062860395248464,0.24622876345480973,0.12,0.4873516737699231,0.512648326230077,False,True,VALID,True,False,0,False,2015-10-30,
2015-11-30,2015-12,True,2015-05-29,2015-11-30,126,0.027667407221298256,0.05533481444259651,0.2352335317139045,0.12,0.5101313538324387,0.4898686461675613,False,True,VALID,True,False,0,False,2015-11-30,
2015-12-31,2016-01,True,2015-06-30,2015-12-31,126,0.025639263301610423,0.051278526603220846,0.22644762441505287,0.12,0.5299238634539772,0.47007613654602276,False,True,VALID,True,False,0,False,2015-12-31,
2016-01-29,2016-02,True,2015-07-28,2016-01-29,126,0.03323863705762567,0.06647727411525134,0.2578318717987583,0.12,0.4654195742474453,0.5345804257525547,False,True,VALID,True,False,0,False,2016-01-29,
2016-02-29,2016-03,True,2015-08-26,2016-02-29,126,0.028374742343655134,0.05674948468731027,0.23822150341081777,0.12,0.5037328632464282,0.4962671367535718,False,True,VALID,True,False,0,False,2016-02-29,
2016-03-31,2016-04,True,2015-09-24,2016-03-31,126,0.027433137228873514,0.05486627445774703,0.23423551066767614,0.12,0.5123049005590409,0.4876950994409591,False,True,VALID,True,False,0,False,2016-03-31,
2016-04-29,2016-05,True,2015-10-23,2016-04-29,126,0.027845288984646686,0.05569057796929337,0.23598851236721963,0.12,0.5084993281930141,0.49150067180698587,False,True,VALID,True,False,0,False,2016-04-29,
2016-05-31,2016-06,True,2015-11-26,2016-05-31,126,0.027935531862114775,0.05587106372422955,0.23637060672644886,0.12,0.50767733628943,0.49232266371057,False,True,VALID,True,False,0,False,2016-05-31,
2016-06-30,2016-07,True,2015-12-29,2016-06-30,126,0.02747374503396916,0.05494749006793832,0.23440880970632977,0.12,0.5119261522224249,0.4880738477775751,False,True,VALID,True,False,0,False,2016-06-30,
2016-07-29,2016-08,True,2016-01-27,2016-07-29,126,0.018656326520004696,0.03731265304000939,0.19316483385960653,0.12,0.6212310885076359,0.37876891149236414,False,True,VALID,True,False,0,False,2016-07-29,
2016-08-31,2016-09,True,2016-02-26,2016-08-31,126,0.010138978773299532,0.020277957546599064,0.14240069363103208,0.12,0.842692524454456,0.15730747554554403,False,True,VALID,True,False,0,False,2016-08-31,
2016-09-30,2016-10,True,2016-03-30,2016-09-30,126,0.011757850409114912,0.023515700818229825,0.15334829903924538,0.12,0.782532318596434,0.21746768140356598,False,True,VALID,True,False,0,False,2016-09-30,
2016-10-30,2016-11,True,2016-04-29,2016-10-30,126,0.012110904711332209,0.024221809422664418,0.15563357421412777,0.12,0.7710418565270404,0.22895814347295962,False,True,VALID,True,False,0,False,2016-10-30,
2016-11-30,2016-12,True,2016-05-30,2016-11-30,126,0.02246828507643614,0.04493657015287228,0.21198247605137618,0.12,0.5660845284726117,0.4339154715273883,False,True,VALID,True,False,0,False,2016-11-30,
2016-12-30,2017-01,True,2016-06-29,2016-12-30,126,0.024682836784490736,0.04936567356898147,0.22218387333238537,0.12,0.5400932038864986,0.4599067961135014,False,True,VALID,True,False,0,False,2016-12-30,
2017-01-31,2017-02,True,2016-07-29,2017-01-31,126,0.026299641400878544,0.05259928280175709,0.2293453352517925,0.12,0.523228431344614,0.47677156865538595,False,True,VALID,True,False,0,False,2017-01-31,
2017-02-28,2017-03,True,2016-08-26,2017-02-28,126,0.026711482272917437,0.053422964545834874,0.23113408347934078,0.12,0.5191791629931802,0.48082083700681977,False,True,VALID,True,False,0,False,2017-02-28,
2017-03-31,2017-04,True,2016-09-29,2017-03-31,126,0.025635475737894327,0.051270951475788654,0.22643089779398184,0.12,0.5299630093291509,0.47003699067084914,False,True,VALID,True,False,0,False,2017-03-31,
2017-04-28,2017-05,True,2016-10-27,2017-04-28,126,0.022492746192328602,0.044985492384657204,0.21209783682220149,0.12,0.5657766330761508,0.4342233669238492,False,True,VALID,True,False,0,False,2017-04-28,
2017-05-31,2017-06,True,2016-11-29,2017-05-31,126,0.014239374447392364,0.028478748894784727,0.1687564780824272,0.12,0.7110838135729958,0.28891618642700423,False,True,VALID,True,False,0,False,2017-05-31,
2017-06-30,2017-07,True,2016-12-28,2017-06-30,126,0.012428448435017288,0.024856896870034575,0.15766070173012225,0.12,0.7611281611914398,0.23887183880856022,False,True,VALID,True,False,0,False,2017-06-30,
2017-07-31,2017-08,True,2017-01-27,2017-07-31,126,0.010534832974328277,0.021069665948656554,0.14515393879828598,0.12,0.8267085343564717,0.17329146564352826,False,True,VALID,True,False,0,False,2017-07-31,
2017-08-31,2017-09,True,2017-02-28,2017-08-31,126,0.014411724820210685,0.02882344964042137,0.1697747025926459,0.12,0.7068190853376174,0.2931809146623826,False,True,VALID,True,False,0,False,2017-08-31,
2017-09-29,2017-10,True,2017-03-30,2017-09-29,126,0.017274036413011614,0.03454807282602323,0.18587111885934088,0.12,0.6456086385901122,0.3543913614098878,False,True,VALID,True,False,0,False,2017-09-29,
2017-10-31,2017-11,True,2017-05-02,2017-10-31,126,0.018017122240622855,0.03603424448124571,0.18982688029161127,0.12,0.6321549393618885,0.3678450606381115,False,True,VALID,True,False,0,False,2017-10-31,
2017-11-30,2017-12,True,2017-06-01,2017-11-30,126,0.015784966618051788,0.031569933236103576,0.17767929883952036,0.12,0.6753741194599366,0.32462588054006336,False,True,VALID,True,False,0,False,2017-11-30,
2017-12-29,2018-01,True,2017-06-30,2017-12-29,126,0.016986846781180193,0.03397369356236039,0.18431954199802142,0.12,0.6510432843918857,0.34895671560811425,False,True,VALID,True,False,0,False,2017-12-29,
2018-01-31,2018-02,True,2017-08-01,2018-01-31,126,0.019947663990340054,0.03989532798068011,0.19973814853622757,0.12,0.6007865842324805,0.39921341576751945,False,True,VALID,True,False,0,False,2018-01-31,
2018-02-28,2018-03,True,2017-08-30,2018-02-28,126,0.02214332019527886,0.04428664039055772,0.2104439126954204,0.12,0.5702231937384588,0.42977680626154124,False,True,VALID,True,False,0,False,2018-02-28,
2018-03-28,2018-04,True,2017-09-26,2018-03-28,126,0.021966110936035666,0.04393222187207133,0.20960014759553805,0.12,0.5725186808148724,0.42748131918512755,False,True,VALID,True,False,0,False,2018-03-28,
2018-04-30,2018-05,True,2017-10-27,2018-04-30,126,0.021366520004109605,0.04273304000821921,0.20671971364197275,0.12,0.580496160167063,0.41950383983293704,False,True,VALID,True,True,1,True,2018-04-30,
2018-05-31,2018-06,True,2017-11-28,2018-05-31,126,0.022522681105300816,0.04504536221060163,0.21223892718019857,0.12,0.5654005209803743,0.4345994790196257,False,True,VALID,True,True,1,True,2018-05-31,
2018-06-29,2018-07,True,2017-12-28,2018-06-29,126,0.025861782047159686,0.05172356409431937,0.2274281514991479,0.12,0.5276391652000461,0.47236083479995394,False,True,VALID,True,True,1,True,2018-06-29,
2018-07-31,2018-08,True,2018-01-30,2018-07-31,126,0.025947687063117866,0.05189537412623573,0.22780556210557223,0.12,0.5267650135091444,0.4732349864908556,False,True,VALID,True,True,1,True,2018-07-31,
2018-08-31,2018-09,True,2018-03-01,2018-08-31,126,0.01909365407141836,0.03818730814283672,0.19541573156436695,0.12,0.6140754331258834,0.3859245668741166,False,True,VALID,True,True,1,True,2018-08-31,
2018-09-28,2018-10,True,2018-03-28,2018-09-28,126,0.0189920575432901,0.0379841150865802,0.19489513869406852,0.12,0.6157157166878688,0.38428428331213116,False,True,VALID,True,True,1,True,2018-09-28,
2018-10-31,2018-11,True,2018-04-30,2018-10-31,126,0.024727283538452015,0.04945456707690403,0.22238382827198572,0.12,0.5396075826756361,0.46039241732436387,False,True,VALID,True,False,0,False,2018-10-31,
2018-11-30,2018-12,True,2018-05-29,2018-11-30,126,0.022621280923663785,0.04524256184732757,0.2127029897470357,0.12,0.5641669641913079,0.43583303580869215,False,True,VALID,True,False,0,False,2018-11-30,
2018-12-31,2019-01,True,2018-06-26,2018-12-31,126,0.02013935687296626,0.04027871374593252,0.2006955748040612,0.12,0.5979205077997152,0.4020794922002848,False,True,VALID,True,False,0,False,2018-12-31,
2019-01-31,2019-02,True,2018-07-27,2019-01-31,126,0.0167485491160405,0.033497098232081,0.18302212497968928,0.12,0.6556584348111841,0.34434156518881587,False,True,VALID,True,False,0,False,2019-01-31,
2019-02-28,2019-03,True,2018-08-28,2019-02-28,126,0.01665507146761084,0.03331014293522168,0.1825106652643118,0.12,0.6574958226480413,0.3425041773519587,False,True,VALID,True,False,0,False,2019-02-28,
2019-03-29,2019-04,True,2018-09-26,2019-03-29,126,0.015101695283856461,0.030203390567712922,0.17379122695841964,0.12,0.690483645809754,0.30951635419024603,False,True,VALID,True,False,0,False,2019-03-29,
2019-04-30,2019-05,True,2018-10-25,2019-04-30,126,0.007642283266383015,0.01528456653276603,0.12363076693431142,0.12,0.9706321733307651,0.029367826669234876,False,True,VALID,True,False,0,False,2019-04-30,
2019-05-31,2019-06,True,2018-11-28,2019-05-31,126,0.008239450498664112,0.016478900997328225,0.12837017175858348,0.12,0.9347965992105653,0.06520340078943465,False,True,VALID,True,False,0,False,2019-05-31,
2019-06-28,2019-07,True,2018-12-26,2019-06-28,126,0.006973972746260026,0.013947945492520052,0.11810142036622613,0.12,1.0,0.0,True,True,VALID,True,False,0,False,2019-06-28,
2019-07-31,2019-08,True,2019-01-28,2019-07-31,126,0.008612793640995155,0.01722558728199031,0.13124628483119175,0.12,0.9143115948336621,0.08568840516633791,False,True,VALID,True,False,0,False,2019-07-31,
2019-08-30,2019-09,True,2019-02-25,2019-08-30,126,0.008955105102852008,0.017910210205704016,0.13382903349312517,0.12,0.8966664173522887,0.10333358264771131,False,True,VALID,True,False,0,False,2019-08-30,
2019-09-30,2019-10,True,2019-03-26,2019-09-30,126,0.011983669334922056,0.023967338669844112,0.154813883969895,0.12,0.7751242777639704,0.22487572223602958,False,True,VALID,True,False,0,False,2019-09-30,
2019-10-31,2019-11,True,2019-04-25,2019-10-31,126,0.012632959532788467,0.025265919065576934,0.15895256860326898,0.12,0.7549421884430756,0.2450578115569244,False,True,VALID,True,False,0,False,2019-10-31,
2019-11-29,2019-12,True,2019-05-27,2019-11-29,126,0.011004761307599704,0.02200952261519941,0.14835606699828427,0.12,0.8088647968902262,0.19113520310977383,False,True,VALID,True,False,0,False,2019-11-29,
2019-12-31,2020-01,True,2019-06-26,2019-12-31,126,0.010600220923770144,0.02120044184754029,0.14560371508838738,0.12,0.824154795275348,0.17584520472465204,False,True,VALID,True,False,0,False,2019-12-31,
2020-01-31,2020-02,True,2019-07-29,2020-01-31,126,0.009777168343808668,0.019554336687617337,0.13983682164443434,0.12,0.8581430741119546,0.14185692588804544,False,True,VALID,True,False,0,False,2020-01-31,
2020-02-28,2020-03,True,2019-08-28,2020-02-28,126,0.011450933794791198,0.022901867589582396,0.1513336300680797,0.12,0.7929499870320708,0.20705001296792924,False,True,VALID,True,False,0,False,2020-02-28,
2020-03-31,2020-04,True,2019-09-30,2020-03-31,126,0.054395382162557314,0.10879076432511463,0.3298344498761684,0.12,0.3638188795774737,0.6361811204225263,False,True,VALID,True,False,0,False,2020-03-31,
2020-04-30,2020-05,True,2019-10-29,2020-04-30,126,0.0601920040206662,0.1203840080413324,0.3469639866633602,0.12,0.3458572203818643,0.6541427796181357,False,True,VALID,True,False,0,False,2020-04-30,
2020-05-29,2020-06,True,2019-11-26,2020-05-29,126,0.06191472960490842,0.12382945920981683,0.3518941022663165,0.12,0.34101168285333455,0.6589883171466655,False,True,VALID,True,False,0,False,2020-05-29,
2020-06-30,2020-07,True,2019-12-27,2020-06-30,126,0.06296912392226907,0.12593824784453814,0.3548777928309098,0.12,0.3381445737777594,0.6618554262222406,False,True,VALID,True,False,0,False,2020-06-30,
2020-07-31,2020-08,True,2020-01-29,2020-07-31,126,0.06273916276856473,0.12547832553712945,0.35422919915942763,0.12,0.3387637164998126,0.6612362835001875,False,True,VALID,True,False,0,False,2020-07-31,
2020-08-31,2020-09,True,2020-02-27,2020-08-31,126,0.06376872579531569,0.12753745159063137,0.3571238602930801,0.12,0.33601787318696613,0.6639821268130339,False,True,VALID,True,False,0,False,2020-08-31,
2020-09-30,2020-10,True,2020-03-31,2020-09-30,126,0.024167558312355862,0.048335116624711724,0.21985248832958823,0.12,0.5458205222590157,0.4541794777409843,False,True,VALID,True,False,0,False,2020-09-30,
2020-10-30,2020-11,True,2020-05-06,2020-10-30,126,0.01602476019742293,0.03204952039484586,0.1790237984035806,0.12,0.6703019434850731,0.3296980565149269,False,True,VALID,True,False,0,False,2020-10-30,
